"","Filename","Frame","Time..mins.","Period","Period.time..mins.","Length..mm.","Precision..mm.","RMS..mm.","Range..mm.","Direction..deg.","Horz..Dir...deg.","Vert..Dir...deg.","Mid.X..mm.","Mid.Y..mm.","Mid.Z..mm.","OpCode","TapeReader","Family","Genus","Species","Code","Number","Stage","Activity","Comment","Species_full","Length_filled","length_source","Length_cm","a_final","b_final","param_source","biomass"
"1","GX010039_L.MP4",9874,5.491,"KAD_BIRD_Transect 1",0.4104,126.054,5.85,3.361,2928.948,26.627,13.955,17.795,-1221.245,-481.398,-2618.311,"KAD_BIRD_1","Peter","Lutjanidae","Lutjanus","gibbus","37346028",1,"AD","Passing","","Lutjanus gibbus",126.054,"measured",12.6054,0.013092867,3.137520668,"fishbase",37.1581371810069
"2","GX010039_L.MP4",9875,5.4916,"KAD_BIRD_Transect 1",0.411,NA,6.293,3.946,3534.402,29.931,NA,NA,-1656.05,-608.024,-3062.646,"KAD_BIRD_1","Peter","Lutjanidae","Lutjanus","gibbus","37346028",1,"AD","Passing","","Lutjanus gibbus",145.465,"transect",14.5465,0.013092867,3.137520668,"fishbase",58.2389608505407
"3","GX010039_L.MP4",10043,5.585,"KAD_BIRD_Transect 1",0.5044,103.782,6.779,14.265,3424.878,22.485,8.37,11.475,-1072.983,-751.199,-3164.521,"KAD_BIRD_1","Peter","Lutjanidae","Lutjanus","gibbus","37346028",1,"AD","Passing","","Lutjanus gibbus",103.782,"measured",10.3782,0.013092867,3.137520668,"fishbase",20.1901081266044
"4","GX010039_L.MP4",10055,5.5917,"KAD_BIRD_Transect 1",0.5111,175.886,11.746,18.496,3109.433,26.879,65.013,8.874,-1202.047,-728.896,-2773.511,"KAD_BIRD_1","Peter","Lutjanidae","Lutjanus","gibbus","37346028",1,"AD","Passing","","Lutjanus gibbus",175.886,"measured",17.5886,0.013092867,3.137520668,"fishbase",105.675329219673
"5","GX010039_L.MP4",10055,5.5917,"KAD_BIRD_Transect 1",0.5111,164.876,9.709,16.249,2742.156,23.039,59.699,11.111,-844.707,-661.897,-2523.446,"KAD_BIRD_1","Peter","Lutjanidae","Lutjanus","gibbus","37346028",1,"AD","Passing","","Lutjanus gibbus",164.876,"measured",16.4876,0.013092867,3.137520668,"fishbase",86.276275526092
"6","GX010039_L.MP4",10163,5.6518,"KAD_BIRD_Transect 1",0.5711,118.786,4.466,6.609,2979.7,18.094,11.046,10.077,-481.981,-790.033,-2832.34,"KAD_BIRD_1","Peter","Balistidae","Sufflamen","chrysopterum","37465079",1,"AD","Passing","","Sufflamen chrysopterum",118.786,"measured",11.8786,0.026195439,2.939557704,"fishbase",37.805951738976
"7","GX010039_L.MP4",10173,5.6573,"KAD_BIRD_Transect 1",0.5767,110.306,9.956,9.407,2539.527,20.684,70.446,9.739,-192.643,-876.075,-2375.832,"KAD_BIRD_1","Peter","Scaridae","Chlorurus","spilurus","temp_code_002",1,"AD","Passing","","Chlorurus spilurus",110.306,"measured",11.0306,0.01413,3.05,"fishbase",21.383043878075
"8","GX010039_L.MP4",10229,5.6885,"KAD_BIRD_Transect 1",0.6078,104.86,5.988,2.664,2235.886,24.959,50.776,8.748,526.517,-782.896,-2027.076,"KAD_BIRD_1","Peter","Mullidae","Parupeneus","pleurostigma","37355027",1,"AD","Passing","","Parupeneus pleurostigma",104.86,"measured",10.486,0.014446061,3.129919843,"fishbase",22.6035408302532
"9","GX010039_L.MP4",10270,5.7113,"KAD_BIRD_Transect 1",0.6306,180.636,17.194,10.901,3597.349,16.873,47.7,4.66,812.508,-655.772,-3442.487,"KAD_BIRD_1","Peter","Balistidae","Sufflamen","chrysopterum","37465079",1,"AD","Passing","","Sufflamen chrysopterum",180.636,"measured",18.0636,0.026195439,2.939557704,"fishbase",129.620730924876
"10","GX010039_L.MP4",10293,5.7241,"KAD_BIRD_Transect 1",0.6434,81.239,5.833,5.256,3026.327,22.831,11.528,1.714,-987.691,-635.133,-2789.216,"KAD_BIRD_1","Peter","Mullidae","Parupeneus","multifasciatus","37355026",1,"AD","Passing","","Parupeneus multifasciatus",81.239,"measured",8.1239,0.01135854,3.210819176,"fishbase",9.47135326132332
