Dive_Site,mean_biomass,mean_abundance,FRic,FEve,FDiv,FDis,RaoQ,Location,Permission,Facilitated by,lat,lon,aca_geomorphology,slope_mean_2020_bio_oracle_3,terrain_ruggedness_index_2020_bio_oracle_3,topographic_position_index_2020_bio_oracle_3,DESIG,ADOPT_2024,Median (year),Timescale (years),NO_TAKE,NO_TK_AREA,STATUS_YR,Geomorphology,OBJECTI,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,Region,is_bcu,grv_NC_,pp_cnt_,nm_prt_,rf_vl_r,sdmnt_r,ntrnt_r,score,scoreth,scorpfc,scoretr,scorecn,scorecy
Birdland,93.00264983,89.25,0.106336684,0.633369645,0.89631629,0.193962693,0.041608539,Kadavu,Ono,FLMMA/Kokomo,-18.84763115,178.5021932,Back Reef Slope,1.3203984,99.25547,89.51445,Locally Managed Marine Area,2005-2009,2007,18,Part,19.22,1985,Back Reef Slope,49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,Sediments,Melanesia,non-refugia,1.160336377,293.8462265,0,0,4.663125992,2.27E-04,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807
Catherine,1457.55381,198.2,0.18682238,0.625644843,0.811343324,0.196921204,0.048407576,Kadavu,Dravuni,FLMMA/Kokomo,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,5.06E-04,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
NukuvouCOW,267.9301758,76.5,0.130186196,0.681953003,0.838232821,0.19956187,0.045127683,Kadavu,Nukuvou,FLMMA/Matava,-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,Locally Managed Marine Area,2000-2004,2002,23,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.59E-04,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
FijiGold,583.9548933,301.6666667,0.19322727,0.6407154,0.935370181,0.149096831,0.033178426,Kadavu,Dravuni,FLMMA/Kokomo,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,5.06E-04,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Lupes,346.2178768,340.2,0.115742194,0.62798232,0.830669487,0.105377483,0.020715116,Kadavu,Nukuvou,FLMMA/Matava,-19.02048259,178.4895541,NA,7.4294782,543.73291,157.43689,Locally Managed Marine Area,2000-2004,2002,23,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.59E-04,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
Maidive,409.8093235,106.8,0.079536874,0.609856123,0.847282644,0.17005629,0.03206341,Kadavu,Ono,FLMMA/Kokomo,-18.9059233,178.52366,NA,1.8360801,136.29086,98.372093,Locally Managed Marine Area,2005-2009,2007,18,Part,19.22,1985,Back Reef Slope,49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,Sediments,Melanesia,non-refugia,0.919120934,542.0655398,0,0,30.78005219,6.65E-04,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
Narikoso,153.0518965,82.6,0.08797635,0.570195704,0.868159539,0.18138165,0.036169618,Kadavu,Ono,FLMMA/Kokomo,-18.9158333,178.5330556,Back Reef Slope,1.8360801,136.29086,98.372093,Locally Managed Marine Area,2005-2009,2007,18,Part,19.22,1985,Inner Reef Flat,49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,Sediments,Melanesia,non-refugia,0.919120934,542.0655398,0,0,30.78005219,6.65E-04,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
RobertsReef,308.1134524,136.4,0.15298426,0.649656528,0.832539004,0.212896804,0.049640449,Kadavu,Nukuvou,FLMMA/Matava,-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,Locally Managed Marine Area,2000-2004,2002,23,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.59E-04,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
Soso1,250.896284,113.75,0.104295239,0.579443807,0.882070863,0.201403184,0.044649985,Kadavu,Soso,FLMMA/Matava,-19.050175,178.2953433,Outer Reef Flat,5.6637535,426.80042,103.3162,Locally Managed Marine Area,2005-2009,2007,18,Part,4.56,2005,Inner Reef Flat,49807,0.446554663,0.571159059,0,0,0.731278505,0.546459566,0.382575299,Sediments,Melanesia,non-refugia,0.511425537,450.3673286,0,0,36.69154358,2.33E-04,-0.06438,-0.5281,0.11545,-0.13044,-0.54189,-0.27593
Soso2,86.38714231,92,0.060118321,0.642034943,0.948969656,0.112961313,0.019521883,Kadavu,Soso,FLMMA/Matava,-19.05842,178.30866,Inner Reef Flat,5.6637535,426.80042,103.3162,Locally Managed Marine Area,2005-2009,2007,18,Part,1.39,2004,Inner Reef Flat,49808,0.457511566,0.607919994,0,0.759029966,0.715922466,0.522838244,0.510537039,Tourism,Melanesia,non-refugia,0.546164877,684.8199158,0,34,30.43134689,7.06E-05,-0.03975,-0.53409,0.11601,-0.10105,0.15401,-0.27593
Vurro,291.3246871,156.3333333,0.1567225,0.620595592,0.86589966,0.207957237,0.048193789,Kadavu,Ono,FLMMA/Kokomo,-18.86538489,178.5245489,NA,1.0907691,88.83326,73.211754,Locally Managed Marine Area,2005-2009,2007,18,Part,19.22,1985,Back Reef Slope,49587,0.551385065,0.592534252,0,0,0.69282404,0.574392423,0.401855963,Sediments,Melanesia,non-refugia,1.01353283,573.2444122,0,0,22.55356407,6.34E-04,-0.05104,-0.67409,0.12897,-0.11091,-0.01837,-0.12752
KuataBack,341.4093231,152.5,0.164975432,0.604406135,0.877001888,0.21622485,0.055600438,Kuata,Namara,Barefoot Manta,-17.36312074,177.1327823,NA,0.22318776,21.863625,4.6390557,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,None,Sheltered Reef Slope,48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,Tourism,Melanesia,non-refugia,0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
KuataGoat,278.8335432,394,0.136715579,0.585125645,0.940807268,0.1603599,0.032158395,Kuata,Namara,Barefoot Manta,-17.33537481,177.1509809,Deep Lagoon,0.16416138,16.897337,-2.3884435,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,NA,Deep Lagoon,47926,0.497143713,0.647062056,0,0.757802769,0.854733706,0.695336539,0.575346464,Sediments,Melanesia,non-refugia,0.697049597,1005.858948,0,33,178.8015289,0.014073923,-0.01278,-0.3972,0.18457,-0.55469,0.47781,-0.1116
KuataMPA,233.172866,118.6,0.10542171,0.61512317,0.877785208,0.213685731,0.049004404,Kuata,Namara,Barefoot Manta,-17.36183827,177.1359799,Terrestrial Reef Flat,0.22318776,21.863625,4.6390557,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,None,Terrestrial Reef Flat,48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,Tourism,Melanesia,non-refugia,0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
KuataNonMPA,69.75657966,56.6,0.097383984,0.667771769,0.921944262,0.168104403,0.034014456,Kuata,Namara,Barefoot Manta,-17.3660347,177.1399643,Terrestrial Reef Flat,0.16416138,16.897337,-2.3884435,qoliqoli,Non-Adopter,Non-Adopter,Non-Adopter,None,0,None,Terrestrial Reef Flat,48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,Tourism,Melanesia,non-refugia,0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
CoralGarden,353.3400215,171.75,0.088102298,0.606308021,0.79179846,0.181070184,0.037449735,Totoya,Totoya,Fijian LMMA/Captain Cook Cruises,-19.00218046,-179.8781898,NA,10.61112,863.71924,-192.91789,qoliqoli,2010-2014,2012,13,None,0,None,Outer Reef Flat,49692,0.06399955,0.492362078,0,0,0.732915257,0.629447423,0.319787385,Sediments,Melanesia,non-refugia,0.009458145,163.7047529,0,0,37.5112648,0.002929408,-0.07671,-0.89297,0.15016,-0.55246,-0.42444,0.19743
ReefCorner,200.976634,147.2,0.159778906,0.607914305,0.899323076,0.212218619,0.050308192,Totoya,Totoya,Fijian LMMA/Captain Cook Cruises,-18.99945678,-179.8721369,Back Reef Slope,10.61112,863.71924,-192.91789,qoliqoli,2010-2014,2012,13,None,0,None,Back Reef Slope,49640,0.063699875,0.571268957,0,0,0,0,0.105828139,Coastal pop,Melanesia,non-refugia,0.009359818,450.8471918,0,0,0,0,-0.07258,-0.84888,0.15274,-0.49148,-0.42444,0.18083
