Location,Permission,Fishing_Ground,Facilitated.by,Dive_Site,Transect,lat,lon,aca_geomorphology,slope_mean_2020_bio_oracle_3,terrain_ruggedness_index_2020_bio_oracle_3,topographic_position_index_2020_bio_oracle_3,DESIG,ADOPT_2024,Median..year.,Timescale..years.,NO_TAKE,NO_TK_AREA,STATUS_YR,Geomorphology,OBJECTI,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,Region,is_bcu,grv_NC_,pp_cnt_,nm_prt_,rf_vl_r,sdmnt_r,ntrnt_r,score,scoreth,scorpfc,scoretr,scorecn,scorecy,biomass_kg,biomass_kg_ha,abundance_ind_250m2,FRic,FEve,FDiv,FDis,RaoQ,Year,dhw_max_6_year_max,dhw_max_6_year_mean,sst_mean_6_year_mean,sst_median_6_year_mean,sst_q90_6_year_mean,sst_sd_6_year_mean,andrello_sediments,closest_ID,closest_Lat,closest_Lon,Grav_tot,cryptoBRout,crypto5BRout,crypto15BRout,pareBRout,pare5BRout,pare15BRout,residBRout,resid15BRout,resid35BRout,transiBRout,transi15BRout,transi35BRout,cryptoBROF,crypto5BROF,crypto15BROF,pareBROF,pare5BROF,pare15BROF,residBROF,resid15BROF,resid35BROF,transiBROF,transi15BROF,transi35BROF,cryptoBRbtw,crypto5BRbtw,crypto15BRbtw,pareBRbtw,pare5BRbtw,pare15BRbtw,residBRbtw,resid15BRbtw,resid35BRbtw,transiBRbtw,transi15BRbtw,transi35BRbtw,cryptoBRin,crypto5BRin,crypto15BRin,pareBRin,pare5BRin,pare15BRin,residBRin,resid15BRin,resid35BRin,transiBRin,transi15BRin,transi35BRin,cryptoBRIF,crypto5BRIF,crypto15BRIF,pareBRIF,pare5BRIF,pare15BRIF,residBRIF,resid15BRIF,resid35BRIF,transiBRIF,transi15BRIF,transi35BRIF,cryptoLR,crypto5LR,crypto15LR,pare5LR,pare15LR,pareLR,transiLR,transi15LR,transi35LR,residLR,resid15LR,resid35LR
Kadavu,Ono,Kadavu 1,FLMMA/Kokomo,Birdland,KAD_BIRD_Transect 1,-18.84763115,178.5021932,Back Reef Slope,1.3203984,99.25547,89.51445,Locally Managed Marine Area,2005-2009,2007,18,Part,19.22,1985,Back Reef Slope,49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,Sediments,Melanesia,non-refugia,1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807,1.451507947,58.06031789,66,3.45E-17,0.693077301,0.922580016,0.188832049,0.038823021,2024,7.5160098,4.1760702,27.2834,27.252199,28.9597,1.27774,13.862197,V9899,-18.82,178.6,7,11,61,12,10,43,49,10,70,14,0,11,0,110,1943,533,272,1854,993,180,582,29,0,327,0,466.6647753,8223.666704,2819.25,2362.177247,798.2307055,308.5110462,3265.276875,1710.998474,15598.87571,0,4196.587701,0,67,50,6,52,30,35,52,102,52,24,54,34,705,1003,290,1414,1024,249,935,548,93,540,1011,560,0,0,0,0,0,0,0,0,0,0,0,0
Kadavu,Ono,Kadavu 1,FLMMA/Kokomo,Birdland,KAD_BIRD_Transect 2,-18.84763115,178.5021932,Back Reef Slope,1.3203984,99.25547,89.51445,Locally Managed Marine Area,2005-2009,2007,18,Part,19.22,1985,Back Reef Slope,49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,Sediments,Melanesia,non-refugia,1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807,1.424900381,56.99601525,74,5.80E-15,0.727472948,0.904248203,0.168337256,0.032395584,2024,7.5160098,4.1760702,27.2834,27.252199,28.9597,1.27774,13.862197,V9899,-18.82,178.6,7,11,61,12,10,43,49,10,70,14,0,11,0,110,1943,533,272,1854,993,180,582,29,0,327,0,466.6647753,8223.666704,2819.25,2362.177247,798.2307055,308.5110462,3265.276875,1710.998474,15598.87571,0,4196.587701,0,67,50,6,52,30,35,52,102,52,24,54,34,705,1003,290,1414,1024,249,935,548,93,540,1011,560,0,0,0,0,0,0,0,0,0,0,0,0
Kadavu,Ono,Kadavu 1,FLMMA/Kokomo,Birdland,KAD_BIRD_Transect 3,-18.84763115,178.5021932,Back Reef Slope,1.3203984,99.25547,89.51445,Locally Managed Marine Area,2005-2009,2007,18,Part,19.22,1985,Back Reef Slope,49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,Sediments,Melanesia,non-refugia,1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807,3.12222548,124.8890192,71,3.06E-14,0.726008574,0.923662264,0.196622883,0.040675379,2024,7.5160098,4.1760702,27.2834,27.252199,28.9597,1.27774,13.862197,V9899,-18.82,178.6,7,11,61,12,10,43,49,10,70,14,0,11,0,110,1943,533,272,1854,993,180,582,29,0,327,0,466.6647753,8223.666704,2819.25,2362.177247,798.2307055,308.5110462,3265.276875,1710.998474,15598.87571,0,4196.587701,0,67,50,6,52,30,35,52,102,52,24,54,34,705,1003,290,1414,1024,249,935,548,93,540,1011,560,0,0,0,0,0,0,0,0,0,0,0,0
Kadavu,Ono,Kadavu 1,FLMMA/Kokomo,Birdland,KAD_BIRD_Transect 4,-18.84763115,178.5021932,Back Reef Slope,1.3203984,99.25547,89.51445,Locally Managed Marine Area,2005-2009,2007,18,Part,19.22,1985,Back Reef Slope,49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,Sediments,Melanesia,non-refugia,1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807,3.301631175,132.065247,146,2.88E-13,0.643224884,0.929278902,0.194746642,0.043168751,2024,7.5160098,4.1760702,27.2834,27.252199,28.9597,1.27774,13.862197,V9899,-18.82,178.6,7,11,61,12,10,43,49,10,70,14,0,11,0,110,1943,533,272,1854,993,180,582,29,0,327,0,466.6647753,8223.666704,2819.25,2362.177247,798.2307055,308.5110462,3265.276875,1710.998474,15598.87571,0,4196.587701,0,67,50,6,52,30,35,52,102,52,24,54,34,705,1003,290,1414,1024,249,935,548,93,540,1011,560,0,0,0,0,0,0,0,0,0,0,0,0
Kadavu,Dravuni,Kadavu 1,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 1,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,23.36219802,934.4879208,180,6.05E-13,0.739975377,0.910448809,0.242449601,0.061982776,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4
Kadavu,Dravuni,Kadavu 1,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 2,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,68.69886225,2747.95449,280,1.59E-11,0.654996973,0.868004837,0.208304476,0.055230625,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4
Kadavu,Dravuni,Kadavu 1,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 3,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,6.663883823,266.5553529,74,1.94E-15,0.759616102,0.917512308,0.15026592,0.034398124,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4
Kadavu,Dravuni,Kadavu 1,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 4,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,54.67675774,2187.07031,278,7.93E-15,0.726509897,0.865741411,0.149897139,0.029985302,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4
Kadavu,Dravuni,Kadavu 1,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 5,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,28.79252441,1151.700976,179,5.50E-13,0.690244806,0.9414445,0.15891172,0.031858622,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4
Kadavu,Nukuvou,Kadavu 2,FLMMA/Matava,NukuvouCOW,KAD_COW_Transect 1,-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,Locally Managed Marine Area,2000-2004,2002,23,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,4.477802731,179.1121092,53,2.12E-15,0.77189715,0.88363597,0.17952282,0.039386609,2024,7.6159301,3.9809501,27.2136,27.1786,28.9056,1.28687,34.568253,V9871,-19.06,178.52,5,69,98,19,60,74,86,60,152,74,9,77,18,830,3007,1018,1672,2374,1146,1180,1275,196,135,1182,304,1090.674742,4087.721367,3968.333333,3559.202134,3238.796019,1444.602142,3708.478889,1774.414125,1312.505088,3793.120878,1240.462885,3937.645937,34,62,12,40,39,48,40,64,45,5,21,10,440,1887,601,1170,1698,825,925,525,118,135,246,168,0,64,0,106,60,0,0,3,0,0,22,0
