"","Sizec","Mobility","Activity","Schooling","Position","Diet_Mouillot_2014"
"Neoglyphidodon carlsoni",10,"1","1","3","1","OM"
"Acanthurus triostegus",27,"3","1","5","1","HD"
"Ctenochaetus striatus",26,"1","1","4","1","OM"
"Chaetodon auriga",23,"1","1","2","1","IM"
"Chrysiptera taupou",8,"1","1","3","1","OM"
"Chaetodon baronessa",16,"1","1","2","1","IS"
"Chaetodon bennetti",20,"1","1","2","1","IS"
"Chaetodon citrinellus",13,"1","1","2","1","IS"
"Acanthurus mata",50,"3","1","5","2","PK"
"Acanthurus lineatus",38,"1","1","1","1","HD"
"Naso hexacanthus",75,"3","1","5","3","PK"
"Naso lituratus",46,"2","1","3","1","HM"
"Naso unicornis",70,"2","1","3","1","HM"
"Halichoeres hortulanus",27,"2","1","1","1","IM"
"Bodianus loxozonus",47,"2","1","1","1","IM"
"Cirrhilabrus punctatus",13,"1","1","4","2","PK"
"Aulostomus chinensis",80,"2","1","1","2","FC"
"Lutjanus biguttatus",25,"2","3","4","2","IM"
"Lutjanus bohar",90,"2","3","4","2","FC"
"Lutjanus monostigma",60,"2","3","3","2","FC"
"Gnathodentex aureolineatus",30,"2","3","5","1","IM"
"Lethrinus semicinctus",35,"3","3","4","1","IM"
"Lethrinus harak",50,"2","1","3","1","IM"
"Macolor macularis",60,"2","2","4","3","PK"
"Monotaxis grandoculis",60,"2","3","1","2","IM"
"Macolor niger",75,"2","2","4","3","PK"
"Pterocaesio trilineata",20,"3","1","5","3","PK"
"Carangoides orthogrammus",75,"3","2","3","3","FC"
"Plectorhinchus vittatus",72,"2","1","1","1","IM"
"Lutjanus fulvus",40,"2","2","3","2","IM"
"Lutjanus gibbus",50,"2","2","4","1","IM"
"Chaetodon ephippium",30,"1","1","2","1","IS"
"Stegastes albifasciatus",13,"1","1","3","1","HD"
"Stegastes fasciolatus",15,"1","1","3","1","HD"
"Stegastes nigricans",14,"1","1","4","1","HD"
"Amphiprion chrysopterus",17,"1","1","3","1","PK"
"Siganus punctatus",40,"2","1","2","1","HD"
"Siganus doliatus",25,"2","1","2","1","HD"
"Siganus uspi",24,"2","1","2","1","HD"
"Acanthurus thompsoni",27,"3","1","4","2","PK"
"Acanthurus nigrofuscus",21,"1","1","3","1","HD"
"Acanthurus leucocheilus",45,"2","1","3","1","HD"
"Acanthurus auranticavus",45,"2","1","5","1","HD"
"Acanthurus blochii",45,"2","1","3","1","HD"
"Plectropomus leopardus",120,"2","1","1","1","FC"
"Halichoeres prosopeion",13,"2","1","1","1","IM"
"Labropsis australis",10.5,"1","1","2","1","IS"
"Anampses caeruleopunctatus",42,"2","1","3","1","IM"
"Anampses meleagrides",22,"2","1","1","1","IM"
"Anampses neoguinaicus",20,"2","1","3","1","IM"
"Anampses twistii",18,"2","1","1","1","IM"
"Sargocentron caudimaculatum",25,"2","3","1","2","IM"
"Neoniphon sammara",32,"2","3","3","2","PK"
"Scarus globiceps",27,"2","1","1","1","OM"
"Scarus dimidiatus",40,"2","1","3","1","OM"
"Scarus spinus",30,"2","1","1","1","OM"
"Scarus schlegeli",40,"2","1","4","1","OM"
"Chlorurus bleekeri",49,"2","1","3","1","OM"
"Chromis atripes",9,"1","1","4","2","PK"
"Dascyllus aruanus",10,"1","1","4","1","PK"
"Dascyllus trimaculatus",11,"1","1","3","1","PK"
"Dascyllus reticulatus",9,"1","1","4","1","PK"
"Pterois volitans",38,"1","3","1","2","FC"
"Synodus variegatus",40,"2","2","2","1","FC"
"Chromis atripectoralis",12,"1","1","5","2","PK"
"Centropyge bicolor",15,"1","1","2","1","HD"
"Centropyge flavissima",14,"1","1","2","1","HD"
"Labroides dimidiatus",14,"1","1","2","1","IM"
"Amblyglyphidodon curacao",11,"1","1","4","2","PK"
"Chrysiptera rollandi",7.5,"1","1","3","1","OM"
"Bodianus mesothorax",25,"2","1","1","1","IM"
"Hipposcarus longiceps",60,"2","1","4","1","OM"
"Scarus altipinnis",60,"2","1","5","1","OM"
"Scarus forsteni",55,"2","1","1","1","OM"
"Scarus frenatus",47,"2","1","1","1","OM"
"Scarus niger",40,"2","1","1","1","OM"
"Scarus oviceps",35,"2","1","1","1","OM"
"Scarus psittacus",30,"2","1","4","1","OM"
"Scarus rubroviolaceus",70,"2","1","3","1","OM"
"Chaetodon kleinii",15,"1","1","2","2","PK"
"Chaetodon lineolatus",30,"1","1","2","1","IS"
"Chaetodon lunula",20,"1","2","2","2","IS"
"Chaetodon lunulatus",14,"1","1","2","1","IS"
"Chaetodon mertensii",12.5,"1","1","2","1","IM"
"Forcipiger flavissimus",22,"1","1","2","1","IM"
"Forcipiger longirostris",22,"1","1","2","1","IM"
"Heniochus acuminatus",25,"1","1","2","1","IM"
"Heniochus chrysostomus",18,"1","1","2","1","IM"
"Heniochus monoceros",24,"1","1","2","1","IM"
"Heniochus singularius",30,"1","1","2","1","IM"
"Heniochus varius",19,"1","1","2","1","IM"
"Cheilinus chlorourus",45,"2","1","1","1","IM"
"Cheilinus fasciatus",40,"2","1","1","1","IM"
"Cheilinus trilobatus",45,"2","1","1","1","IM"
"Epibulus insidiator",38,"2","1","1","1","FC"
"Coris aygula",70,"2","1","1","1","IM"
"Coris gaimard",40,"2","1","1","1","IM"
"Gomphosus varius",30,"2","1","1","1","IM"
"Halichoeres margaritaceus",12.5,"2","1","3","1","IM"
"Halichoeres trimaculatus",27,"2","1","3","1","IM"
"Hemigymnus fasciatus",80,"2","1","1","1","IM"
"Hemigymnus melapterus",37,"2","1","1","1","IM"
"Hologymnosus doliatus",50,"3","1","3","1","IM"
"Stethojulis bandanensis",15,"2","1","3","1","IM"
"Thalassoma amblycephalum",16,"2","1","3","2","PK"
"Thalassoma hardwicke",20,"2","1","3","1","IM"
"Thalassoma lunare",25,"2","1","3","1","IM"
"Thalassoma lutescens",30,"2","1","3","1","IM"
"Thalassoma quinquevittatum",17,"2","1","3","1","IM"
"Labroides bicolor",15,"1","1","2","1","IM"
"Centropyge heraldi",10,"1","1","2","1","HD"
"Chromis margaritifer",9,"1","1","4","2","PK"
"Chromis ternatensis",10,"1","1","4","2","PK"
"Chromis viridis",8,"1","1","5","2","PK"
"Chromis weberi",13.5,"1","1","4","2","PK"
"Chromis xanthura",15,"1","1","5","2","PK"
"Abudefduf sexfasciatus",16,"1","1","4","2","PK"
"Amblyglyphidodon aureus",13,"1","1","3","2","PK"
"Amblyglyphidodon leucogaster",13,"1","1","4","2","PK"
"Chrysiptera biocellata",12.5,"1","1","3","1","OM"
"Chrysiptera glauca",10,"1","1","4","1","OM"
"Chrysiptera brownriggii",8,"1","1","3","1","OM"
"Neopomacentrus violascens",7.5,"1","1","5","2","PK"
"Plectroglyphidodon dickii",11,"1","1","1","1","OM"
"Plectroglyphidodon johnstonianus",14,"1","1","1","1","HD"
"Pomacentrus brachialis",8,"1","1","4","2","PK"
"Pomacentrus coelestis",9,"1","1","4","1","OM"
"Pomacentrus moluccensis",9,"1","1","4","1","OM"
"Pomacentrus philippinus",10,"1","1","4","2","PK"
"Pomacentrus vaiuli",10,"1","1","3","1","OM"
"Priacanthus hamrur",45,"2","3","3","2","IM"
"Kyphosus cinerascens",50,"3","1","4","2","HM"
"Paracirrhites arcatus",20,"1","1","1","1","IM"
"Cantherhines dumerilii",38,"2","1","2","1","IS"
"Sufflamen chrysopterum",30,"1","1","1","1","IM"
"Scolopsis trilineata",20,"2","1","1","1","IM"
"Scolopsis bilineata",23,"2","1","1","1","IM"
"Ctenochaetus cyanocheilus",16,"1","1","3","1","OM"
"Zanclus cornutus",23,"2","1","3","1","OM"
"Zebrasoma scopas",40,"2","1","3","1","HD"
"Paracirrhites forsteri",22,"1","1","1","1","FC"
"Mulloidichthys flavolineatus",43,"2","1","4","1","IM"
"Mulloidichthys vanicolensis",38,"2","1","4","1","IM"
"Parupeneus barberinoides",30,"2","1","4","1","IM"
"Parupeneus barberinus",60,"2","1","1","1","IM"
"Parupeneus cyclostomus",50,"2","1","1","1","FC"
"Parupeneus multifasciatus",35,"2","1","3","1","IM"
"Ctenochaetus binotatus",22,"1","1","3","1","OM"
"Balistapus undulatus",30,"2","1","1","1","IM"
"Balistoides viridescens",75,"2","1","1","1","IM"
"Pseudobalistes flavimarginatus",60,"2","1","1","1","IM"
"Sufflamen bursa",25,"1","1","1","1","IM"
"Plagiotremus rhinorhynchos",12,"1","1","1","2","FC"
"Parupeneus crassilabris",35,"2","1","3","1","IM"
"Pomacentrus callainus",9.5,"1","1","3","1","OM"
"Pomacentrus spilotoceps",7.8,"1","1","3","1","OM"
"Amblyglyphidodon orbicularis",8.3,"1","1","4","2","PK"
"Thalassoma nigrofasciatum",20,"2","1","3","1","IM"
"Cephalopholis argus",60,"1","2","1","1","FC"
"Arothron nigropunctatus",33,"2","1","1","1","IS"
"Amphiprion barberi",8.58,"1","1","3","1","PK"
"Scarus tricolor",50,"2","1","1","1","OM"
"Cephalopholis urodeta",28,"1","2","1","1","FC"
"Pomacanthus imperator",40,"1","1","1","1","IS"
"Sargocentron spiniferum",51,"2","3","1","2","IM"
"Chaetodon oxycephalus",25,"1","1","2","1","IS"
"Chaetodon pelewensis",12.5,"1","1","2","1","IS"
"Chaetodon plebeius",15,"1","1","2","1","IS"
"Chaetodon rafflesii",18,"1","1","2","1","IS"
"Oxymonacanthus longirostris",12,"1","1","2","1","IS"
"Pseudanthias squamipinnis",15,"1","1","5","2","PK"
"Pygoplites diacanthus",25,"1","1","1","1","IS"
"Canthigaster solandri",11.5,"1","1","1","1","OM"
"Pomacentrus nigromarginatus",8,"1","1","1","1","OM"
"Stethojulis trilineata",15,"2","1","3","1","IM"
"Abudefduf vaigiensis",20,"1","1","4","2","PK"
"Chaetodon semeion",26,"1","1","2","1","IM"
"Coris dorsomacula",20,"2","1","1","1","IM"
"Amanses scopas",20,"2","1","1","1","IM"
"Arothron manilensis",31,"2","1","1","1","IM"
"Myripristis kuntee",26,"2","3","3","2","PK"
"Myripristis violacea",35,"2","3","3","2","PK"
"Epinephelus merra",31,"2","2","1","1","FC"
"Plectropomus laevis",125,"2","1","1","1","FC"
"Heniochus diphreutes",21,"1","1","4","2","PK"
"Chaetodon trifascialis",18,"1","1","2","1","IS"
"Chaetodon ulietensis",15,"1","1","2","1","OM"
"Chaetodon unimaculatus",20,"1","1","2","1","IS"
"Chaetodon vagabundus",23,"1","1","2","1","IM"
"Helcogramma striatum",4.3,"1","1","1","1","PK"
"Caesio caerulaurea",35,"3","1","5","3","PK"
"Caesio teres",40,"3","1","5","3","PK"
"Gymnocaesio gymnoptera",18,"3","1","5","3","PK"
"Pterocaesio tile",30,"3","1","5","3","PK"
"Cetoscarus ocellatus",80,"2","1","3","1","HM"
"Chlorurus spilurus",30,"2","1","1","1","OM"
"Oxycheilinus digrammus",11.34,"2","1","1","1","IM"
"Plagiotremus flavus",6,"1","1","1","1","IM"
"Thalassoma sp",7.820000172,"1","1","3","1","IM"
"Chaetodon sp",7.5,"1","1","1","1","IM"
"Oxycheilinus sp",11.34,"2","1","1","1","IM"
"Acanthurus sp",11,"1","1","1","1","HD"
"Pomacentrus maafu",4.57,"1","1","1","1","OM"
"Scarus sp",19.05,"2","1","1","1","HD"
"Stethojulis sp",7.39,"2","1","3","1","IM"
"Cephalopholis sp",18.8,"1","1","1","1","IM"
"Chromis sp",4,"1","1","3","1","PK"
"Pomacentrus sp",4.57,"1","1","1","1","OM"
"Ctenochaetus sp",11.8,"1","1","1","1","OM"
"Halichoeres sp",4.699999809,"1","1","1","1","IM"
"Siganus sp",20,"2","1","2","1","HD"
"Stegastes lacrymatus",10,"1","1","1","1","OM"
"Chlorurus sp",30,"2","1","1","1","OM"
"Neoglyphidodon sp",10,"1","1","1","1","OM"
"Plectroglyphidodon fasciolatus",15,"1","1","3","1","HD"
"Pterocaesio sp",13,"3","1","3","3","PK"
"Zebrasoma velifer",40,"2","1","2","1","HD"
"Plectropomus sp",73,"2","1","1","1","FC"
"Cirrhilabrus sp",4.36,"1","1","4","2","PK"
"Lethrinus sp",20,"2","1","1","1","IM"
"Naso sp",30,"2","1","3","1","PK"
