Location,Permission,Fishing_Ground,Facilitated.by,Dive_Site,Transect,Median_Depth,lat,lon,aca_geomorphology,slope_mean_2020_bio_oracle_3,terrain_ruggedness_index_2020_bio_oracle_3,topographic_position_index_2020_bio_oracle_3,DESIG,ADOPT_2024,Median..year.,Timescale..years.,NO_TAKE,NO_TK_AREA,STATUS_YR,Geomorphology,OBJECTI,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,Region,is_bcu,grv_NC_,pp_cnt_,nm_prt_,rf_vl_r,sdmnt_r,ntrnt_r,score,scoreth,scorpfc,scoretr,scorecn,scorecy,biomass_kg,biomass_kg_ha,abundance_ind_250m2,FRic,FEve,FDiv,FDis,RaoQ,Year,dhw_max_6_year_max,dhw_max_6_year_mean,sst_mean_6_year_mean,sst_median_6_year_mean,sst_q90_6_year_mean,sst_sd_6_year_mean,andrello_sediments,closest_ID,closest_Lat,closest_Lon,Grav_tot,cryptoBRout,crypto5BRout,crypto15BRout,pareBRout,pare5BRout,pare15BRout,residBRout,resid15BRout,resid35BRout,transiBRout,transi15BRout,transi35BRout,cryptoBROF,crypto5BROF,crypto15BROF,pareBROF,pare5BROF,pare15BROF,residBROF,resid15BROF,resid35BROF,transiBROF,transi15BROF,transi35BROF,cryptoBRbtw,crypto5BRbtw,crypto15BRbtw,pareBRbtw,pare5BRbtw,pare15BRbtw,residBRbtw,resid15BRbtw,resid35BRbtw,transiBRbtw,transi15BRbtw,transi35BRbtw,cryptoBRin,crypto5BRin,crypto15BRin,pareBRin,pare5BRin,pare15BRin,residBRin,resid15BRin,resid35BRin,transiBRin,transi15BRin,transi35BRin,cryptoBRIF,crypto5BRIF,crypto15BRIF,pareBRIF,pare5BRIF,pare15BRIF,residBRIF,resid15BRIF,resid35BRIF,transiBRIF,transi15BRIF,transi35BRIF,cryptoLR,crypto5LR,crypto15LR,pare5LR,pare15LR,pareLR,transiLR,transi15LR,transi35LR,residLR,resid15LR,resid35LR,sp_richn,fdis,feve,fric,fdiv,fori,fspe
Kadavu,Dravuni,Kadavu_Ono,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 1,6.5,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,23.36219802,934.4879208,180,6.05e-13,0.739975377,0.910448809,0.242449601,0.061982776,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4,31,0.372998346,0.278836,0.123017813,0.796934802,0.044179535,0.394314357
Kadavu,Dravuni,Kadavu_Ono,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 2,5.5,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,68.69886225,2747.95449,280,1.59e-11,0.654996973,0.868004837,0.208304476,0.055230625,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4,36,0.233733449,0.09353,0.113366913,0.851782203,0.042476925,0.361901699
Kadavu,Dravuni,Kadavu_Ono,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 3,10.5,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,6.663883823,266.5553529,74,1.94e-15,0.759616102,0.917512308,0.15026592,0.034398124,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4,21,0.432750527,0.369916,0.104223224,0.806344103,0.053345995,0.433368326
Kadavu,Dravuni,Kadavu_Ono,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 4,4.5,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,54.67675774,2187.07031,278,7.93e-15,0.726509897,0.865741411,0.149897139,0.029985302,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4,30,0.240060101,0.253092,0.06439328,0.832823427,0.054506488,0.356932072
Kadavu,Dravuni,Kadavu_Ono,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 5,3,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,28.79252441,1151.700976,179,5.5e-13,0.690244806,0.9414445,0.15891172,0.031858622,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4,29,0.195850877,0.382065,0.103150025,0.769720535,0.037017079,0.362452333
Kadavu,Nukuvou,Kadavu,FLMMA/Matava,NukuvouCOW,KAD_COW_Transect 1,10,-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,Locally Managed Marine Area,2000-2004,2002,23,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,4.477802731,179.1121092,53,2.12e-15,0.77189715,0.88363597,0.17952282,0.039386609,2024,7.6159301,3.9809501,27.2136,27.1786,28.9056,1.28687,34.568253,V9871,-19.06,178.52,5,69,98,19,60,74,86,60,152,74,9,77,18,830,3007,1018,1672,2374,1146,1180,1275,196,135,1182,304,1090.674742,4087.721367,3968.333333,3559.202134,3238.796019,1444.602142,3708.478889,1774.414125,1312.505088,3793.120878,1240.462885,3937.645937,34,62,12,40,39,48,40,64,45,5,21,10,440,1887,601,1170,1698,825,925,525,118,135,246,168,0,64,0,106,60,0,0,3,0,0,22,0,20,0.387421021,0.356195,0.064718351,0.862530864,0.064814546,0.36135549
Kadavu,Nukuvou,Kadavu,FLMMA/Matava,NukuvouCOW,KAD_COW_Transect 2,10,-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,Locally Managed Marine Area,2000-2004,2002,23,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,3.230690601,129.227624,53,2.39e-16,0.836158999,0.940400707,0.172241027,0.031696554,2024,7.6159301,3.9809501,27.2136,27.1786,28.9056,1.28687,34.568253,V9871,-19.06,178.52,5,69,98,19,60,74,86,60,152,74,9,77,18,830,3007,1018,1672,2374,1146,1180,1275,196,135,1182,304,1090.674742,4087.721367,3968.333333,3559.202134,3238.796019,1444.602142,3708.478889,1774.414125,1312.505088,3793.120878,1240.462885,3937.645937,34,62,12,40,39,48,40,64,45,5,21,10,440,1887,601,1170,1698,825,925,525,118,135,246,168,0,64,0,106,60,0,0,3,0,0,22,0,23,0.399408329,0.55484,0.009392036,0.925115483,0.053348449,0.352713547
Kadavu,Nukuvou,Kadavu,FLMMA/Matava,NukuvouCOW,KAD_COW_Transect 3,8.5,-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,Locally Managed Marine Area,2000-2004,2002,23,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,6.567899419,262.7159768,63,2.69e-14,0.716287918,0.904447634,0.194373334,0.043186464,2024,7.6159301,3.9809501,27.2136,27.1786,28.9056,1.28687,34.568253,V9871,-19.06,178.52,5,69,98,19,60,74,86,60,152,74,9,77,18,830,3007,1018,1672,2374,1146,1180,1275,196,135,1182,304,1090.674742,4087.721367,3968.333333,3559.202134,3238.796019,1444.602142,3708.478889,1774.414125,1312.505088,3793.120878,1240.462885,3937.645937,34,62,12,40,39,48,40,64,45,5,21,10,440,1887,601,1170,1698,825,925,525,118,135,246,168,0,64,0,106,60,0,0,3,0,0,22,0,24,0.469101854,0.392312,0.091470957,0.760129509,0.038760813,0.390997077
Kadavu,Nukuvou,Kadavu,FLMMA/Matava,NukuvouCOW,KAD_COW_Transect 4,5.5,-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,Locally Managed Marine Area,2000-2004,2002,23,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,12.51662483,500.664993,137,3.62e-12,0.685026205,0.916050178,0.211728072,0.050971855,2024,7.6159301,3.9809501,27.2136,27.1786,28.9056,1.28687,34.568253,V9871,-19.06,178.52,5,69,98,19,60,74,86,60,152,74,9,77,18,830,3007,1018,1672,2374,1146,1180,1275,196,135,1182,304,1090.674742,4087.721367,3968.333333,3559.202134,3238.796019,1444.602142,3708.478889,1774.414125,1312.505088,3793.120878,1240.462885,3937.645937,34,62,12,40,39,48,40,64,45,5,21,10,440,1887,601,1170,1698,825,925,525,118,135,246,168,0,64,0,106,60,0,0,3,0,0,22,0,40,0.441943091,0.372686,0.081519825,0.80800445,0.058130441,0.388999821
Kadavu,Dravuni,Kadavu_Ono,FLMMA/Kokomo,FijiGold,KAD_FIGO_Transect 1,7,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,2002,23,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,19.6418764,785.6750559,229,1.08e-13,0.668743205,0.957669482,0.194163795,0.04497602,2024,7.9225402,4.2185998,27.3444,27.309601,28.999599,1.2636,0,V9869,-18.74,178.52,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4,38,0.54137497,0.432529,0.091188082,0.902942442,0.039191676,0.434221294
