"","Neoglyphidodon carlsoni","Acanthurus triostegus","Ctenochaetus striatus","Chaetodon auriga","Chrysiptera taupou","Chaetodon baronessa","Chaetodon bennetti","Chaetodon citrinellus","Acanthurus mata","Acanthurus lineatus","Naso hexacanthus","Naso lituratus","Naso unicornis","Halichoeres hortulanus","Bodianus loxozonus","Cirrhilabrus punctatus","Aulostomus chinensis","Lutjanus biguttatus","Lutjanus bohar","Lutjanus monostigma","Gnathodentex aureolineatus","Lethrinus semicinctus","Lethrinus harak","Macolor macularis","Monotaxis grandoculis","Macolor niger","Pterocaesio trilineata","Carangoides orthogrammus","Plectorhinchus vittatus","Lutjanus fulvus","Lutjanus gibbus","Chaetodon ephippium","Stegastes albifasciatus","Stegastes fasciolatus","Stegastes nigricans","Amphiprion chrysopterus","Siganus punctatus","Siganus doliatus","Siganus uspi","Acanthurus thompsoni","Acanthurus nigrofuscus","Acanthurus leucocheilus","Acanthurus auranticavus","Acanthurus blochii","Plectropomus leopardus","Halichoeres prosopeion","Labropsis australis","Anampses caeruleopunctatus","Anampses meleagrides","Anampses neoguinaicus","Anampses twistii","Sargocentron caudimaculatum","Neoniphon sammara","Scarus globiceps","Scarus dimidiatus","Scarus spinus","Scarus schlegeli","Chlorurus bleekeri","Chromis atripes","Dascyllus aruanus","Dascyllus trimaculatus","Dascyllus reticulatus","Pterois volitans","Synodus variegatus","Chromis atripectoralis","Centropyge bicolor","Centropyge flavissima","Labroides dimidiatus","Amblyglyphidodon curacao","Chrysiptera rollandi","Bodianus mesothorax","Hipposcarus longiceps","Scarus altipinnis","Scarus forsteni","Scarus frenatus","Scarus niger","Scarus oviceps","Scarus psittacus","Scarus rubroviolaceus","Chaetodon kleinii","Chaetodon lineolatus","Chaetodon lunula","Chaetodon lunulatus","Chaetodon mertensii","Forcipiger flavissimus","Forcipiger longirostris","Heniochus acuminatus","Heniochus chrysostomus","Heniochus monoceros","Heniochus singularius","Heniochus varius","Cheilinus chlorourus","Cheilinus fasciatus","Cheilinus trilobatus","Epibulus insidiator","Coris aygula","Coris gaimard","Gomphosus varius","Halichoeres margaritaceus","Halichoeres trimaculatus","Hemigymnus fasciatus","Hemigymnus melapterus","Hologymnosus doliatus","Stethojulis bandanensis","Thalassoma amblycephalum","Thalassoma hardwicke","Thalassoma lunare","Thalassoma lutescens","Thalassoma quinquevittatum","Labroides bicolor","Centropyge heraldi","Chromis margaritifer","Chromis ternatensis","Chromis viridis","Chromis weberi","Chromis xanthura","Abudefduf sexfasciatus","Amblyglyphidodon aureus","Amblyglyphidodon leucogaster","Chrysiptera biocellata","Chrysiptera glauca","Chrysiptera brownriggii","Neopomacentrus violascens","Plectroglyphidodon dickii","Plectroglyphidodon johnstonianus","Pomacentrus brachialis","Pomacentrus coelestis","Pomacentrus moluccensis","Pomacentrus philippinus","Pomacentrus vaiuli","Priacanthus hamrur","Kyphosus cinerascens","Paracirrhites arcatus","Cantherhines dumerilii","Sufflamen chrysopterum","Scolopsis trilineata","Scolopsis bilineata","Ctenochaetus cyanocheilus","Zanclus cornutus","Zebrasoma scopas","Paracirrhites forsteri","Mulloidichthys flavolineatus","Mulloidichthys vanicolensis","Parupeneus barberinoides","Parupeneus barberinus","Parupeneus cyclostomus","Parupeneus multifasciatus","Ctenochaetus binotatus","Balistapus undulatus","Balistoides viridescens","Pseudobalistes flavimarginatus","Sufflamen bursa","Plagiotremus rhinorhynchos","Parupeneus crassilabris","Pomacentrus callainus","Pomacentrus spilotoceps","Amblyglyphidodon orbicularis","Thalassoma nigrofasciatum","Cephalopholis argus","Arothron nigropunctatus","Amphiprion barberi","Scarus tricolor","Cephalopholis urodeta","Pomacanthus imperator","Sargocentron spiniferum","Chaetodon oxycephalus","Chaetodon pelewensis","Chaetodon plebeius","Chaetodon rafflesii","Oxymonacanthus longirostris","Pseudanthias squamipinnis","Pygoplites diacanthus","Canthigaster solandri","Pomacentrus nigromarginatus","Stethojulis trilineata","Abudefduf vaigiensis","Chaetodon semeion","Coris dorsomacula","Amanses scopas","Arothron manilensis","Myripristis kuntee","Myripristis violacea","Epinephelus merra","Plectropomus laevis","Heniochus diphreutes","Chaetodon trifascialis","Chaetodon ulietensis","Chaetodon unimaculatus","Chaetodon vagabundus","Helcogramma striatum","Caesio caerulaurea","Caesio teres","Gymnocaesio gymnoptera","Pterocaesio tile","Cetoscarus ocellatus","Chlorurus spilurus","Oxycheilinus digrammus","Plagiotremus flavus","Thalassoma sp","Chaetodon sp","Oxycheilinus sp","Acanthurus sp","Pomacentrus maafu","Scarus sp","Stethojulis sp","Cephalopholis sp","Chromis sp","Pomacentrus sp","Ctenochaetus sp","Halichoeres sp","Siganus sp","Stegastes lacrymatus","Chlorurus sp","Neoglyphidodon sp","Plectroglyphidodon fasciolatus","Pterocaesio sp","Zebrasoma velifer","Plectropomus sp","Cirrhilabrus sp","Lethrinus sp","Naso sp","Cheilinus sp","Chrysiptera sp","Stegastes sp","Arothron sp","Lutjanus sp","Taeniamia kagoshimana","Pseudanthias sp"
"KAD_CAT_Transect 1",0,0,281.045263220232,0,0,0,0,0,0,2257.96397995565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.660109699398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.411378248846,0,1021.11721513766,1579.97763296064,0,0,0,0,0,15.4524118806433,0,0,0,677.495481648982,0,540.658647251243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315.67291262487,31.3968421641827,2850.96362416198,1245.34481168653,0,0,0,0,24.2385309956819,0,23.0419783683017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96844976773749,0,0,0,0,0,0,172.225340478288,554.281777435384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0814160359528,0,0,0,0,0,0,0,0,0,0,30.3329986275385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9079250318854,0,0,0,0,0,0,0,0,0,0,0,0,764.077161331148,0,0,0,0,33.8120142421487,0,0,0,0,748.534383217204,0,0,0,0,6695.62755015989,0,0,0,0,0,448.536234286874,0,0,0,0,0,21.0899595943352,0,0,0,88.0039085323323,0,8.41780225969235,13.3195317636427,144.540748260751,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_CAT_Transect 2",0,0,959.386598422604,0,0,27.314465531503,0,0,0,5671.21841079939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408.40949193138,0,0,0,0,0,0,0,0,0,2221.76640583068,0,0,0,0,0,0,0,0,0,0,0,73.3085025144416,2064.69251277522,0,902.222362234868,0,0,0,0,0,0,0,0,0,0,0,1.44990857273505,0,0,176.899261107109,0,0,0,1724.59335800738,47.4404791312129,18435.3313104148,2897.82593457517,0,0,0,0,0,0,0,0,0,0,0,0,917.971393278375,0,0,0,0,0,0,0,0,0,1364.12579124448,0,0,0,0,30.2996036081558,0,0,0,0,0,0,159.073315212164,0,0,265.508663122637,0,0,0,0,0,0,0,0,0,0,1.30307194082606,3.08270469706816,132.012546606598,0,0,0,0,0,0,0,0,0,150.088019493418,477.182923629022,43.4654259511208,0,0,0,0,0,0,0,0,0,0,0,0,846.894107136012,23.6143636452953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.37010463975,0,0,0,0,33.8120142421487,0,159.357029578924,0,0,0,0,0,0,0,25416.3181717127,0,0.956344312328413,0,0,0,1083.2362916735,0,0,0,0,0,14.6701055370237,0,0,0,61.6871375778919,0,0,0,794.974115434131,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_CAT_Transect 3",0,0,99.2528409453454,0,0,0,0,0,0,0,0,0,0,0,227.551785978732,0,0,0,676.715558169723,0,0,0,0,0,0,223.463969732204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.470459416282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.650845092012,0,0,0,0,11.9511467105233,0,0,0,0,0,1.99808155676277,0,0,0,0,0,0,0,0,0,302.588611532119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0585901200823,15.025676204597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60614388165212,3.08270469706816,0,0,0,0,0,0,0,0,0,0,0,34.5131398436583,0,0,0,0,0,0,0,0,0,0,0,98.4366059943515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3970.41677620731,0,0,0,0,0,224.268117143437,0,0,26.1368352476594,0,4.13694883287848,39.8979536731926,0,0,0,12.6610323158944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_CAT_Transect 4",0,0,2046.46588044572,0,0,0,0,0,0,9737.89037610461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376.08779662697,0,0,0,18.6552787888972,0,0,0,0,0,750.598615786038,0,0,1063.33838074565,0,0,0,0,0,0,0,0,177.090924839254,3245.93761972519,0,0,876.674017582706,0,0,0,0,0,0,0,0,0,0,22.5762960738294,0,0,0,0,0,0,3671.79397922656,178.620498200491,8166.98574789056,907.765834596357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5385098513078,0,0,0,0,54.0585901200823,0,76.9998657306525,0,0,0,0,0,0,0,47.2444995340812,0,0,0,0,0,1.30307194082606,0,78.9292426249317,0,0,0,0,0,0,0,0,0,225.132029240128,393.391919616891,0,0,0,0,0,0,0,236.564564511833,0,0,0,0,0,423.447053568006,32.2491977096977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.361044954321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19807.2296580662,37.1915416027222,0,0,0,0,791.197927019956,0,0,0,0,0,0,0,0,0,26.0644198664394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_CAT_Transect 5",0,0,205.312955775246,0,0,0,0,0,0,2759.82222754645,0,0,0,195.410778230564,0,0,0,0,0,0,0,0,0,0,143.469031982843,0,0,0,0,0,0,0,0,0,256.344478271403,0,0,0,0,0,1806.54239798071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.856907803645,0,0,0,0,0,0,0,0,0,0,1.41504408706857,0,0,0,0,0,0,3793.93579277901,0,8795.69717477987,0,0,0,0,0,48.6053662077559,0,0,0,0,0,0,0,230.725994775811,189.896376307849,0,0,0,0,0,18.2079401252637,0,0,723.120083965819,0,20.5112112168919,15.4580045978912,0,31.4080017853115,0,0,56.895354084634,0,0,22.6578450437112,0,0,0,0,0,0,0,0,43.8970217967116,11.646761489195,0,22.68188395227,0,0,0,0,24.8127707373619,0,0,0,0,0,0,0,0,0,0,34.4665040257194,102.643622222875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9075.4078870195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3554609226933,0,0,13.3195317636427,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_COW_Transect 1",0,0,1215.2604693943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.13972463501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.243085808197,0,1369.02722577336,0,0,0,0,0,0,0,0,223.669964636401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8704307872012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0023078588103,0,0,65.2814170370564,0,0,0,55.2803171457255,0,0,7.01671355631335,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7388204740931,0,0,0,0,0,0,0,0,230.876658932024,0,0,155.737668962602,0,0,0,0,145.411847334232,0,56.2969391424262,0,0,0,0,0,0,0,8.77244381800375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.263446616137,30.9129554283169,4.16636777604569,10.6047728578961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_COW_Transect 2",0,0,562.169040062946,0,0,34.0228405814096,0,0,0,0,0,0,0,141.74640404078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1096190966811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.306773721963,0,240.939078792014,753.796936951932,0,17.5720910531002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.02470415295,67.2074319421699,142.826797108945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.190773662093,0,0,33.0023078588103,0,0,0,0,0,0,50.1288674795039,0,0,0,0,0,0,0,0,0,87.9009741785678,0,0,0,0,0,0,125.834349260636,0,0,0,0,0,0,0,0,64.2183411762756,0,57.1019855882788,43.0018081107562,0,0,0,0,0,0,12.3037916602213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16636777604569,21.2095457157922,19.9097712355717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_COW_Transect 3",0,0,0,0,0,16.9763593663885,0,0,0,0,0,0,0,209.257336785075,0,0,0,0,0,0,0,0,0,0,539.946320774995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231.64289721819,0,0,0,0,0,0,0,0,0,0,0,27.3408185551828,0,126.306773721963,0,388.152799464396,0,0,0,0,0,0,0,0,173.67933299028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0721166915039,40.2065769415834,71.3315051091583,0,0,0,0,0,0,331.506806024652,0,0,0,0,191.433828807111,0,0,1086.20564568423,0,0,0,0,0,0,0,0,0,100.257734959008,0,0,0,0,0,0,0,0,0,0,0,5.40852820653146,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0128845613658,0,411.534409860616,292.174453618954,0,0,0,0,63.3032833235516,0,328.17789746035,0,0,0,0,0,0,0,0,0,84.9100787508188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.132428659757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.928601394383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_COW_Transect 4",0,0,1330.73089952965,0,0,33.952718732777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.26868942917,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6351618759201,0,0,0,0,0,298.905495765346,18.6135071091875,0,0,0,0,0,0,0,0,0,0,0,0,974.471071970923,0,736.754753914443,77.1392844218882,0,10.5432546318601,0,16.6753036075817,0,19.2544479855863,0,149.113309757601,17.4700953244233,0,0,0,46.4367988356863,0,0,73.7648154352783,0,0,0,0,0,0,0,0,0,116.144233383008,35.1297977273236,0,0,0,0,0,0,0,0,0,0,0,0,69.9938773538822,0,0,1086.35131687173,0,0,0,0,59.0211002507429,38.7319077622254,0,0,0,45.2310861671744,0,69.1025331599394,28.0668542252534,0,0,0,0,0,0,87.9009741785678,0,0,0,0,0,2.60614388165212,0,37.8954585372742,0,0,0,0,0,0,0,64.2183411762756,0,0,409.695989211763,0,0,0,48.4213473765607,72.7755611945712,31.2203347871128,485.059939912492,0,118.697108431786,0,0,0,0,0,23.0026415434741,0,327.130059801989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7658289599988,0,0,0,0,0,0,0,0,0,3986.95047826924,0,0,0,0,84.222185773427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAD_FIGO_Transect 1",0,0,1070.53537294019,0,0,0,0,0,71.3662076943758,1521.14975440068,0,0,0,39.661267121377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4273857148044,0,0,0,0,0,0,0,0,172.187930533186,0,0,0,0,0,0,0,0,0,0,0,0,0,364.10108159987,0,0,0,44.0045894314343,0,0,0,0,0,0,0,0,0,0,0,0,0,710.693352834736,0,0,0,2345.32251178795,0,0,0,38.9088431905086,0,58.5829662195659,0,101.350871383756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.177673986312,0,0,0,0,0,0,0,0,0,24.9547776469633,180.058560487923,815.729574390231,0,1788.66908920875,3224.5662744223,0,0,0,0,0,0,0,21.4592542835288,0,31.6486039619674,0,0,15.341242360053,0,0,0,0,0,0,0,0,136.539423167639,434.172160455991,42.2337245402473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.76941763362,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1935701971193,0,0,0,0,0,0,0,0,0,0,0,83.1211317250017,152.31944395782,0,0,0,120.658714078895,0,0,0,0,0,0,0,0,0,4529.86617884393,0,0,11.8777747344262,0,0,598.117604223852,0,292.493242301736,0,0,0,7.05521315094944,3.5617824566424,0,0,90.5090198529884,52.4908113666464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
