location,site,data_type,lat,lon,n,closest_ID,closest_Lat,closest_Lon,Geomoprh,OpCode,Grav_tot,cryptoBRout,crypto5BRout,crypto15BRout,pareBRout,pare5BRout,pare15BRout,residBRout,resid15BRout,resid35BRout,transiBRout,transi15BRout,transi35BRout,cryptoBROF,crypto5BROF,crypto15BROF,pareBROF,pare5BROF,pare15BROF,residBROF,resid15BROF,resid35BROF,transiBROF,transi15BROF,transi35BROF,cryptoBRbtw,crypto5BRbtw,crypto15BRbtw,pareBRbtw,pare5BRbtw,pare15BRbtw,residBRbtw,resid15BRbtw,resid35BRbtw,transiBRbtw,transi15BRbtw,transi35BRbtw,cryptoBRin,crypto5BRin,crypto15BRin,pareBRin,pare5BRin,pare15BRin,residBRin,resid15BRin,resid35BRin,transiBRin,transi15BRin,transi35BRin,cryptoBRIF,crypto5BRIF,crypto15BRIF,pareBRIF,pare5BRIF,pare15BRIF,residBRIF,resid15BRIF,resid35BRIF,transiBRIF,transi15BRIF,transi35BRIF,cryptoLR,crypto5LR,crypto15LR,pare5LR,pare15LR,pareLR,transiLR,transi15LR,transi35LR,residLR,resid15LR,resid35LR
Kadavu,Birdland,DOV,-18.84763115,178.5021932,4,V9899,-18.82,178.6,Back reef slope,KAD_BIR,7,11,61,12,10,43,49,10,70,14,0,11,0,110,1943,533,272,1854,993,180,582,29,0,327,0,466.6647753,8223.666704,2819.25,2362.177247,798.2307055,308.5110462,3265.276875,1710.998474,15598.87571,0,4196.587701,0,67,50,6,52,30,35,52,102,52,24,54,34,705,1003,290,1414,1024,249,935,548,93,540,1011,560,0,0,0,0,0,0,0,0,0,0,0,0
Kadavu,Catherine,DOV,-18.7013889,178.5322222,5,V9869,-18.74,178.52,Sheltered reef slope,KAD_CAT,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4
Kadavu,FijiGold,DOV,-18.7133333,178.5438889,6,V9869,-18.74,178.52,Sheltered reef slope,KAD_FIG,10,87,51,24,75,47,95,75,125,92,9,26,15,1055,2545,1226,2138,2572,1923,1595,1220,244,180,486,224,1130.537932,1431.841776,3078.666667,20629.73236,4859.052848,31.0231445,22739.43404,194.5863487,18686.68545,0,6.99596118,100.1990338,22,28,20,18,24,28,18,35,23,0,11,1,625,3158,1252,588,4942,2496,570,1350,125,0,417,16,20,285,45,462,84,32,0,0,0,30,32,4
Kadavu,Lupes,DOV,-19.02048259,178.4895541,5,V9871,-19.06,178.52,Back reef,KAD_LUP,5,69,98,19,60,74,86,60,152,74,9,77,18,830,3007,1018,1672,2374,1146,1180,1275,196,135,1182,304,1090.674742,4087.721367,3968.333333,3559.202134,3238.796019,1444.602142,3708.478889,1774.414125,1312.505088,3793.120878,1240.462885,3937.645937,34,62,12,40,39,48,40,64,45,5,21,10,440,1887,601,1170,1698,825,925,525,118,135,246,168,0,64,0,106,60,0,0,3,0,0,22,0
Kadavu,Maidive,DOV,-18.9059233,178.52366,5,V9848,-18.98,178.44,Back reef slope,KAD_MAI,0,86,93,27,80,62,109,80,162,98,33,76,27,1340,3057,1518,2316,2210,1350,1790,1752,304,1170,1830,856,1913.859851,8643.099576,389,466.51872,5921.125399,905.341898,521.7194439,7439.157003,37792.17725,15.08333333,569.7405981,1288.636515,12,46,9,14,29,35,14,47,33,1,13,5,85,1511,509,384,1312,576,260,538,164,15,459,136,0,27,90,22,15,28,0,27,8,20,29,2
Kadavu,Narikoso,DOV,-18.9158333,178.5330556,5,V9848,-18.98,178.44,NA,NA,0,86,93,27,80,62,109,80,162,98,33,76,27,1340,3057,1518,2316,2210,1350,1790,1752,304,1170,1830,856,1913.859851,8643.099576,389,466.51872,5921.125399,905.341898,521.7194439,7439.157003,37792.17725,15.08333333,569.7405981,1288.636515,12,46,9,14,29,35,14,47,33,1,13,5,85,1511,509,384,1312,576,260,538,164,15,459,136,0,27,90,22,15,28,0,27,8,20,29,2
Kadavu,NukuvouCOW,DOV,-19.01829737,178.4898473,4,V9871,-19.06,178.52,Back reef,KAD_COW,5,69,98,19,60,74,86,60,152,74,9,77,18,830,3007,1018,1672,2374,1146,1180,1275,196,135,1182,304,1090.674742,4087.721367,3968.333333,3559.202134,3238.796019,1444.602142,3708.478889,1774.414125,1312.505088,3793.120878,1240.462885,3937.645937,34,62,12,40,39,48,40,64,45,5,21,10,440,1887,601,1170,1698,825,925,525,118,135,246,168,0,64,0,106,60,0,0,3,0,0,22,0
Kadavu,RobertsReef,DOV,-19.02253742,178.4892083,5,V9871,-19.06,178.52,Back reef,KAD_ROB,5,69,98,19,60,74,86,60,152,74,9,77,18,830,3007,1018,1672,2374,1146,1180,1275,196,135,1182,304,1090.674742,4087.721367,3968.333333,3559.202134,3238.796019,1444.602142,3708.478889,1774.414125,1312.505088,3793.120878,1240.462885,3937.645937,34,62,12,40,39,48,40,64,45,5,21,10,440,1887,601,1170,1698,825,925,525,118,135,246,168,0,64,0,106,60,0,0,3,0,0,22,0
Kadavu,Soso1,DOV,-19.050175,178.2953433,4,V9864,-19.06,178.28,Back reef ,KAD_SO1,4,52,106,18,43,76,91,43,145,55,5,62,8,665,2848,918,1268,2448,1323,1020,1114,175,150,936,152,2931.43164,4732.486918,3630.166667,1413.472836,4267.567656,1676.272556,1709.402061,5652.93437,3439.946774,36.27628205,1476.326521,81.16877281,49,57,8,28,30,38,28,66,37,11,39,9,640,1580,399,792,662,519,580,449,95,315,465,88,0,16,0,0,21,0,0,24,8,0,15,0
Kadavu,Soso2,DOV,-19.05842,178.30866,4,V9864,-19.06,178.28,Back reef ,KAD_SO2,4,52,106,18,43,76,91,43,145,55,5,62,8,665,2848,918,1268,2448,1323,1020,1114,175,150,936,152,2931.43164,4732.486918,3630.166667,1413.472836,4267.567656,1676.272556,1709.402061,5652.93437,3439.946774,36.27628205,1476.326521,81.16877281,49,57,8,28,30,38,28,66,37,11,39,9,640,1580,399,792,662,519,580,449,95,315,465,88,0,16,0,0,21,0,0,24,8,0,15,0
