Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,
GX010027_L.MP4,15214,8.4607,KAD_ROB_Transect 1,0.5884,,3.237,11.262,2325.967,24.048,,,-760.017,-567.628,-2123.746,KAD_ROB,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,,
GX010027_L.MP4,15256,8.484,KAD_ROB_Transect 1,0.6117,,7.265,0.525,3513.427,24.244,,,1168.312,-848.281,-3203.067,KAD_ROB,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,,
GX010027_L.MP4,15285,8.5002,KAD_ROB_Transect 1,0.6278,,1.997,13.961,1804.167,26.57,,,-674.391,-444.128,-1613.372,KAD_ROB,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,,
GX010027_L.MP4,15301,8.5091,KAD_ROB_Transect 1,0.6367,87.539,5.68,18.029,2104.018,29.469,75.199,2.507,808.383,-646.46,-1831.802,KAD_ROB,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,,
GX010027_L.MP4,15322,8.5207,KAD_ROB_Transect 1,0.6484,,3.432,0.176,2314.987,21.376,,,410.63,-738.37,-2155.309,KAD_ROB,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,,
GX010027_L.MP4,15322,8.5207,KAD_ROB_Transect 1,0.6484,,3.747,2.349,2444.476,23.832,,,504.202,-850.638,-2235.544,KAD_ROB,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,,
GX010027_L.MP4,15375,8.5502,KAD_ROB_Transect 1,0.6779,62.111,6.137,13.481,2409.736,27.232,58.621,28.561,-951.853,-556.693,-2142.638,KAD_ROB,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,,
GX010027_L.MP4,15442,8.5875,KAD_ROB_Transect 1,0.7152,41.03,3.879,19.041,2119.459,29.584,28.932,6.47,825.347,-643.214,-1843.145,KAD_ROB,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,,
GX010027_L.MP4,15727,8.746,KAD_ROB_Transect 1,0.8737,,15.01,3.099,5107.654,23.018,,,-1336.533,1481.329,-4701.858,KAD_ROB,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,,
GX010027_L.MP4,15727,8.746,KAD_ROB_Transect 1,0.8737,,30.957,1.488,7272.089,17.174,,,-497.483,2084.788,-6949.061,KAD_ROB,Peter,Zanclidae,Zanclus,cornutus,37437001,1,AD,Passing,,
