Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
TY_BT_Cam1_Left_3101_01.MP4,12543,3.4877,Lau_Totoya_BT_Transect 1,0.1079,106.147,6.838,3.234,2146.306,20.815,46.099,3.842,669.638,-365.105,-2006.219,Lau_Totoya_BT,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,12543,3.4877,Lau_Totoya_BT_Transect 1,0.1079,,7.334,0.319,3332.702,10.834,,,-623.246,-42.631,-3273.63,Lau_Totoya_BT,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,12588,3.5002,Lau_Totoya_BT_Transect 1,0.1204,92.72,6.008,6.378,2373.619,27.619,20.729,1.78,1097.741,-76.074,-2103.151,Lau_Totoya_BT,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,12692,3.5291,Lau_Totoya_BT_Transect 1,0.1493,120.117,4.378,13.218,1747.44,15.348,41.9,6.991,-258.239,-383.695,-1685.122,Lau_Totoya_BT,Peter,Pomacentridae,Stegastes,nigricans,37372135,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,12695,3.5299,Lau_Totoya_BT_Transect 1,0.1501,121.429,7.548,5.742,1973.462,17.427,73.239,6.087,-442.053,-392.321,-1882.877,Lau_Totoya_BT,Peter,Pomacentridae,Stegastes,nigricans,37372135,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,12719,3.5366,Lau_Totoya_BT_Transect 1,0.1568,86.795,7.596,1.879,2442.536,5.569,35.975,9.24,-32.118,-234.852,-2431.007,Lau_Totoya_BT,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,12719,3.5366,Lau_Totoya_BT_Transect 1,0.1568,126.214,4.463,5.563,1811.075,13.613,39.634,12.791,194.807,-379.138,-1760.199,Lau_Totoya_BT,Peter,Labridae,Gomphosus,varius,37384106,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,12719,3.5366,Lau_Totoya_BT_Transect 1,0.1568,,4.816,2.071,2571.729,24.34,,,-992.437,-357.475,-2345.436,Lau_Totoya_BT,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,12755,3.5466,Lau_Totoya_BT_Transect 1,0.1668,,2.656,1.694,1892.6,9.37,,,-52.243,-291.955,-1869.216,Lau_Totoya_BT,Peter,Pomacentridae,Stegastes,nigricans,37372135,1,AD,Passing,
TY_BT_Cam1_Left_3101_01.MP4,13007,3.6167,Lau_Totoya_BT_Transect 1,0.2369,84.631,6.003,4.26,1778.565,15.463,66.334,9.251,-468.596,-72.579,-1714.189,Lau_Totoya_BT,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,
