Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
VB_Bay_Cam1_Left_2810_01.MP4,35796,9.9533,Lau_VanuaBalavu_Transect 1,0.3537,,5.624,0.461,2810.667,25.146,,,-1179.441,203.994,-2543.061,Lau_VanuaBalavu,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,35796,9.9533,Lau_VanuaBalavu_Transect 1,0.3537,,3.956,2.751,2429.852,33.069,,,-1322.661,-79.089,-2036.785,Lau_VanuaBalavu,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,35796,9.9533,Lau_VanuaBalavu_Transect 1,0.3537,,5.953,3.308,2918.177,26.862,,,-1314.613,-85.64,-2603.885,Lau_VanuaBalavu,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,35796,9.9533,Lau_VanuaBalavu_Transect 1,0.3537,,6.009,0.387,2948.626,28.408,,,-1402.764,7.314,-2593.568,Lau_VanuaBalavu,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,35796,9.9533,Lau_VanuaBalavu_Transect 1,0.3537,,6.399,0.672,3012.323,20.961,,,-1068.409,158.068,-2812.047,Lau_VanuaBalavu,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,35927,9.9897,Lau_VanuaBalavu_Transect 1,0.3901,,3.889,7.566,2360.203,30.331,,,-1187.854,-85.433,-2037.71,Lau_VanuaBalavu,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36176,10.0589,Lau_VanuaBalavu_Transect 1,0.4593,48.65,3.432,5.446,1983.316,22.259,23.751,40.127,-704.553,-260.809,-1835.517,Lau_VanuaBalavu,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36263,10.0831,Lau_VanuaBalavu_Transect 1,0.4835,34.834,3.156,6.201,1443.494,26.637,66.341,27.881,-565.687,-314.377,-1290.287,Lau_VanuaBalavu,Peter,Pomacentridae,Chrysiptera,rollandi,37372067,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36267,10.0842,Lau_VanuaBalavu_Transect 1,0.4847,58.059,2.69,6.889,1703.055,23.589,25.093,0.061,189.477,-654.652,-1560.745,Lau_VanuaBalavu,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36279,10.0876,Lau_VanuaBalavu_Transect 1,0.488,,4.511,4.818,2476.469,28.493,,,739.456,-907.739,-2182.227,Lau_VanuaBalavu,Peter,Pomacentridae,Chrysiptera,rollandi,37372067,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36279,10.0876,Lau_VanuaBalavu_Transect 1,0.488,,3.701,7.118,2228.977,22.769,,,473.703,-708.067,-2059.754,Lau_VanuaBalavu,Peter,Pomacentridae,Chrysiptera,rollandi,37372067,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36296,10.0923,Lau_VanuaBalavu_Transect 1,0.4927,,8.376,4.299,3421.283,29.476,,,1339.386,-1001.155,-2984.78,Lau_VanuaBalavu,Peter,Nemipteridae,Scolopsis,bilineata,37347031,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36307,10.0954,Lau_VanuaBalavu_Transect 1,0.4958,53.974,1.969,3.514,1984.604,1.881,6.147,9.863,-65.151,0.437,-1983.534,Lau_VanuaBalavu,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36350,10.1073,Lau_VanuaBalavu_Transect 1,0.5077,85.059,7.622,9.057,2843.592,33.439,27.544,29.703,-1327.251,832.922,-2372.902,Lau_VanuaBalavu,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36350,10.1073,Lau_VanuaBalavu_Transect 1,0.5077,83.937,8.324,10.251,3092.355,35.021,7.277,0.513,-1516.335,921.945,-2532.471,Lau_VanuaBalavu,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36350,10.1073,Lau_VanuaBalavu_Transect 1,0.5077,,6.311,11.188,3083.438,35.773,,,-1568.927,903.093,-2496.093,Lau_VanuaBalavu,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36350,10.1073,Lau_VanuaBalavu_Transect 1,0.5077,,5.543,6.654,2774.99,27.771,,,-1214.734,458.349,-2452.53,Lau_VanuaBalavu,Peter,Acanthuridae,Acanthurus,blochii,37437007,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36386,10.1173,Lau_VanuaBalavu_Transect 1,0.5177,95.169,3.651,5.327,1443.599,11.561,57.325,19.636,-236.147,-167.139,-1414.312,Lau_VanuaBalavu,Peter,Labridae,Thalassoma,lunare,37384167,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36386,10.1173,Lau_VanuaBalavu_Transect 1,0.5177,,5.239,11.56,2849.53,36.205,,,-1575.059,607.839,-2295.548,Lau_VanuaBalavu,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36414,10.1251,Lau_VanuaBalavu_Transect 1,0.5255,41.135,1.401,3.719,1073.305,27.159,32.071,2.524,-310.147,-379.25,-954.967,Lau_VanuaBalavu,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36414,10.1251,Lau_VanuaBalavu_Transect 1,0.5255,71.149,2.42,2.842,1727.977,14.959,12.258,3.166,-435.256,-97.443,-1669.42,Lau_VanuaBalavu,Peter,Labridae,Labropsis,australis,37384132,1,AD,Passing,
VB_Bay_Cam1_Left_2810_01.MP4,36543,10.161,Lau_VanuaBalavu_Transect 1,0.5614,23.745,0.851,6.269,816.392,24.141,21.477,3.551,-255.363,-215.108,-744.993,Lau_VanuaBalavu,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
