Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,
SAV_GNU_CAM1_left_2009_1.MP4,20755,11.5421,SAV_GNU_Transect 4,0.1924,73.666,5.187,13.935,2777.274,27.457,21.821,28.405,-1138.669,-585.899,-2464.428,SAV_GNU_2009,Peter,Labridae,Labropsis,australis,37384132,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20764,11.5471,SAV_GNU_Transect 4,0.1974,,5.182,4.552,2868.286,8.96,,,227.792,-373.018,-2834.789,SAV_GNU_2009,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20764,11.5471,SAV_GNU_Transect 4,0.1974,,3.86,5.444,2453.339,8.954,,,-117.655,-353.646,-2424.863,SAV_GNU_2009,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20764,11.5471,SAV_GNU_Transect 4,0.1974,55.628,3.953,4.825,1888.659,20.884,41.212,19.179,630.222,-236.874,-1764.58,SAV_GNU_2009,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20764,11.5471,SAV_GNU_Transect 4,0.1974,,2.898,4.933,2101.758,15.125,,,-232.303,-488.721,-2030.904,SAV_GNU_2009,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20771,11.551,SAV_GNU_Transect 4,0.2013,31.331,2.9,6.853,2107.463,25.363,7.514,5.893,-713.473,-553.08,-1904.327,SAV_GNU_2009,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20829,11.5832,SAV_GNU_Transect 4,0.2336,49.574,1.056,5.953,1305.759,17.469,10.123,17.782,-1.757,-391.968,-1245.538,SAV_GNU_2009,Peter,Pomacentridae,Chromis,atripes,37372037,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20838,11.5882,SAV_GNU_Transect 4,0.2386,48.899,1.372,5.758,1070.213,10.548,36.665,3.618,-156.331,-118.087,-1052.128,SAV_GNU_2009,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20838,11.5882,SAV_GNU_Transect 4,0.2386,,0.834,6.064,1045.135,7.456,,,-66.398,-114.153,-1036.758,SAV_GNU_2009,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,20956,11.6539,SAV_GNU_Transect 4,0.3042,257.858,1.64,12.867,1284.278,17.253,27.827,5.99,-259.179,-279.12,-1226.494,SAV_GNU_2009,Peter,Pteroidae,Pterois,volitans,37287040,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,11.947,8.385,5000.019,25.432,,,-2129.664,-255.904,-4516.551,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,11.22,8.805,4911.183,26.691,,,-2186.394,-275.791,-4389.002,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,17.425,12.601,5989.539,23.677,,,-2401.104,-119.293,-5485.895,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,13.205,9.076,5330.688,26.101,,,-2343.496,110.918,-4786.643,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,12.27,5.318,5228.805,27.517,,,-2415.299,66.761,-4637.055,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,12.674,12.31,5174.442,25.345,,,-2214.919,-3.401,-4676.427,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,12.907,13.285,5377.658,27.726,,,-2498.498,150.259,-4759.636,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,13.783,6.791,5355.481,24.925,,,-2244.59,255.592,-4855.684,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,14.776,1.429,5427.47,23.123,,,-2106.961,341.797,-4990.122,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,15.761,9.016,5573.453,23.21,,,-2135.727,533.552,-5120.29,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,17.033,12.406,5812.777,24.089,,,-2269.713,711.72,-5303.794,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,23.469,9.837,6454.39,19.743,,,-1828.225,1212.119,-6070.215,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,21.673,17.33,6237.677,20.562,,,-1867.038,1169.351,-5835.701,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,26.333,9.598,6893.049,20.483,,,-2076.921,1252.108,-6452.344,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,16,10.004,5447.508,20.445,,,-1805.688,620.571,-5101.933,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,14.922,11.423,5326.556,21.025,,,-1867.13,427.002,-4970.281,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,17.075,8.298,5776.815,22.882,,,-2171.236,596.661,-5319.899,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,18.895,8.538,6052.475,22.476,,,-2226.181,653.192,-5590.162,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,24.65,12.217,6879.526,21.983,,,-2451.679,813.183,-6376.197,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,22.874,0.693,6599.98,22.166,,,-2332.254,896.877,-6108.677,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21096,11.7317,SAV_GNU_Transect 4,0.382,,19.714,13.705,6048.427,21.137,,,-2011.195,866.317,-5638.089,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,6.458,9.064,3751.531,28.161,,,-1765.578,-119.069,-3307.951,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,7.003,5.958,3946.095,28.601,,,-1886.883,-76.685,-3464.889,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,6.665,4.936,3853.152,28.751,,,-1853.224,-12.737,-3378.191,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,7.248,1.326,3949.228,27.396,,,-1814.765,107.283,-3505.926,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,6.632,8.05,3750.939,27.051,,,-1704.233,-60.676,-3340.875,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,7.237,1.137,3940.133,27.208,,,-1801.098,-26.239,-3504.284,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,8.182,3.711,4191.913,26.945,,,-1899.478,4.482,-3736.857,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,9.203,2.137,4489.256,27.406,,,-2066.342,9.742,-3985.417,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,8.557,0.885,4223.409,25.677,,,-1829.951,25.343,-3806.287,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,10.343,8.193,4621.779,24.854,,,-1942.074,61.118,-4193.501,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,9.419,5.005,4466.525,26.094,,,-1964.398,44.846,-4011.107,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,8.762,8.438,4150.14,23.158,,,-1628.455,124.543,-3815.271,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
SAV_GNU_CAM1_left_2009_1.MP4,21270,11.8285,SAV_GNU_Transect 4,0.4788,,9.897,12.663,4449.733,23.757,,,-1785.425,176.669,-4071.999,SAV_GNU_2009,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,
