Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,
WAI_ALI_CAM1_left_1.MP4,15856,8.8177,WAI_ALI_Transect 1,0.4021,,9.883,0.676,4534.012,25.822,,,-1947.021,-314.618,-4082.571,WAI_ALI,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,15884,8.8333,WAI_ALI_Transect 1,0.4176,,7.662,2.718,3997.743,27.619,,,-1773.328,552.551,-3540.048,WAI_ALI,Peter,Pomacentridae,Chrysiptera,rollandi,37372067,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,15912,8.8488,WAI_ALI_Transect 1,0.4332,,13.68,1.433,4829.011,21.551,,,-1014.772,1472.67,-4485.625,WAI_ALI,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,15912,8.8488,WAI_ALI_Transect 1,0.4332,,8.398,2.771,3783.531,21.579,,,-946.252,1034.178,-3514.284,WAI_ALI,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,15912,8.8488,WAI_ALI_Transect 1,0.4332,,7.749,6.053,3681.189,22.835,,,-1077.491,951.458,-3388.937,WAI_ALI,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,15957,8.8739,WAI_ALI_Transect 1,0.4582,130.265,9.056,14.324,4377.023,23.275,2.266,41.25,-1719.198,-189.246,-4020.806,WAI_ALI,Peter,Balistidae,Sufflamen,chrysopterum,37465079,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,15981,8.8872,WAI_ALI_Transect 1,0.4716,89.329,5.103,4.995,3396.039,14.063,2.748,31.497,-778.57,-273.524,-3294.252,WAI_ALI,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16249,9.0362,WAI_ALI_Transect 1,0.6206,,15.797,1.532,5460.921,20.792,,,-1865.347,-507.202,-5107.336,WAI_ALI,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16249,9.0362,WAI_ALI_Transect 1,0.6206,,22.183,5.478,6357.094,16.306,,,-1736.508,-388.668,-6102.961,WAI_ALI,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16341,9.0874,WAI_ALI_Transect 1,0.6718,,7.595,0.672,3544.734,16.223,,,-735.572,-649.609,-3406.183,WAI_ALI,Peter,Pomacanthidae,Centropyge,bicolor,37365022,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16389,9.1141,WAI_ALI_Transect 1,0.6985,,12.169,6.417,4852.995,23.184,,,-1822.948,-554.124,-4463.336,WAI_ALI,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16419,9.1308,WAI_ALI_Transect 1,0.7152,77.366,6.763,10.373,2593.756,26.176,53.016,21.973,-1107.432,-287.732,-2327.74,WAI_ALI,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16454,9.1503,WAI_ALI_Transect 1,0.7346,84.492,5.476,10.68,2837.82,21.894,13.942,13.904,-988.558,-377.558,-2633.14,WAI_ALI,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16454,9.1503,WAI_ALI_Transect 1,0.7346,100.616,3.876,9.495,2603.554,26.545,70.795,64.877,-1119.184,-318.117,-2329.103,WAI_ALI,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16454,9.1503,WAI_ALI_Transect 1,0.7346,,5.307,1.896,2922.731,11.318,,,-441.035,-355.356,-2867.328,WAI_ALI,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16526,9.1903,WAI_ALI_Transect 1,0.7747,166.059,13.192,10.848,4021.146,22.644,25.474,1.72,-1547.185,55.442,-3711.167,WAI_ALI,Peter,Acanthuridae,Zebrasoma,velifer,37437037,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16560,9.2092,WAI_ALI_Transect 1,0.7936,,8.233,4.379,3927.318,23.694,,,1568.14,192.216,-3595.527,WAI_ALI,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,
