Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010047_L.MP4,35417,19.6958,YA_LIW_Transect 1,0.0434,,8.915,2.692,3985.585,26.28,,,1539.82,-864.059,-3573.128,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,35619,19.8081,YA_LIW_Transect 1,0.1557,143.754,5.261,9.966,2146.489,23.325,56.869,27.936,-794.978,-300.563,-1971.063,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,35619,19.8081,YA_LIW_Transect 1,0.1557,85.606,3.425,13.801,2076.474,21.635,18.807,7.583,-691.84,-327.812,-1930.192,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,35626,19.812,YA_LIW_Transect 1,0.1596,77.719,6.184,10.032,2148.112,25.211,74.097,4.105,-882.03,-243.398,-1943.494,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,35669,19.8359,YA_LIW_Transect 1,0.1835,101.514,2.546,4.652,1891.589,23.868,3.788,28.246,749.704,-154.165,-1729.823,YA_LIW,Peter,Labridae,Stethojulis,bandanensis,37384154,1,AD,Passing,
GX010047_L.MP4,35669,19.8359,YA_LIW_Transect 1,0.1835,75.751,4.769,0.958,1789.856,21.37,69.033,5.946,626.222,-182.252,-1666.797,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,35679,19.8415,YA_LIW_Transect 1,0.1891,160.439,8.535,7.405,2404.93,23.217,77.521,0.321,902.934,-289.05,-2210.17,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,35689,19.847,YA_LIW_Transect 1,0.1946,89.796,1.406,1.641,1546.969,12.883,6.422,15.827,192.032,-286.498,-1508.031,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,35689,19.847,YA_LIW_Transect 1,0.1946,71.004,1.414,4.278,1165.492,14.565,31.514,6.271,-91.633,-278.394,-1128.038,YA_LIW,Peter,Pomacentridae,Pomacentrus,philippinus,37372123,1,AD,Passing,
GX010047_L.MP4,35727,19.8682,YA_LIW_Transect 1,0.2158,86.093,1.499,4.552,1241.503,16.275,30.638,19.883,71.693,-340.465,-1191.752,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,35808,19.9132,YA_LIW_Transect 1,0.2608,63.431,5.204,13.107,2462.456,23.913,27.387,11.435,-895.991,-439.927,-2251.079,YA_LIW,Peter,Labridae,Thalassoma,sp,,1,AD,Passing,
GX010047_L.MP4,35919,19.975,YA_LIW_Transect 1,0.3225,57.668,1.742,2.851,1627.492,11.135,9.476,14.386,-284.291,-134.021,-1596.855,YA_LIW,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
GX010047_L.MP4,35945,19.9894,YA_LIW_Transect 1,0.337,132.159,9.868,13.398,3152.62,28.267,44.125,2.864,-1368.043,597.985,-2776.668,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,36176,20.1179,YA_LIW_Transect 1,0.4655,,3.955,2.954,2503.269,5.432,,,-103.343,-214.694,-2491.904,YA_LIW,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
GX010047_L.MP4,36504,20.3003,YA_LIW_Transect 1,0.6479,,9.667,2.404,4407.252,25.403,,,-1889.752,55.907,-3981.153,YA_LIW,Peter,Labridae,Thalassoma,nigrofasciatum,37384196,1,AD,Passing,
GX010047_L.MP4,36530,20.3147,YA_LIW_Transect 1,0.6623,138.249,9.718,5.064,3164.466,13.948,29.568,15.244,762.198,30.059,-3071.155,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,36562,20.3325,YA_LIW_Transect 1,0.6801,,3.849,1.918,2510.045,17.146,,,-687.141,-276.055,-2398.323,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,36812,20.4716,YA_LIW_Transect 1,0.8192,108.63,5.297,19.641,2620.028,28.504,24.157,11.325,-1053.258,-673.786,-2302.436,YA_LIW,Peter,Labridae,Thalassoma,nigrofasciatum,37384196,1,AD,Passing,
GX010047_L.MP4,36858,20.4971,YA_LIW_Transect 1,0.8447,,2.692,7.355,2050.577,20.882,,,-210.96,-700.935,-1915.477,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,36858,20.4971,YA_LIW_Transect 1,0.8447,,4.042,6.877,2563.297,20.644,,,-620.778,-658.17,-2398.32,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,36858,20.4971,YA_LIW_Transect 1,0.8447,,3.407,19.541,2417.677,26.242,,,-843.131,-658.448,-2168.119,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,37086,20.6239,YA_LIW_Transect 1,0.9715,55.673,1.431,1.695,1799.345,15.352,1.13,8.159,125.682,-459.485,-1735.143,YA_LIW,Peter,Pomacentridae,Chrysiptera,brownriggi,37372064,1,AD,Passing,
GX010047_L.MP4,37086,20.6239,YA_LIW_Transect 1,0.9715,83.245,4.24,6.111,1642.058,18.627,69.829,1.66,-261.608,-454.596,-1556.039,YA_LIW,Peter,Labridae,Thalassoma,nigrofasciatum,37384196,1,AD,Passing,
GX010047_L.MP4,37102,20.6328,YA_LIW_Transect 1,0.9804,25.267,1.718,8.739,1540.269,21.174,17.45,28.337,-293.067,-472.891,-1436.285,YA_LIW,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,
GX010047_L.MP4,37150,20.6595,YA_LIW_Transect 1,1.0071,,2.454,6.799,1958.142,22.19,,,-290.186,-681.283,-1812.723,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,37150,20.6595,YA_LIW_Transect 1,1.0071,,2.748,10.543,2084.55,22.587,,,-357.693,-717.43,-1924.239,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,37283,20.7335,YA_LIW_Transect 1,1.0811,76.157,4.604,18.711,2074.502,27.613,46.39,3.218,-798.503,-535.654,-1838.213,YA_LIW,Peter,Labridae,Thalassoma,nigrofasciatum,37384196,1,AD,Passing,
GX010047_L.MP4,37573,20.8948,YA_LIW_Transect 1,1.2424,,3.555,3.141,2413.987,26.606,,,742.963,-786.623,-2157.907,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,37603,20.9114,YA_LIW_Transect 1,1.259,110.333,10.495,9.413,3206.594,25.842,39.275,0.71,1265.848,-592.626,-2885.943,YA_LIW,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010047_L.MP4,37603,20.9114,YA_LIW_Transect 1,1.259,107.479,8.889,1.891,3556.048,23.514,14.391,13.815,1331.472,-490.025,-3260.757,YA_LIW,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
GX010047_L.MP4,37671,20.9493,YA_LIW_Transect 1,1.2969,150.496,12.409,7.374,2903.39,23.924,85.693,3.219,1066.607,-498.585,-2653.947,YA_LIW,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
GX010047_L.MP4,38018,21.1422,YA_LIW_Transect 1,1.4898,68.163,5.119,1.243,1799.213,19.874,73.585,7.493,401.078,-461.789,-1692.057,YA_LIW,Peter,Pomacentridae,Stegastes,nigricans,37372135,1,AD,Passing,
GX010047_L.MP4,38032,21.15,YA_LIW_Transect 1,1.4976,100.379,3.944,0.657,2486.069,11.577,14.443,19.742,-494.446,66.58,-2435.494,YA_LIW,Peter,Labridae,Thalassoma,nigrofasciatum,37384196,1,AD,Passing,
GX010047_L.MP4,38132,21.2056,YA_LIW_Transect 1,1.5532,101.917,8.324,7.582,2744.081,9.113,33.561,7.517,232.841,-367.005,-2709.441,YA_LIW,Peter,Chaetodontidae,Chaetodon,citrinellus,37365036,1,AD,Passing,
GX010047_L.MP4,38228,21.259,YA_LIW_Transect 1,1.6066,64.093,5.983,9.509,2286.145,21.691,45.879,15.855,-485.735,-691.389,-2124.265,YA_LIW,Peter,Labridae,Gomphosus,varius,37384106,1,AD,Passing,
GX010047_L.MP4,38251,21.2718,YA_LIW_Transect 1,1.6194,64.702,5.324,14.257,1982.405,27.861,80.462,6.996,695.227,-612.334,-1752.609,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,38439,21.3764,YA_LIW_Transect 1,1.7239,57.242,4.695,12.071,1879.463,22.915,59.48,1.624,-637.693,-359.014,-1731.138,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,38462,21.3891,YA_LIW_Transect 1,1.7367,36.249,2.374,8.964,1260.449,24.001,79.858,0.905,368.718,-356.225,-1151.47,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,38550,21.4381,YA_LIW_Transect 1,1.7857,,9.535,1.734,4253.778,21.707,,,-1568.978,-118.514,-3952.074,YA_LIW,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,
GX010047_L.MP4,38587,21.4587,YA_LIW_Transect 1,1.8062,29.247,2.564,2.41,1277.958,20.299,80.973,7.3,61.123,-439.118,-1198.59,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,38587,21.4587,YA_LIW_Transect 1,1.8062,25.542,1.721,4.815,1672.292,14.995,12.18,20.186,181.037,-392.982,-1615.349,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,38731,21.5387,YA_LIW_Transect 1,1.8863,53.541,2.452,2.117,1934.089,12.604,14.791,2.497,237.919,-348.582,-1887.482,YA_LIW,Peter,Labridae,Stethojulis,bandanensis,37384154,1,AD,Passing,
GX010047_L.MP4,38731,21.5387,YA_LIW_Transect 1,1.8863,55.261,1.59,2.64,1931.484,9.869,1.431,2.001,124.268,-306.846,-1902.901,YA_LIW,Peter,Labridae,Stethojulis,bandanensis,37384154,1,AD,Passing,
GX010047_L.MP4,38754,21.5515,YA_LIW_Transect 1,1.8991,67.675,3.263,0.395,1805.53,14.365,31.707,10.293,15.262,-447.678,-1749.082,YA_LIW,Peter,Labridae,Stethojulis,bandanensis,37384154,1,AD,Passing,
GX010047_L.MP4,38754,21.5515,YA_LIW_Transect 1,1.8991,,2.308,0.85,1864.005,15.997,,,-6.427,-514.719,-1791.519,YA_LIW,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010047_L.MP4,38789,21.571,YA_LIW_Transect 1,1.9186,49.604,2.866,5.379,1403.633,14.311,58.393,19.629,53.028,-342.89,-1360.073,YA_LIW,Peter,Pomacentridae,Pomacentrus,philippinus,37372123,1,AD,Passing,
GX010047_L.MP4,38899,21.6322,YA_LIW_Transect 1,1.9798,229.093,13.498,7.495,3984.562,23.677,30.923,18.53,-1586.012,-211.896,-3649.164,YA_LIW,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,
