Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
WAI_MYS_CAM1_left_1.MP4,11453,6.3691,WAI_MYS_Transect 1,0.3537,,3.661,7.388,2590.565,26.423,,,1121.966,274.052,-2318.861,WAI_MYS,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,,3.194,11.631,2313.367,22.163,,,858.428,-148.735,-2143.045,WAI_MYS,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,,4.588,10.856,2869.308,23.534,,,1144.346,-44.697,-2630.856,WAI_MYS,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,,3.889,9.35,2619.763,23.5,,,1044.453,-10.009,-2402.535,WAI_MYS,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,,7.086,10.412,3583.816,20.792,,,-1212.667,-371.278,-3351.914,WAI_MYS,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,,4.866,12.061,3158.805,27.058,,,-1420.383,-206.121,-2813.907,WAI_MYS,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,,5.105,8.365,3112.65,23.522,,,-1231.041,-155.277,-2854.648,WAI_MYS,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,42.716,2.286,8.72,1366.162,16.944,46.578,21.368,29.332,-397.07,-1306.856,WAI_MYS,Peter,Pomacentridae,Pomacentrus,callainus,temp_code_004,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,33.702,2.505,13.9,1537.078,21.041,40.801,23.461,-426.019,-350.795,-1434.593,WAI_MYS,Peter,Pomacentridae,Pomacentrus,callainus,temp_code_004,1,AD,Passing,
WAI_MYS_CAM1_left_1.MP4,11545,6.4203,WAI_MYS_Transect 1,0.4048,50.376,4.434,12.573,1717.066,11.977,54.484,7.533,-262.11,-241.388,-1679.686,WAI_MYS,Peter,Pomacentridae,Pomacentrus,callainus,temp_code_004,1,AD,Passing,
