Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,52.904,2.521,1.337,1449.344,12.158,52.129,39.871,36.055,-303.112,-1416.835,YA_MAC,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,31.692,1.926,3.004,1710.368,11.862,15.016,0.052,124.782,-328.695,-1673.842,YA_MAC,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,47.765,1.269,1.552,1540.842,9.059,3.659,24.347,93.251,-223.966,-1521.624,YA_MAC,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,58.866,5.406,3.258,1868.22,15.899,63.97,7.403,-449.705,-244.339,-1796.749,YA_MAC,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,51.762,1.145,0.578,1259.314,10.92,13.653,6.651,-80.222,-224.675,-1236.51,YA_MAC,Peter,Pomacentridae,Pomacentrus,callainus,temp_code_004,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,,3.552,14.215,2485.768,28.92,,,1035.545,609.194,-2176.136,YA_MAC,Peter,Pomacentridae,Amblyglyphidodon,curacao,37372017,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,,1.283,1.201,1335.993,17.774,,,283.498,-293.914,-1272.053,YA_MAC,Peter,Pomacentridae,Chrysiptera,glauca,37372062,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,,1.382,1.659,1392.056,17.439,,,290.836,-299.863,-1327.9,YA_MAC,Peter,Pomacentridae,Chrysiptera,glauca,37372062,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,,1.371,4.244,1391.472,19.847,,,358.783,-308.102,-1308.641,YA_MAC,Peter,Pomacentridae,Chrysiptera,glauca,37372062,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,52.252,1.211,1.49,1381.656,17.34,13.507,3.217,7.99,-411.713,-1318.864,YA_MAC,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,62.345,2.6,0.589,1568.223,11.476,30.956,14.034,-309.754,-37.356,-1536.874,YA_MAC,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,40.047,1.723,5.462,1348.59,22.186,27.618,1.299,320.696,-395.573,-1248.748,YA_MAC,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010044_L.MP4,27726,15.4187,YA_MAC_Transect 1,0.1335,75.586,1.955,1.237,1643.13,2.616,21.452,39.077,-67.825,-31.974,-1641.418,YA_MAC,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
