"OpCode","Location","Site","Year of Adoption","Status","Province","Fishing Grounds"
"KAD_BIRD_1","Kadavu","Birdland","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_CAT_1","Kadavu","Catherine","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_COW_","Kadavu","NukuvouCOW","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_FIGO","Kadavu","FijiGold","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_LUPE","Kadavu","Lupes","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_MaiDive","Kadavu","MaiDive","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_OnoBack","Kadavu","Narikoso","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_ROB","Kadavu","RobertsReef","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_SO1","Kadavu","Soso1","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_SO2","Kadavu","Soso2","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_VURRO","Kadavu","Vurro","2005-2009","LMMA","Kadavu","Kadavu 1"
"Kua_Back","Yasawas","KuataBack","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_GOAT","Yasawas","KuataGoat","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_MPA","Yasawas","KuataMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_noMPA","Yasawas","KuataNonMPA","Non-adopter","Qoliqoli","Ba","Namara"
"Lau_Totoya_BT","Lau","CoralGarden","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_Totoya_Joe","Lau","ReefCorner","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_VanuaBalavu","Lau","VBBay","Non-adopter","Qoliqoli","Lau","Vanua Balavu"
"SAV_GNU_2009","Vanua Levu","GoldenNuggets","2005-2009","LMMA","Cakaudrove","Savusavu"
"SAV_SLR_1909","Vanua Levu","SplitRock","2005-2009","LMMA","Cakaudrove","Savusavu"
"WAI_ALI","Vanua Levu","AliceWonderland","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"WAI_MYS","Vanua Levu","MysteryReef","2010-2014","Qoliqoli","Cakaudrove","Wailevu"
"YA_COW","Yasawas","YaCOW","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_LIW","Yasawas","LittleWonders","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_MAC","Yasawas","MantaChannel","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VAL","Yasawas","ValiBeach","Non-adopter","Qoliqoli","Ba","Muaira"
"YA_VUI","Yasawas","Vuvui","Non-adopter","Qoliqoli","Ba","Muaira"
