"OpCode","Sizec","Mobility","Activity","Schooling","Position","Diet_Mouillot_2014","Dive_Site","Year_of_Adoption","Location","Permission","Facilitated.by","lat","lon","aca_geomorphology","slope_mean_2020_bio_oracle_3","terrain_ruggedness_index_2020_bio_oracle_3","topographic_position_index_2020_bio_oracle_3","DESIG","ADOPT_2024","NO_TAKE","NO_TK_AREA","STATUS_YR","Geomorphology","OBJECTI","grav_NC","pop_cnt","nm_prts","reef_vl","sedimnt","nutrint","cml_scr","tp_thrt","Region","is_bcu","grv_NC_","pp_cnt_","nm_prt_","rf_vl_r","sdmnt_r","ntrnt_r","score","scoreth","scorpfc","scoretr","scorecn","scorecy"
"KAD_BIRD_1",18.7605883151835,1.28291316526611,1.02521008403361,3.32773109243697,1.19047619047619,"PK","Birdland","2005-2009","Kadavu","Ono","FLMMA/Kokomo",-18.84763115,178.5021932,"Back Reef Slope",1.3203984,99.25547,89.51445,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,"Sediments","Melanesia","non-refugia",1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807
"KAD_CAT_1",34.4144471594048,1.70736629667003,1.03632694248234,2.43794147325933,1.21493440968718,"OM","Catherine","2000-2004","Kadavu","Dravuni","FLMMA/Kokomo",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
"KAD_COW_",29.4777712075763,1.58496732026144,1.08823529411765,2.88888888888889,1.10130718954248,"OM","NukuvouCOW","2000-2004","Kadavu","Nukuvou","FLMMA/Matava",-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
"KAD_FIGO",15.6941641231614,1.15027624309392,1.02209944751381,3.7292817679558,1.74254143646409,"PK","FijiGold","2000-2004","Kadavu","Dravuni","FLMMA/Kokomo",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
"KAD_LUPE",37.6119411905697,1.8477366255144,1.00587889476778,3.78835978835979,1.05761316872428,"IM","Lupes","2000-2004","Kadavu","Nukuvou","FLMMA/Matava",-19.02048259,178.4895541,NA,7.4294782,543.73291,157.43689,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
"KAD_MaiDive",24.3539630060527,1.46629213483146,1.00187265917603,3.187265917603,1.0561797752809,"OM","Maidive","2005-2009","Kadavu","Ono","FLMMA/Kokomo",-18.9059233,178.52366,NA,1.8360801,136.29086,98.372093,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,"Sediments","Melanesia","non-refugia",0.919120934,542.0655398,0,0,30.78005219,0.000664594,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
"KAD_OnoBack",24.7243127960276,1.5181598062954,1.00726392251816,2.93220338983051,1.06779661016949,"OM","Narikoso","2005-2009","Kadavu","Ono","FLMMA/Kokomo",-18.9158333,178.5330556,"Back Reef Slope",1.8360801,136.29086,98.372093,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Inner Reef Flat",49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,"Sediments","Melanesia","non-refugia",0.919120934,542.0655398,0,0,30.78005219,0.000664594,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
"KAD_ROB",27.4488322356297,1.52346041055718,1.05571847507331,3.45307917888563,1.2375366568915,"IM","RobertsReef","2000-2004","Kadavu","Nukuvou","FLMMA/Matava",-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
"KAD_SO1",26.8525789732459,1.55384615384615,1.01098901098901,3.07252747252747,1.15164835164835,"OM","Soso1","2005-2009","Kadavu","Soso","FLMMA/Matava",-19.050175,178.2953433,"Outer Reef Flat",5.6637535,426.80042,103.3162,"Locally Managed Marine Area","2005-2009","Part",4.56,"2005","Inner Reef Flat",49807,0.446554663,0.571159059,0,0,0.731278505,0.546459566,0.382575299,"Sediments","Melanesia","non-refugia",0.511425537,450.3673286,0,0,36.69154358,0.000232939,-0.06438,-0.5281,0.11545,-0.13044,-0.54189,-0.27593
"KAD_SO2",14.637606582564,1.22010869565217,1.0054347826087,3.29347826086957,1.01086956521739,"OM","Soso2","2005-2009","Kadavu","Soso","FLMMA/Matava",-19.05842,178.30866,"Inner Reef Flat",5.6637535,426.80042,103.3162,"Locally Managed Marine Area","2005-2009","Part",1.39,"2004","Inner Reef Flat",49808,0.457511566,0.607919994,0,0.759029966,0.715922466,0.522838244,0.510537039,"Tourism","Melanesia","non-refugia",0.546164877,684.8199158,0,34,30.43134689,7.06e-05,-0.03975,-0.53409,0.11601,-0.10105,0.15401,-0.27593
"KAD_VURRO",19.9997792730279,1.39232409381663,1.01705756929638,3.44029850746269,1.31023454157783,"PK","Vurro","2005-2009","Kadavu","Ono","FLMMA/Kokomo",-18.86538489,178.5245489,NA,1.0907691,88.83326,73.211754,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49587,0.551385065,0.592534252,0,0,0.69282404,0.574392423,0.401855963,"Sediments","Melanesia","non-refugia",1.01353283,573.2444122,0,0,22.55356407,0.000634106,-0.05104,-0.67409,0.12897,-0.11091,-0.01837,-0.12752
"KUA_GOAT",11.9816592041336,1.08502538071066,1.02791878172589,3.78807106598985,1.64149746192893,"PK","KuataGoat","Non-adopter","Kuata","Namara","Barefoot Manta",-17.33537481,177.1509809,"Deep Lagoon",0.16416138,16.897337,-2.3884435,"qoliqoli","Non-Adopter","None",0,"","Deep Lagoon",47926,0.497143713,0.647062056,0,0.757802769,0.854733706,0.695336539,0.575346464,"Sediments","Melanesia","non-refugia",0.697049597,1005.858948,0,33,178.8015289,0.014073923,-0.01278,-0.3972,0.18457,-0.55469,0.47781,-0.1116
