"Location","Permission","Facilitated.by","Dive_Site","Transect","lat","lon","aca_geomorphology","slope_mean_2020_bio_oracle_3","terrain_ruggedness_index_2020_bio_oracle_3","topographic_position_index_2020_bio_oracle_3","DESIG","ADOPT_2024","NO_TAKE","NO_TK_AREA","STATUS_YR","Geomorphology","OBJECTI","grav_NC","pop_cnt","nm_prts","reef_vl","sedimnt","nutrint","cml_scr","tp_thrt","Region","is_bcu","grv_NC_","pp_cnt_","nm_prt_","rf_vl_r","sdmnt_r","ntrnt_r","score","scoreth","scorpfc","scoretr","scorecn","scorecy","biomass_kg","biomass_kg_ha","abundance_ind_250m2","FRic","FEve","FDiv","FDis","RaoQ"
"Kadavu","Dravuni","FLMMA/Kokomo","FijiGold","KAD_FIGO_Transect 1",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,19.641876398288,785.675055931519,229,1.08149800079874e-13,0.668743205394575,0.957669482227378,0.194163794995468,0.0449760198653748
"Kadavu","Dravuni","FLMMA/Kokomo","FijiGold","KAD_FIGO_Transect 2",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,27.6693164720862,1106.77265888345,411,5.1531636072851e-14,0.582738380282934,0.96026724590159,0.143929522104647,0.0312830880791024
"Kadavu","Dravuni","FLMMA/Kokomo","FijiGold","KAD_FIGO_Transect 3",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,6.10504945982661,244.201978393064,250,5.25828647752791e-13,0.649169199686715,0.953580763579878,0.130167932121783,0.0285100417368363
"Kadavu","Dravuni","FLMMA/Kokomo","FijiGold","KAD_FIGO_Transect 4",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,11.323335697901,452.93342791604,375,7.2611815758377e-13,0.720101005537264,0.980957345751947,0.127936697087172,0.0292259571293188
"Kadavu","Dravuni","FLMMA/Kokomo","FijiGold","KAD_FIGO_Transect 5",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,13.442334763018,537.693390520721,349,5.20331723098803e-14,0.663673306806642,0.976304349759795,0.127987661528058,0.0286491655183235
"Kadavu","Dravuni","FLMMA/Kokomo","FijiGold","KAD_FIGO_Transect 6",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,9.41132120498623,376.452848199449,196,1.54569394944928e-12,0.690810542903149,0.93228695625267,0.181818684611091,0.0388538100713182
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","KAD_CAT_Transect 1",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,23.3621980210296,934.487920841186,180,6.05325863900591e-13,0.739975376946609,0.910448809050674,0.242449600758893,0.0619827758631511
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","KAD_CAT_Transect 2",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,68.698862246122,2747.95448984488,280,1.58734064140441e-11,0.654996972560418,0.868004836612363,0.208304476412112,0.0552306253855868
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","KAD_CAT_Transect 3",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,6.66388382329548,266.555352931819,74,1.94238525555267e-15,0.759616102111191,0.917512307712616,0.150265919811922,0.0343981237439602
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","KAD_CAT_Transect 4",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,54.6767577423319,2187.07030969328,278,7.93292812840042e-15,0.726509897100273,0.865741410859143,0.149897138568909,0.0299853015939734
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","KAD_CAT_Transect 5",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,28.7925244112777,1151.70097645111,179,5.50385793544428e-13,0.690244806152208,0.941444500150347,0.158911720482539,0.0318586220829188
"Kadavu","Nukuvou","FLMMA/Matava","RobertsReef","KAD_ROB_Transect 1",-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,5.50326789470109,220.130715788044,180,8.17764194745294e-14,0.612007760555404,0.889932225733304,0.17664348331599,0.0366113403505179
"Kadavu","Nukuvou","FLMMA/Matava","RobertsReef","KAD_ROB_Transect 2",-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,6.32343617811067,252.937447124427,196,3.79194478808996e-13,0.746048220236118,0.883594455705156,0.16900318468787,0.0370118789043072
"Kadavu","Nukuvou","FLMMA/Matava","RobertsReef","KAD_ROB_Transect 3",-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,4.75342462554917,190.136985021967,113,4.02257660672253e-14,0.700159194638362,0.946711591858618,0.211656734491862,0.0490146101249754
"Kadavu","Nukuvou","FLMMA/Matava","RobertsReef","KAD_ROB_Transect 4",-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,"Locally Managed Marine Area","2000-2004","Part",10.87,"2003","Back Reef Slope",49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,"Tourism","Melanesia","non-refugia",0.692938407,719.7486448,0,638,32.64180756,0.000358743,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335,4.32702097638928,173.080839055571,89,1.09220333819299e-12,0.777255955777786,0.921184186025565,0.207449780037195,0.0500395980078853
