Site,Sizec,Mobility,Activity,Schooling,Position,Diet_Mouillot_2014,Dive_Site,Year_of_Adoption,Location,Permission,Facilitated by,lat,lon,aca_geomorphology,slope_mean_2020_bio_oracle_3,terrain_ruggedness_index_2020_bio_oracle_3,topographic_position_index_2020_bio_oracle_3,DESIG,ADOPT_2024,NO_TAKE,NO_TK_AREA,STATUS_YR,Geomorphology,OBJECTI,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,Region,is_bcu,grv_NC_,pp_cnt_,nm_prt_,rf_vl_r,sdmnt_r,ntrnt_r,score,scoreth,scorpfc,scoretr,scorecn,scorecy
KAD_BIRD_1,18.760588315183472,1.2829131652661065,1.0252100840336134,3.327731092436975,1.1904761904761905,PK,Birdland,2005-2009,Kadavu,Ono,FLMMA/Kokomo,-18.84763115,178.5021932,Back Reef Slope,1.3203984,99.25547,89.51445,Locally Managed Marine Area,2005-2009,Part,19.22,1985,Back Reef Slope,49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,Sediments,Melanesia,non-refugia,1.160336377,293.8462265,0,0,4.663125992,2.26514e-4,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807
KAD_CAT_1,34.41444715940482,1.7073662966700303,1.0363269424823411,2.437941473259334,1.2149344096871846,OM,Catherine,2000-2004,Kadavu,Dravuni,FLMMA/Kokomo,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005000000003,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,5.0645e-4,3.27e-6,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
KAD_COW_,29.47777120757627,1.5849673202614378,1.088235294117647,2.888888888888889,1.1013071895424837,OM,NukuvouCOW,2000-2004,Kadavu,Nukuvou,FLMMA/Matava,-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,Locally Managed Marine Area,2000-2004,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.58743e-4,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
KAD_FIGO,15.694164123161443,1.1502762430939226,1.022099447513812,3.729281767955801,1.7425414364640883,PK,FijiGold,2000-2004,Kadavu,Dravuni,FLMMA/Kokomo,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005000000003,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,5.0645e-4,3.27e-6,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
KAD_LUPE,37.61194119056966,1.8477366255144032,1.0058788947677837,3.7883597883597884,1.0576131687242798,IM,Lupes,2000-2004,Kadavu,Nukuvou,FLMMA/Matava,-19.02048259,178.4895541,NA,7.4294782,543.73291,157.43689,Locally Managed Marine Area,2000-2004,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.58743e-4,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
KAD_MaiDive,24.353963006052687,1.4662921348314606,1.0018726591760299,3.1872659176029963,1.0561797752808988,OM,Maidive,2005-2009,Kadavu,Ono,FLMMA/Kokomo,-18.9059233,178.52366,NA,1.8360801,136.29086,98.372093,Locally Managed Marine Area,2005-2009,Part,19.22,1985,Back Reef Slope,49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,Sediments,Melanesia,non-refugia,0.919120934,542.0655398,0,0,30.78005219,6.64594e-4,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
KAD_OnoBack,24.724312796027622,1.5181598062953996,1.0072639225181599,2.9322033898305087,1.0677966101694916,OM,Narikoso,2005-2009,Kadavu,Ono,FLMMA/Kokomo,-18.9158333,178.5330556,Back Reef Slope,1.8360801,136.29086,98.372093,Locally Managed Marine Area,2005-2009,Part,19.22,1985,Inner Reef Flat,49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,Sediments,Melanesia,non-refugia,0.919120934,542.0655398,0,0,30.78005219,6.64594e-4,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
KAD_ROB,27.448832235629684,1.5234604105571847,1.0557184750733137,3.4530791788856305,1.2375366568914956,IM,RobertsReef,2000-2004,Kadavu,Nukuvou,FLMMA/Matava,-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,Locally Managed Marine Area,2000-2004,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.58743e-4,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
KAD_SO1,26.85257897324588,1.5538461538461539,1.010989010989011,3.0725274725274727,1.1516483516483516,OM,Soso1,2005-2009,Kadavu,Soso,FLMMA/Matava,-19.050175,178.2953433,Outer Reef Flat,5.6637535,426.80042,103.3162,Locally Managed Marine Area,2005-2009,Part,4.56,2005,Inner Reef Flat,49807,0.446554663,0.571159059,0,0,0.731278505,0.546459566,0.382575299,Sediments,Melanesia,non-refugia,0.511425537,450.3673286,0,0,36.69154358,2.32939e-4,-0.06438,-0.5281,0.11545,-0.13044,-0.54189,-0.27593
KAD_SO2,14.637606582563986,1.2201086956521738,1.0054347826086956,3.2934782608695654,1.0108695652173914,OM,Soso2,2005-2009,Kadavu,Soso,FLMMA/Matava,-19.05842,178.30866,Inner Reef Flat,5.6637535,426.80042,103.3162,Locally Managed Marine Area,2005-2009,Part,1.39,2004,Inner Reef Flat,49808,0.457511566,0.607919994,0,0.759029966,0.715922466,0.522838244,0.510537039,Tourism,Melanesia,non-refugia,0.546164877,684.8199158,0,34,30.43134689,7.06e-5,-0.03975,-0.53409,0.11601,-0.10105,0.15401,-0.27593
KAD_VURRO,19.999779273027894,1.392324093816631,1.0170575692963753,3.4402985074626864,1.3102345415778252,PK,Vurro,2005-2009,Kadavu,Ono,FLMMA/Kokomo,-18.86538489,178.5245489,NA,1.0907691,88.83326,73.211754,Locally Managed Marine Area,2005-2009,Part,19.22,1985,Back Reef Slope,49587,0.551385065,0.592534252,0,0,0.69282404,0.574392423,0.401855963,Sediments,Melanesia,non-refugia,1.01353283,573.2444122,0,0,22.55356407,6.34106e-4,-0.05104,-0.67409,0.12897,-0.11091,-0.01837,-0.12752
KUA_GOAT,11.981659204133589,1.08502538071066,1.0279187817258884,3.7880710659898478,1.641497461928934,PK,KuataGoat,Non-adopter,Kuata,Namara,Barefoot Manta,-17.33537481,177.1509809,Deep Lagoon,0.16416138,16.897337,-2.3884435,qoliqoli,Non-Adopter,None,0,NA,Deep Lagoon,47926,0.497143713,0.647062056,0,0.757802769,0.854733706,0.695336539,0.575346464,Sediments,Melanesia,non-refugia,0.697049597,1005.858948,0,33,178.8015289,0.014073923,-0.01278,-0.3972,0.18457,-0.55469,0.47781,-0.1116
KUA_MPA,17.992639963337552,1.266441821247892,1,3.578414839797639,1.3962900505902192,PK,KuataMPA,Non-adopter,Kuata,Namara,Barefoot Manta,-17.36183827,177.1359799,Terrestrial Reef Flat,0.22318776,21.863625,4.6390557,qoliqoli,Non-Adopter,None,0,None,Terrestrial Reef Flat,48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,Tourism,Melanesia,non-refugia,0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
KUA_noMPA,15.841375994322705,1.2367491166077738,1.0035335689045937,3.1731448763250882,1.1590106007067138,OM,KuataNonMPA,Non-adopter,Kuata,Namara,Barefoot Manta,-17.3660347,177.1399643,Terrestrial Reef Flat,0.16416138,16.897337,-2.3884435,qoliqoli,Non-Adopter,None,0,None,Terrestrial Reef Flat,48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,Tourism,Melanesia,non-refugia,0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
Kua_Back,17.63302636088631,1.3131147540983608,1.0573770491803278,3.3311475409836064,1.3885245901639345,OM,KuataBack,Non-adopter,Kuata,Namara,Barefoot Manta,-17.36312074,177.1327823,NA,0.22318776,21.863625,4.6390557,qoliqoli,Non-Adopter,None,0,None,Sheltered Reef Slope,48009,0.50113315,0.64664078,0,0.856198256,0.723241871,0.667772189,0.565831041,Tourism,Melanesia,non-refugia,0.719159072,1001.772951,0,253,33.34032822,0.007387417,-0.04951,-0.4121,0.1828,-0.49671,-0.54904,-0.10966
Lau_Totoya_BT,19.436044752690012,1.3289665211062591,1.017467248908297,3.6608442503639007,1.173216885007278,HD,CoralGarden,2010-2014,Totoya,Totoya,Fijian LMMA/Captain Cook Cruises,-19.00218046,-179.8781898,NA,10.61112,863.71924,-192.91789,qoliqoli,2010-2014,None,0,None,Outer Reef Flat,49692,0.06399955,0.492362078,0,0,0.732915257,0.629447423,0.319787385,Sediments,Melanesia,non-refugia,0.009458145,163.7047529,0,0,37.5112648,0.002929408,-0.07671,-0.89297,0.15016,-0.55246,-0.42444,0.19743
Lau_Totoya_Joe,20.148307424264605,1.326086956521739,1.0353260869565217,3.4456521739130435,1.4728260869565217,PK,ReefCorner,2010-2014,Totoya,Totoya,Fijian LMMA/Captain Cook Cruises,-18.99945678,-179.8721369,Back Reef Slope,10.61112,863.71924,-192.91789,qoliqoli,2010-2014,None,0,None,Back Reef Slope,49640,0.063699875,0.571268957,0,0,0,0,0.105828139,Coastal pop,Melanesia,non-refugia,0.009359818,450.8471918,0,0,0,0,-0.07258,-0.84888,0.15274,-0.49148,-0.42444,0.18083
Lau_VanuaBalavu,15.6672261338879,1.191919191919192,1.0252525252525253,3.409090909090909,1.0858585858585859,OM,VBBay,Non-adopter,VanuaBalavu,Daliconi,Fijian LMMA/Captain Cook Cruises,-17.20382191,-178.9734533,Back Reef Slope,0.4948923,42.277264,12.657234,Locally Managed Marine Area,Non-Adopter,Part,4.66,2007,Back Reef Slope,47764,0.013279392,0.663968056,0,0.759029966,0.704097396,0.562544912,0.45048662,Tourism,Melanesia,refugia,4.03359e-4,1178.724392,0,34,26.18201828,4.29278e-4,0.0396,-0.12626,0.23237,0.09724,0.7605,0.07336
