FRic,FEve,FDiv,FDis,RaoQ,Site,Dive_Site,Year_of_Adoption,Location,Permission,Facilitated by,lat,lon,aca_geomorphology,slope_mean_2020_bio_oracle_3,terrain_ruggedness_index_2020_bio_oracle_3,topographic_position_index_2020_bio_oracle_3,DESIG,ADOPT_2024,NO_TAKE,NO_TK_AREA,STATUS_YR,Geomorphology,OBJECTI,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,Region,is_bcu,grv_NC_,pp_cnt_,nm_prt_,rf_vl_r,sdmnt_r,ntrnt_r,score,scoreth,scorpfc,scoretr,scorecn,scorecy
0.10633668394712256,0.633369645023706,0.8963162898165511,0.19396269307930922,0.041608539055609586,KAD_BIRD_1,Birdland,2005-2009,Kadavu,Ono,FLMMA/Kokomo,-18.84763115,178.5021932,Back Reef Slope,1.3203984,99.25547,89.51445,Locally Managed Marine Area,2005-2009,Part,19.22,1985,Back Reef Slope,49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,Sediments,Melanesia,non-refugia,1.160336377,293.8462265,0,0,4.663125992,2.26514e-4,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807
0.18682238008676583,0.625644843382703,0.8113433240249016,0.19692120419296794,0.0484075756046023,KAD_CAT_1,Catherine,2000-2004,Kadavu,Dravuni,FLMMA/Kokomo,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005000000003,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,5.0645e-4,3.27e-6,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
0.13018619594411196,0.6819530027610795,0.8382328208994029,0.19956186969364684,0.04512768348831355,KAD_COW_,NukuvouCOW,2000-2004,Kadavu,Nukuvou,FLMMA/Matava,-19.01829737,178.4898473,NA,3.9523728,288.60309,155.06244,Locally Managed Marine Area,2000-2004,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.58743e-4,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
0.1932272696865224,0.6407154000946808,0.9353701809209227,0.14909683072115457,0.033178425836966355,KAD_FIGO,FijiGold,2000-2004,Kadavu,Dravuni,FLMMA/Kokomo,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005000000003,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,5.0645e-4,3.27e-6,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
0.11574219447660114,0.6279823203579027,0.8306694867427473,0.10537748288236724,0.020715115760594392,KAD_LUPE,Lupes,2000-2004,Kadavu,Nukuvou,FLMMA/Matava,-19.02048259,178.4895541,NA,7.4294782,543.73291,157.43689,Locally Managed Marine Area,2000-2004,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.58743e-4,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
0.07953687447072495,0.6098561233383393,0.8472826435068102,0.1700562902153908,0.032063410479998077,KAD_MaiDive,Maidive,2005-2009,Kadavu,Ono,FLMMA/Kokomo,-18.9059233,178.52366,NA,1.8360801,136.29086,98.372093,Locally Managed Marine Area,2005-2009,Part,19.22,1985,Back Reef Slope,49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,Sediments,Melanesia,non-refugia,0.919120934,542.0655398,0,0,30.78005219,6.64594e-4,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
0.08797635044140797,0.5701957040243113,0.8681595391072237,0.18138164960075734,0.03616961759942153,KAD_OnoBack,Narikoso,2005-2009,Kadavu,Ono,FLMMA/Kokomo,-18.9158333,178.5330556,Back Reef Slope,1.8360801,136.29086,98.372093,Locally Managed Marine Area,2005-2009,Part,19.22,1985,Inner Reef Flat,49638,0.535989212,0.587497253,0,0,0.716915551,0.575590072,0.402665348,Sediments,Melanesia,non-refugia,0.919120934,542.0655398,0,0,30.78005219,6.64594e-4,-0.05061,-0.65222,0.12631,-0.11568,-0.01837,-0.1571
0.15298426010310504,0.6496565275254053,0.8325390035899475,0.21289680443505396,0.04964044921058841,KAD_ROB,RobertsReef,2000-2004,Kadavu,Nukuvou,FLMMA/Matava,-19.02253742,178.4892083,NA,7.4294782,543.73291,157.43689,Locally Managed Marine Area,2000-2004,Part,10.87,2003,Back Reef Slope,49740,0.496694199,0.612993626,0,0.89839915,0.721292482,0.55745951,0.547806495,Tourism,Melanesia,non-refugia,0.692938407,719.7486448,0,638,32.64180756,3.58743e-4,-0.06755,-0.5708,0.12037,-0.10968,-0.59643,-0.2335
0.10429523873571232,0.5794438065257755,0.8820708629144092,0.2014031838654618,0.04464998450142518,KAD_SO1,Soso1,2005-2009,Kadavu,Soso,FLMMA/Matava,-19.050175,178.2953433,Outer Reef Flat,5.6637535,426.80042,103.3162,Locally Managed Marine Area,2005-2009,Part,4.56,2005,Inner Reef Flat,49807,0.446554663,0.571159059,0,0,0.731278505,0.546459566,0.382575299,Sediments,Melanesia,non-refugia,0.511425537,450.3673286,0,0,36.69154358,2.32939e-4,-0.06438,-0.5281,0.11545,-0.13044,-0.54189,-0.27593
0.06011832141663009,0.6420349432521832,0.9489696559473024,0.11296131339640994,0.019521883074186674,KAD_SO2,Soso2,2005-2009,Kadavu,Soso,FLMMA/Matava,-19.05842,178.30866,Inner Reef Flat,5.6637535,426.80042,103.3162,Locally Managed Marine Area,2005-2009,Part,1.39,2004,Inner Reef Flat,49808,0.457511566,0.607919994,0,0.759029966,0.715922466,0.522838244,0.510537039,Tourism,Melanesia,non-refugia,0.546164877,684.8199158,0,34,30.43134689,7.06e-5,-0.03975,-0.53409,0.11601,-0.10105,0.15401,-0.27593
