Period,OpCode,total_abundance,abundance_ind_250m2,Location,Site,Year of Adoption,Status
KAD_BIRD_Transect 1,KAD_BIRD_1,66,66,Kadavu,Birdland,2005-2009,LMMA
KAD_BIRD_Transect 2,KAD_BIRD_1,74,74,Kadavu,Birdland,2005-2009,LMMA
KAD_BIRD_Transect 3,KAD_BIRD_1,71,71,Kadavu,Birdland,2005-2009,LMMA
KAD_BIRD_Transect 4,KAD_BIRD_1,146,146,Kadavu,Birdland,2005-2009,LMMA
KAD_CAT_Transect 1,KAD_CAT_1,180,180,Kadavu,Catherine,2000-2004,LMMA
KAD_CAT_Transect 2,KAD_CAT_1,280,280,Kadavu,Catherine,2000-2004,LMMA
KAD_CAT_Transect 3,KAD_CAT_1,74,74,Kadavu,Catherine,2000-2004,LMMA
KAD_CAT_Transect 4,KAD_CAT_1,278,278,Kadavu,Catherine,2000-2004,LMMA
KAD_CAT_Transect 5,KAD_CAT_1,179,179,Kadavu,Catherine,2000-2004,LMMA
KAD_COW_Transect 1,KAD_COW_,53,53,Kadavu,NukuvouCOW,2000-2004,LMMA
KAD_COW_Transect 2,KAD_COW_,53,53,Kadavu,NukuvouCOW,2000-2004,LMMA
KAD_COW_Transect 3,KAD_COW_,63,63,Kadavu,NukuvouCOW,2000-2004,LMMA
KAD_COW_Transect 4,KAD_COW_,137,137,Kadavu,NukuvouCOW,2000-2004,LMMA
KAD_FIGO_Transect 1,KAD_FIGO,229,229,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 2,KAD_FIGO,411,411,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 3,KAD_FIGO,250,250,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 4,KAD_FIGO,375,375,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 5,KAD_FIGO,349,349,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 6,KAD_FIGO,196,196,Kadavu,FijiGold,2000-2004,LMMA
KAD_LUPE_Transect 1,KAD_LUPE,739,739,Kadavu,Lupes,2000-2004,LMMA
KAD_LUPE_Transect 2,KAD_LUPE,210,210,Kadavu,Lupes,2000-2004,LMMA
KAD_LUPE_Transect 3,KAD_LUPE,198,198,Kadavu,Lupes,2000-2004,LMMA
KAD_LUPE_Transect 4,KAD_LUPE,385,385,Kadavu,Lupes,2000-2004,LMMA
KAD_LUPE_Transect 5,KAD_LUPE,169,169,Kadavu,Lupes,2000-2004,LMMA
KAD_MaiDive_Transect 2,KAD_MaiDive,72,72,Kadavu,MaiDive,2005-2009,LMMA
KAD_MaiDive_Transect 3,KAD_MaiDive,150,150,Kadavu,MaiDive,2005-2009,LMMA
KAD_MaiDive_Transect 4,KAD_MaiDive,142,142,Kadavu,MaiDive,2005-2009,LMMA
KAD_MaiDive_Transect 5,KAD_MaiDive,55,55,Kadavu,MaiDive,2005-2009,LMMA
KAD_MaiDive_Transect 6,KAD_MaiDive,115,115,Kadavu,MaiDive,2005-2009,LMMA
KAD_OnoBack_Transect 1,KAD_OnoBack,81,81,Kadavu,Narikoso,2005-2009,LMMA
KAD_OnoBack_Transect 2,KAD_OnoBack,87,87,Kadavu,Narikoso,2005-2009,LMMA
KAD_OnoBack_Transect 3,KAD_OnoBack,96,96,Kadavu,Narikoso,2005-2009,LMMA
KAD_OnoBack_Transect 4,KAD_OnoBack,63,63,Kadavu,Narikoso,2005-2009,LMMA
KAD_OnoBack_Transect 5,KAD_OnoBack,86,86,Kadavu,Narikoso,2005-2009,LMMA
KAD_ROB_Transect 1,KAD_ROB,180,180,Kadavu,RobertsReef,2000-2004,LMMA
KAD_ROB_Transect 2,KAD_ROB,196,196,Kadavu,RobertsReef,2000-2004,LMMA
KAD_ROB_Transect 3,KAD_ROB,113,113,Kadavu,RobertsReef,2000-2004,LMMA
KAD_ROB_Transect 4,KAD_ROB,89,89,Kadavu,RobertsReef,2000-2004,LMMA
KAD_ROB_Transect 5,KAD_ROB,104,104,Kadavu,RobertsReef,2000-2004,LMMA
KAD_SO1_Transect 1,KAD_SO1,143,143,Kadavu,Soso1,2005-2009,LMMA
KAD_SO1_Transect 2,KAD_SO1,90,90,Kadavu,Soso1,2005-2009,LMMA
KAD_SO1_Transect 3,KAD_SO1,92,92,Kadavu,Soso1,2005-2009,LMMA
KAD_SO1_Transect 4,KAD_SO1,130,130,Kadavu,Soso1,2005-2009,LMMA
KAD_SO2_Transect 1,KAD_SO2,92,92,Kadavu,Soso2,2005-2009,LMMA
KAD_SO2_Transect 2,KAD_SO2,87,87,Kadavu,Soso2,2005-2009,LMMA
KAD_SO2_Transect 3,KAD_SO2,93,93,Kadavu,Soso2,2005-2009,LMMA
KAD_SO2_Transect 4,KAD_SO2,96,96,Kadavu,Soso2,2005-2009,LMMA
KAD_VURRO_Transect 1,KAD_VURRO,133,133,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 2,KAD_VURRO,127,127,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 3,KAD_VURRO,286,286,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 4,KAD_VURRO,82,82,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 5,KAD_VURRO,145,145,Kadavu,Vurro,2005-2009,LMMA
KAD_VURRO_Transect 6,KAD_VURRO,165,165,Kadavu,Vurro,2005-2009,LMMA
KUA_Back_Transect 1,Kua_Back,167,167,Yasawas,KuataBack,Non-adopter,Qoliqoli
KUA_Back_Transect 2,Kua_Back,173,173,Yasawas,KuataBack,Non-adopter,Qoliqoli
KUA_Back_Transect 3,Kua_Back,146,146,Yasawas,KuataBack,Non-adopter,Qoliqoli
KUA_Back_Transect 4,Kua_Back,124,124,Yasawas,KuataBack,Non-adopter,Qoliqoli
KUA_GOAT_Transect 1,KUA_GOAT,482,482,Yasawas,KuataGoat,Non-adopter,Qoliqoli
KUA_GOAT_Transect 2,KUA_GOAT,347,347,Yasawas,KuataGoat,Non-adopter,Qoliqoli
KUA_GOAT_Transect 3,KUA_GOAT,331,331,Yasawas,KuataGoat,Non-adopter,Qoliqoli
KUA_GOAT_Transect 4,KUA_GOAT,416,416,Yasawas,KuataGoat,Non-adopter,Qoliqoli
KUA_MPA_Transect 1,KUA_MPA,129,129,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_MPA_Transect 2,KUA_MPA,67,67,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_MPA_Transect 3,KUA_MPA,135,135,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_MPA_Transect 4,KUA_MPA,101,101,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_MPA_Transect 5,KUA_MPA,161,161,Yasawas,KuataMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 1,KUA_noMPA,57,57,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 2,KUA_noMPA,62,62,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 3,KUA_noMPA,63,63,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
KUA_noMPA_Transect 4,KUA_noMPA,47,47,Yasawas,KuataNonMPA,Non-adopter,Qoliqoli
