Period,OpCode,total_biomass,biomass_kg_ha,Location,Site,Year of Adoption,Status
KAD_BIRD_Transect 1,KAD_BIRD_1,1451.5079471806666,58.06031788722667,Kadavu,Birdland,2005-2009,LMMA
KAD_BIRD_Transect 2,KAD_BIRD_1,1424.9003811456068,56.996015245824275,Kadavu,Birdland,2005-2009,LMMA
KAD_BIRD_Transect 3,KAD_BIRD_1,3122.2254804393015,124.88901921757206,Kadavu,Birdland,2005-2009,LMMA
KAD_BIRD_Transect 4,KAD_BIRD_1,3301.6311745642656,132.0652469825706,Kadavu,Birdland,2005-2009,LMMA
KAD_CAT_Transect 1,KAD_CAT_1,23362.198021029653,934.4879208411861,Kadavu,Catherine,2000-2004,LMMA
KAD_CAT_Transect 2,KAD_CAT_1,68698.86224612204,2747.9544898448817,Kadavu,Catherine,2000-2004,LMMA
KAD_CAT_Transect 3,KAD_CAT_1,6663.883823295482,266.5553529318193,Kadavu,Catherine,2000-2004,LMMA
KAD_CAT_Transect 4,KAD_CAT_1,54676.7577423319,2187.070309693276,Kadavu,Catherine,2000-2004,LMMA
KAD_CAT_Transect 5,KAD_CAT_1,28792.524411277704,1151.700976451108,Kadavu,Catherine,2000-2004,LMMA
KAD_COW_Transect 1,KAD_COW_,4477.802731140454,179.11210924561817,Kadavu,NukuvouCOW,2000-2004,LMMA
KAD_COW_Transect 2,KAD_COW_,3230.6906012074423,129.22762404829768,Kadavu,NukuvouCOW,2000-2004,LMMA
KAD_COW_Transect 3,KAD_COW_,6567.899418930051,262.71597675720204,Kadavu,NukuvouCOW,2000-2004,LMMA
KAD_COW_Transect 4,KAD_COW_,12516.624825922054,500.66499303688215,Kadavu,NukuvouCOW,2000-2004,LMMA
KAD_FIGO_Transect 1,KAD_FIGO,19641.87639828797,785.6750559315187,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 2,KAD_FIGO,27669.316472086175,1106.772658883447,Kadavu,FijiGold,2000-2004,LMMA
KAD_FIGO_Transect 3,KAD_FIGO,6105.04945982661,244.2019783930644,Kadavu,FijiGold,2000-2004,LMMA
