"Location","Permission","Facilitated.by","Dive_Site","Fishing.Grounds","Transect","lat","lon","aca_geomorphology","slope_mean_2020_bio_oracle_3","terrain_ruggedness_index_2020_bio_oracle_3","topographic_position_index_2020_bio_oracle_3","DESIG","ADOPT_2024","NO_TAKE","NO_TK_AREA","STATUS_YR","Geomorphology","OBJECTI","grav_NC","pop_cnt","nm_prts","reef_vl","sedimnt","nutrint","cml_scr","tp_thrt","Region","is_bcu","grv_NC_","pp_cnt_","nm_prt_","rf_vl_r","sdmnt_r","ntrnt_r","score","scoreth","scorpfc","scoretr","scorecn","scorecy","biomass_kg","biomass_kg_ha","abundance_ind_250m2","FRic","FEve","FDiv","FDis","RaoQ","Sizec"
"Kadavu","Ono","FLMMA/Kokomo","Birdland","Kadavu 1","KAD_BIRD_Transect 1",-18.84763115,178.5021932,"Back Reef Slope",1.3203984,99.25547,89.51445,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,"Sediments","Melanesia","non-refugia",1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807,1.45150794718067,58.0603178872267,66,1.07086622479835e-13,0.706946641095452,0.912313601097445,0.309339316869335,0.108091629456419,19.5991410495328
"Kadavu","Ono","FLMMA/Kokomo","Birdland","Kadavu 1","KAD_BIRD_Transect 2",-18.84763115,178.5021932,"Back Reef Slope",1.3203984,99.25547,89.51445,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,"Sediments","Melanesia","non-refugia",1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807,1.42490038114561,56.9960152458243,74,1.67349594509701e-13,0.741524196254366,0.884320567854018,0.25978718840781,0.0774144781767221,15.3581081081081
"Kadavu","Ono","FLMMA/Kokomo","Birdland","Kadavu 1","KAD_BIRD_Transect 3",-18.84763115,178.5021932,"Back Reef Slope",1.3203984,99.25547,89.51445,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,"Sediments","Melanesia","non-refugia",1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807,3.1222254804393,124.889019217572,71,5.29231505012953e-13,0.772315328227813,0.929077977300004,0.294982525494534,0.0916212485524141,25.6099281966308
"Kadavu","Ono","FLMMA/Kokomo","Birdland","Kadavu 1","KAD_BIRD_Transect 4",-18.84763115,178.5021932,"Back Reef Slope",1.3203984,99.25547,89.51445,"Locally Managed Marine Area","2005-2009","Part",19.22,"1985","Back Reef Slope",49542,0.571425896,0.535405524,0,0,0.599143004,0.545648849,0.375270546,"Sediments","Melanesia","non-refugia",1.160336377,293.8462265,0,0,4.663125992,0.000226514,-0.05091,-0.68252,0.13163,-0.09355,-0.01837,-0.11807,3.30163117456427,132.065246982571,146,8.00303148999212e-11,0.678991888803353,0.922635443597798,0.297714333327746,0.0980725257527369,16.7752179266476
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","Kadavu 1","KAD_CAT_Transect 1",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,23.3621980210296,934.487920841186,180,3.50939410118578e-10,0.730717986441726,0.876272163391085,0.364848927206101,0.136555517988996,25.7228232845179
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","Kadavu 1","KAD_CAT_Transect 2",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,68.698862246122,2747.95448984488,280,2.15802693412797e-09,0.678000197181453,0.803026670459064,0.307783384085908,0.111925847604212,33.8688212106609
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","Kadavu 1","KAD_CAT_Transect 3",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,6.66388382329548,266.555352931819,74,5.96082349908144e-12,0.765113053022069,0.823346608322651,0.252999238506458,0.0889507215507881,37.5982302147665
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","Kadavu 1","KAD_CAT_Transect 4",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,54.6767577423319,2187.07030969328,278,9.6687645102597e-12,0.661026338898822,0.766812473002012,0.245147292937968,0.0750038985676507,38.6223210899167
"Kadavu","Dravuni","FLMMA/Kokomo","Catherine","Kadavu 1","KAD_CAT_Transect 5",-18.7013889,178.5322222,"Sheltered Reef Slope",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,28.7925244112777,1151.70097645111,179,3.30839624617628e-12,0.676206495836354,0.920436580043754,0.250969600379958,0.0750337085186235,36.1567860663819
"Kadavu","Dravuni","FLMMA/Kokomo","FijiGold","Kadavu 1","KAD_FIGO_Transect 1",-18.7133333,178.5438889,"Outer Reef Flat",1.8246502,256.33005,231.32104,"Locally Managed Marine Area","2000-2004","Part",19.22,"1985","Sheltered Reef Slope",49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,"Fishing","Melanesia","non-refugia",1.749591113,90.88370705,0,0,0.00050645,3.27e-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242,19.641876398288,785.675055931519,229,1.48714653476143e-10,0.678357491606824,0.945477597603559,0.296774385056371,0.104665962883944,19.7682169178999
