"Filename","Frame","Time..mins.","Period","Period.time..mins.","Length..mm.","Precision..mm.","RMS..mm.","Range..mm.","Direction..deg.","Horz..Dir...deg.","Vert..Dir...deg.","Mid.X..mm.","Mid.Y..mm.","Mid.Z..mm.","OpCode","TapeReader","Family","Genus","Species","Code","Number","Stage","Activity","Comment","X","X.1","Species_full"
"GX010037_L.MP4",48437,26.9364,"KAD_FIGO_Transect 3",1.7362,NA,29.184,14.41,7063.662,22.022,NA,NA,638.075,-2574.375,-6546.814,"KAD_FIGO","Peter","Pomacentridae","Amblyglyphidodon","curacao","37372017",1,"AD","Passing","","",NA,"Amblyglyphidodon curacao"
"GX010052_L.MP4",23229,12.9179,"KUA_GOAT_Transect 2",0.6301,NA,17.101,20.074,5689.014,22.602,NA,NA,-2066.605,710.978,-5252.478,"KUA_GOAT","Peter","Pomacentridae","Pomacentrus","sp","",1,"AD","Passing","","",NA,"Pomacentrus sp"
"WAI_MYS_CAM1_left_1.MP4",50468,28.0658,"WAI_MYS_transect 4",0.6084,309.295,30.847,5.048,6976.312,23.898,9.237,12.306,2751.217,646.36,-6378.24,"WAI_MYS","Peter","Lutjanidae","Lutjanus","gibbus","37346028",1,"AD","Passing","",NA,NA,"Lutjanus gibbus"
"WAI_MYS_CAM1_left_2.MP4",822,35.6923,"WAI_MYS_Transect 5",0.4438,NA,20.718,1.739,6515.127,28.859,NA,NA,-2616.202,1767.29,-5699.04,"WAI_MYS","Peter","Pomacentridae","Chromis","margaritifer","37372047",1,"AD","Passing","",NA,NA,"Chromis margaritifer"
"GX010042_L.MP4",53942,29.9977,"YA_COW_Transect 4",0.5394,NA,35.761,2.219,7734.242,21.401,NA,NA,1253.981,2524.132,-7202.416,"YA_COW","Peter","Pomacentridae","Chromis","ternatensis","37372051",1,"AD","Passing","",NA,NA,"Chromis ternatensis"
"GX010042_L.MP4",53942,29.9977,"YA_COW_Transect 4",0.5394,NA,35.259,11.729,7700.458,22.728,NA,NA,1298.215,2672.727,-7104.099,"YA_COW","Peter","Pomacentridae","Chromis","ternatensis","37372051",1,"AD","Passing","",NA,NA,"Chromis ternatensis"
"GX010042_L.MP4",53942,29.9977,"YA_COW_Transect 4",0.5394,NA,31.54,6.586,7295.177,23.704,NA,NA,1311.029,2619.515,-6681.239,"YA_COW","Peter","Pomacentridae","Chromis","ternatensis","37372051",1,"AD","Passing","",NA,NA,"Chromis ternatensis"
"GX010042_L.MP4",53942,29.9977,"YA_COW_Transect 4",0.5394,NA,36.393,3.585,7801.837,20.583,NA,NA,1115.018,2501.748,-7305.248,"YA_COW","Peter","Pomacentridae","Chromis","ternatensis","37372051",1,"AD","Passing","",NA,NA,"Chromis ternatensis"
"GX010042_L.MP4",53942,29.9977,"YA_COW_Transect 4",0.5394,NA,32.367,7.423,7383.568,22.358,NA,NA,1050.794,2600.702,-6830.026,"YA_COW","Peter","Pomacentridae","Chromis","ternatensis","37372051",1,"AD","Passing","",NA,NA,"Chromis ternatensis"
"GX010042_L.MP4",53942,29.9977,"YA_COW_Transect 4",0.5394,NA,36.606,7.736,7868.475,22.291,NA,NA,1011.155,2803.828,-7282.102,"YA_COW","Peter","Pomacentridae","Chromis","ternatensis","37372051",1,"AD","Passing","",NA,NA,"Chromis ternatensis"
"GX010042_L.MP4",53942,29.9977,"YA_COW_Transect 4",0.5394,NA,37.621,0.594,7967.264,23.02,NA,NA,1280.703,2835.962,-7334.467,"YA_COW","Peter","Pomacentridae","Chromis","ternatensis","37372051",1,"AD","Passing","",NA,NA,"Chromis ternatensis"
"GX010042_L.MP4",53942,29.9977,"YA_COW_Transect 4",0.5394,NA,34.908,4.818,7704.055,25.019,NA,NA,1668.924,2794.18,-6982.816,"YA_COW","Peter","Pomacentridae","Chromis","ternatensis","37372051",1,"AD","Passing","",NA,NA,"Chromis ternatensis"
"GX020043_L.MP4",4305,37.6293,"YA_VAL_Transect 5",1.4353,NA,10.689,25.076,4168.538,19.08,NA,NA,764.918,1125.401,-3940.189,"YA_VAL","Peter","Pomacentridae","Pomacentrus","sp","",1,"AD","Passing",NA,NA,NA,"Pomacentrus sp"
