Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
GX010036_L.MP4,25011,13.9089,KAD_CAT_Transect 1,0.1223,39.79,1.892,10.749,1501.58,16.502,15.197,5.947,-412.555,-108.276,-1439.728,KAD_CAT_1,Peter,Labridae,Thalassoma,amblycephalum,37384164,1,J,Passing,IP,,
GX010036_L.MP4,25011,13.9089,KAD_CAT_Transect 1,0.1223,32.977,1.822,11.623,1374.49,20.657,21.801,5.001,-461.521,-148.72,-1286.12,KAD_CAT_1,Peter,Labridae,Thalassoma,amblycephalum,37384164,1,J,Passing,IP,,
GX010036_L.MP4,25011,13.9089,KAD_CAT_Transect 1,0.1223,34.824,1.898,10.846,1470.023,19.187,16.035,9.38,-476.432,-80.081,-1388.368,KAD_CAT_1,Peter,Labridae,Thalassoma,amblycephalum,37384164,1,J,Passing,IP,,
GX010036_L.MP4,25032,13.9206,KAD_CAT_Transect 1,0.134,69.365,0.89,3.382,1176.803,10.399,0.514,21.794,56.679,-204.708,-1157.475,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25032,13.9206,KAD_CAT_Transect 1,0.134,68.601,0.915,4.719,1166.034,12.202,6.83,13.795,-76.79,-234.18,-1139.692,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25047,13.9289,KAD_CAT_Transect 1,0.1424,57.608,2.728,4.558,1462.715,19.518,51.894,21.349,-467.43,-142.632,-1378.659,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25047,13.9289,KAD_CAT_Transect 1,0.1424,,2.973,1.308,2200.526,18.319,,,-688.632,-65.819,-2088.963,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25079,13.9467,KAD_CAT_Transect 1,0.1602,,4.689,11.931,2986.188,30.179,,,-1346.072,663.049,-2581.816,KAD_CAT_1,Peter,Pomacentridae,Pomacentrus,philippinus,37372123,1,AD,Passing,,,
GX010036_L.MP4,25079,13.9467,KAD_CAT_Transect 1,0.1602,,4.797,9.165,2983.793,27.681,,,-1255.049,586.81,-2642.636,KAD_CAT_1,Peter,Pomacentridae,Stegastes,lacrymatus,temp_code_006,1,AD,Passing,,,
GX010036_L.MP4,25163,13.9934,KAD_CAT_Transect 1,0.2069,,1.94,4.093,1704.758,18.322,,,3.178,-536.847,-1618.018,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25163,13.9934,KAD_CAT_Transect 1,0.2069,,2.584,1.762,1972.272,15.757,,,175.83,-507.019,-1897.86,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25163,13.9934,KAD_CAT_Transect 1,0.2069,,2.76,1.434,2046.812,13.795,,,44.49,-487.203,-1987.484,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25174,13.9995,KAD_CAT_Transect 1,0.213,90.859,2.932,10.647,2147.137,23.284,8.679,22.905,-684.468,-501.855,-1972.269,KAD_CAT_1,Peter,Pomacentridae,Stegastes,lacrymatus,temp_code_006,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,43.417,3.229,1.343,2624.88,7.966,8.884,26.416,-342.488,-122.586,-2599.552,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
