Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010031_C2_L.MP4,16439,9.1419,KAD_OnoBack_Transect 1,0.1418,142.617,5.206,3.138,3910.636,2.18,7.454,3.321,-53.228,138.9,-3907.806,KAD_OnoBack,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,
GX010031_C2_L.MP4,16439,9.1419,KAD_OnoBack_Transect 1,0.1418,111.187,5.361,3.501,2457.883,11.167,24.093,10.886,473.579,-48.264,-2411.344,KAD_OnoBack,Peter,Labridae,Thalassoma,lutescens,37384168,1,AD,Passing,
GX010031_C2_L.MP4,16452,9.1491,KAD_OnoBack_Transect 1,0.149,,10.748,0.617,4430.377,22.052,,,1636.294,-293.814,-4106.635,KAD_OnoBack,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
GX010031_C2_L.MP4,16462,9.1547,KAD_OnoBack_Transect 1,0.1546,,1.71,6.025,1671.127,27.927,,,640.512,-447.992,-1477.062,KAD_OnoBack,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,
GX010031_C2_L.MP4,16522,9.1881,KAD_OnoBack_Transect 1,0.188,,9.561,1.281,4516.491,30.128,,,2245.861,-304.006,-3906.709,KAD_OnoBack,Peter,Scaridae,Chlorurus,sp,,1,AD,Passing,
GX010031_C2_L.MP4,16529,9.192,KAD_OnoBack_Transect 1,0.1919,54.586,5.331,2.867,2201.235,16.717,35.739,3.213,368.098,-515.201,-2108.2,KAD_OnoBack,Peter,Pomacanthidae,Centropyge,flavissima,37365026,1,AD,Passing,
GX010031_C2_L.MP4,16529,9.192,KAD_OnoBack_Transect 1,0.1919,,4.763,1.688,2734.36,15.779,,,570.764,-473.344,-2631.9,KAD_OnoBack,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010031_C2_L.MP4,16537,9.1964,KAD_OnoBack_Transect 1,0.1963,125.698,2.685,2.137,2292.819,14.549,5.039,4.681,406.21,-408.33,-2219.297,KAD_OnoBack,Peter,Scaridae,Chlorurus,sp,,1,AD,Passing,
GX010031_C2_L.MP4,16571,9.2153,KAD_OnoBack_Transect 1,0.2152,73.998,3.617,3.101,1905.417,26.557,44.404,24.873,790.341,-317.961,-1704.37,KAD_OnoBack,Peter,Pomacentridae,Stegastes,lacrymatus,temp_code_006,1,AD,Passing,
GX010031_C2_L.MP4,16618,9.2415,KAD_OnoBack_Transect 1,0.2414,64.226,1.45,2.916,1661.055,1.183,8.233,41.274,30.969,14.71,-1660.701,KAD_OnoBack,Peter,Pomacentridae,Pomacentrus,callainus,temp_code_004,1,AD,Passing,
