Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010050_L.MP4,27121,15.0823,KUA_MPA_Transect 1,0.1757,161.549,9.279,4.472,3495.607,9.067,20.577,12.001,541.176,-102.976,-3451.926,KUA_MPA,Peter,Scaridae,Chlorurus,bleekeri,37386011,1,AD,Passing,
GX010050_L.MP4,27238,15.1474,KUA_MPA_Transect 1,0.2408,74.646,4.712,4.125,1969.626,2.612,40.17,23.694,-15.441,88.433,-1967.58,KUA_MPA,Peter,Pomacentridae,Pomacentrus,philippinus,37372123,1,AD,Passing,
GX010050_L.MP4,27269,15.1646,KUA_MPA_Transect 1,0.258,86.314,4.018,3.707,1695.42,12.889,60.856,31.715,377.69,-19.146,-1652.705,KUA_MPA,Peter,Pomacentridae,Amblyglyphidodon,curacao,37372017,1,AD,Passing,
GX010050_L.MP4,27269,15.1646,KUA_MPA_Transect 1,0.258,29.205,1.729,0.419,1534.563,16.021,4.219,9.846,407.469,-115.479,-1474.964,KUA_MPA,Peter,Pomacentridae,Chromis,viridis,37372053,1,AD,Passing,
GX010050_L.MP4,27280,15.1707,KUA_MPA_Transect 1,0.2642,73.295,6.474,1.369,2535.795,11.078,30.105,13.504,437.175,-215.181,-2488.54,KUA_MPA,Peter,Pomacentridae,Chromis,viridis,37372053,1,AD,Passing,
GX010050_L.MP4,27280,15.1707,KUA_MPA_Transect 1,0.2642,,5.345,6.687,2921.43,11.235,,,509.879,-254.698,-2865.294,KUA_MPA,Peter,Pomacentridae,Chromis,viridis,37372053,1,AD,Passing,
GX010050_L.MP4,27342,15.2052,KUA_MPA_Transect 1,0.2986,66.719,4.44,7.217,2330.915,17.626,22.183,19.694,643.206,-290.601,-2221.486,KUA_MPA,Peter,Pomacentridae,Chromis,viridis,37372053,1,AD,Passing,
GX010050_L.MP4,27342,15.2052,KUA_MPA_Transect 1,0.2986,,5.176,4.149,2915.848,22.642,,,892.147,-682.877,-2690.711,KUA_MPA,Peter,Pomacentridae,Chromis,viridis,37372053,1,AD,Passing,
GX010050_L.MP4,27465,15.2736,KUA_MPA_Transect 1,0.367,117.481,4.268,13.927,2154.332,17.823,30.753,17.731,-257.899,-606.848,-2050.944,KUA_MPA,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010050_L.MP4,27914,15.5233,KUA_MPA_Transect 1,0.6167,135.51,7.33,3.225,2333.857,19.414,60.749,27.811,-184.693,-753.44,-2201.16,KUA_MPA,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
GX010050_L.MP4,28033,15.5895,KUA_MPA_Transect 1,0.6829,91.225,5.576,15.86,2089.864,29.42,80.152,11.068,845.045,-582.88,-1820.352,KUA_MPA,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
GX010050_L.MP4,28102,15.6278,KUA_MPA_Transect 1,0.7213,,6.444,2.247,3394.927,23.233,,,1323.874,-203.97,-3119.501,KUA_MPA,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
GX010050_L.MP4,28106,15.6301,KUA_MPA_Transect 1,0.7235,207.732,8.984,8.02,3260.043,21.099,28.295,5.456,-743.392,-908.078,-3041.487,KUA_MPA,Peter,Scaridae,Chlorurus,bleekeri,37386011,1,AD,Passing,
GX010050_L.MP4,28106,15.6301,KUA_MPA_Transect 1,0.7235,144.95,4.568,1.898,3085.104,16.965,8.939,18.001,-529.054,-728.337,-2950.846,KUA_MPA,Peter,Scaridae,Chlorurus,bleekeri,37386011,1,AD,Passing,
