"Period","OpCode","biomass_kg","biomass_kg_ha","Location","Site","Year of Adoption","Status","Province","Fishing Grounds"
"KAD_BIRD_Transect 1","KAD_BIRD_1",1.45150794718067,58.0603178872267,"Kadavu","Birdland","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_BIRD_Transect 2","KAD_BIRD_1",1.42490038114561,56.9960152458243,"Kadavu","Birdland","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_BIRD_Transect 3","KAD_BIRD_1",3.1222254804393,124.889019217572,"Kadavu","Birdland","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_BIRD_Transect 4","KAD_BIRD_1",3.30163117456427,132.065246982571,"Kadavu","Birdland","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_CAT_Transect 1","KAD_CAT_1",23.3621980210296,934.487920841186,"Kadavu","Catherine","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_CAT_Transect 2","KAD_CAT_1",68.698862246122,2747.95448984488,"Kadavu","Catherine","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_CAT_Transect 3","KAD_CAT_1",6.66388382329548,266.555352931819,"Kadavu","Catherine","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_CAT_Transect 4","KAD_CAT_1",54.6767577423319,2187.07030969328,"Kadavu","Catherine","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_CAT_Transect 5","KAD_CAT_1",28.7925244112777,1151.70097645111,"Kadavu","Catherine","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_COW_Transect 1","KAD_COW_",4.47780273114045,179.112109245618,"Kadavu","NukuvouCOW","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_COW_Transect 2","KAD_COW_",3.23069060120744,129.227624048298,"Kadavu","NukuvouCOW","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_COW_Transect 3","KAD_COW_",6.56789941893005,262.715976757202,"Kadavu","NukuvouCOW","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_COW_Transect 4","KAD_COW_",12.5166248259221,500.664993036882,"Kadavu","NukuvouCOW","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_FIGO_Transect 1","KAD_FIGO",19.641876398288,785.675055931519,"Kadavu","FijiGold","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_FIGO_Transect 2","KAD_FIGO",27.6693164720862,1106.77265888345,"Kadavu","FijiGold","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_FIGO_Transect 3","KAD_FIGO",6.10504945982661,244.201978393064,"Kadavu","FijiGold","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_FIGO_Transect 4","KAD_FIGO",11.323335697901,452.93342791604,"Kadavu","FijiGold","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_FIGO_Transect 5","KAD_FIGO",13.442334763018,537.693390520721,"Kadavu","FijiGold","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_FIGO_Transect 6","KAD_FIGO",9.41132120498623,376.452848199449,"Kadavu","FijiGold","2000-2004","LMMA","Kadavu","Kadavu 1"
"KAD_LUPE_Transect 1","KAD_LUPE",13.3441807282099,533.767229128394,"Kadavu","Lupes","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_LUPE_Transect 2","KAD_LUPE",7.99617927469929,319.847170987972,"Kadavu","Lupes","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_LUPE_Transect 3","KAD_LUPE",5.22671093592044,209.068437436818,"Kadavu","Lupes","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_LUPE_Transect 4","KAD_LUPE",10.7039332115023,428.157328460092,"Kadavu","Lupes","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_LUPE_Transect 5","KAD_LUPE",6.00623044360612,240.249217744245,"Kadavu","Lupes","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_MaiDive_Transect 2","KAD_MaiDive",5.81558213996711,232.623285598684,"Kadavu","MaiDive","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_MaiDive_Transect 3","KAD_MaiDive",15.6531424822549,626.125699290195,"Kadavu","MaiDive","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_MaiDive_Transect 4","KAD_MaiDive",15.1080086219486,604.320344877942,"Kadavu","MaiDive","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_MaiDive_Transect 5","KAD_MaiDive",5.03565002806493,201.426001122597,"Kadavu","MaiDive","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_MaiDive_Transect 6","KAD_MaiDive",9.61378217061589,384.551286824636,"Kadavu","MaiDive","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_OnoBack_Transect 1","KAD_OnoBack",4.0037323136769,160.149292547076,"Kadavu","Narikoso","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_OnoBack_Transect 2","KAD_OnoBack",4.66508816363669,186.603526545468,"Kadavu","Narikoso","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_OnoBack_Transect 3","KAD_OnoBack",4.28852465530133,171.540986212053,"Kadavu","Narikoso","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_OnoBack_Transect 4","KAD_OnoBack",1.70725551498284,68.2902205993135,"Kadavu","Narikoso","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_OnoBack_Transect 5","KAD_OnoBack",4.46688641519073,178.675456607629,"Kadavu","Narikoso","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_ROB_Transect 1","KAD_ROB",5.50326789470109,220.130715788044,"Kadavu","RobertsReef","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_ROB_Transect 2","KAD_ROB",6.32343617811067,252.937447124427,"Kadavu","RobertsReef","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_ROB_Transect 3","KAD_ROB",4.75342462554917,190.136985021967,"Kadavu","RobertsReef","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_ROB_Transect 4","KAD_ROB",4.32702097638928,173.080839055571,"Kadavu","RobertsReef","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_ROB_Transect 5","KAD_ROB",17.6070318769453,704.281275077812,"Kadavu","RobertsReef","2000-2004","LMMA","Kadavu","Kadavu 2"
"KAD_SO1_Transect 1","KAD_SO1",8.68795482445146,347.518192978059,"Kadavu","Soso1","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_SO1_Transect 2","KAD_SO1",6.90281948834232,276.112779533693,"Kadavu","Soso1","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_SO1_Transect 3","KAD_SO1",3.57392703161559,142.957081264624,"Kadavu","Soso1","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_SO1_Transect 4","KAD_SO1",5.92492705653731,236.997082261492,"Kadavu","Soso1","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_SO2_Transect 1","KAD_SO2",2.49735703986599,99.8942815946394,"Kadavu","Soso2","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_SO2_Transect 2","KAD_SO2",0.929459300320486,37.1783720128194,"Kadavu","Soso2","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_SO2_Transect 3","KAD_SO2",3.07180344271178,122.872137708471,"Kadavu","Soso2","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_SO2_Transect 4","KAD_SO2",2.14009444770386,85.6037779081544,"Kadavu","Soso2","2005-2009","LMMA","Kadavu","Kadavu 3"
"KAD_VURRO_Transect 1","KAD_VURRO",4.46159365368578,178.463746147431,"Kadavu","Vurro","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_VURRO_Transect 2","KAD_VURRO",9.73016608745757,389.206643498303,"Kadavu","Vurro","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_VURRO_Transect 3","KAD_VURRO",8.90542421986367,356.216968794547,"Kadavu","Vurro","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_VURRO_Transect 4","KAD_VURRO",4.21393894193889,168.557557677556,"Kadavu","Vurro","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_VURRO_Transect 5","KAD_VURRO",10.5597048873126,422.388195492506,"Kadavu","Vurro","2005-2009","LMMA","Kadavu","Kadavu 1"
"KAD_VURRO_Transect 6","KAD_VURRO",5.82787527166399,233.11501086656,"Kadavu","Vurro","2005-2009","LMMA","Kadavu","Kadavu 1"
"KUA_Back_Transect 1","Kua_Back",6.05476175894837,242.190470357935,"Yasawas","KuataBack","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_Back_Transect 2","Kua_Back",15.7066470861352,628.265883445408,"Yasawas","KuataBack","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_Back_Transect 3","Kua_Back",4.90819846998846,196.327938799538,"Yasawas","KuataBack","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_Back_Transect 4","Kua_Back",7.4713249941617,298.852999766468,"Yasawas","KuataBack","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_GOAT_Transect 1","KUA_GOAT",10.3261501926973,413.046007707893,"Yasawas","KuataGoat","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_GOAT_Transect 2","KUA_GOAT",4.91671419742165,196.668567896866,"Yasawas","KuataGoat","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_GOAT_Transect 3","KUA_GOAT",4.85952894727389,194.381157890956,"Yasawas","KuataGoat","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_GOAT_Transect 4","KUA_GOAT",7.78096098097803,311.238439239121,"Yasawas","KuataGoat","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_MPA_Transect 1","KUA_MPA",4.87667737876742,195.067095150697,"Yasawas","KuataMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_MPA_Transect 2","KUA_MPA",4.67410615406715,186.964246162686,"Yasawas","KuataMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_MPA_Transect 3","KUA_MPA",7.57677653297046,303.071061318818,"Yasawas","KuataMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_MPA_Transect 4","KUA_MPA",7.3872062098216,295.488248392864,"Yasawas","KuataMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_MPA_Transect 5","KUA_MPA",4.63184197039704,185.273678815881,"Yasawas","KuataMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_noMPA_Transect 1","KUA_noMPA",1.69162262582131,67.6649050328523,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_noMPA_Transect 2","KUA_noMPA",1.2718963984927,50.8758559397079,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_noMPA_Transect 3","KUA_noMPA",3.40359815485785,136.143926194314,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_noMPA_Transect 4","KUA_noMPA",1.72036340399936,68.8145361599744,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli","Ba","Namara"
"KUA_noMPA_Transect 5","KUA_noMPA",0.632091874191734,25.2836749676694,"Yasawas","KuataNonMPA","Non-adopter","Qoliqoli","Ba","Namara"
"Lau_Totoya_BT_Transect 1","Lau_Totoya_BT",8.83190610048404,353.276244019361,"Lau","CoralGarden","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_Totoya_BT_Transect 2","Lau_Totoya_BT",4.28575208889312,171.430083555725,"Lau","CoralGarden","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_Totoya_BT_Transect 3","Lau_Totoya_BT",17.4021168260776,696.084673043104,"Lau","CoralGarden","2010-2014","Qoliqoli","Lau","Totoya"
"Lau_Totoya_BT_Transect 4","Lau_Totoya_BT",4.81422713406901,192.56908536276,"Lau","CoralGarden","2010-2014","Qoliqoli","Lau","Totoya"
