Species_full,a,b
Abalistes stellatus,0.036433992,2.849751866
Abudefduf abdominalis,0.00038,2.61
Abudefduf bengalensis,0.02455,3
Abudefduf concolor,0.02455,3
Abudefduf conformis,0.01479,2.99
Abudefduf declivifrons,0.02455,3
Abudefduf luridus,0.024595,2.9015
Abudefduf natalensis,0.02455,3
Abudefduf notatus,0.02455,3
Abudefduf saxatilis,0.020803045,3.038004419
Abudefduf septemfasciatus,0.02355609,3.066008839
Abudefduf sexfasciatus,0.022358022,3.100984518
Abudefduf sordidus,0.022562179,3.132017677
Abudefduf sp,0.02455,3
Abudefduf sparoides,0.02455,3
Abudefduf taurus,0.0208,2.985
Abudefduf troschelii,0.02455,3
Abudefduf vaigiensis,0.022562179,3.132017677
Abudefduf whitleyi,0.024172629,3.05634074
Acanthemblemaria aspera,1.539894154,1.539894154
Acanthemblemaria atrata,0.00739,3.04855
Acanthemblemaria balanorum,0.00562,3.12
Acanthemblemaria castroi,0.00468,3.08
Acanthemblemaria crockeri,0.00468,3
Acanthemblemaria exilispinus,0.00468,3.08
Acanthemblemaria hancocki,0.00468,3.08
Acanthemblemaria macrospilus,0.00739,3.04855
Acanthemblemaria maria,0.0077,2.962
Acanthemblemaria spinosa,0.00619,3.021
Acanthemblemaria stephensi,0.00468,3.08
Acanthistius brasilianus,2.54E-05,2.9266
Acanthistius cinctus,0.00933,2.97
Acanthistius fuscus,0.00929,3.18
Acanthochromis polyacanthus,0.02951,3.04
Acanthocybium solandri,0.00282,3.17
Acanthopagrus australis,0.01288,3.03
Acanthopagrus berda,0.02234706,3.043787933
Acanthopagrus latus,0.01738,2.92
Acanthopagrus palmaris,0.02344,2.94
Acanthostracion notacanthus,0.000108343,2.6794
Acanthostracion polygonia,0.000108343,2.6794
Acanthostracion polygonius,0.02304,2.915
Acanthostracion quadricornis,0.000956313,2.2629
Acanthostracion sp,0.000956313,2.2629
Acanthurus achilles,0.028032882,2.98288421
Acanthurus albipectoralis,0.03,2.98
Acanthurus auranticavus,0.024956441,2.976442105
Acanthurus bahianus,0.02124,2.956666667
Acanthurus bariene,0.02188,2.97
Acanthurus blochii,0.025055962,3.031929247
Acanthurus chirurgus,0.022306667,2.966666667
Acanthurus coeruleus,6.07E-05,2.8346
Acanthurus dussumieri,0.042561181,2.868263525
Acanthurus fowleri,0.01622,3
Acanthurus gahhm,0.02188,2.97
Acanthurus grammoptilus,0.02188,2.97
Acanthurus guttatus,4.40E-05,3.08
Acanthurus leucocheilus,0.02188,2.97
Acanthurus leucopareius,0.01678,3.17
Acanthurus leucosternon,0.01995,2.95
Acanthurus lineatus,0.028032882,2.98288421
Acanthurus maculiceps,0.02188,2.97
Acanthurus mata,0.022241884,3.007953028
Acanthurus monroviae,0.0181,3.09
Acanthurus nigricans,0.081544127,2.87
Acanthurus nigricauda,0.016784756,3.167724687
Acanthurus nigrofuscus,0.026370479,3.028366711
Acanthurus nigroris,0.028032882,2.98288421
Acanthurus nubilus,0.028032882,2.98288421
Acanthurus olivaceus,0.028032882,2.98288421
Acanthurus pyroferus,0.028032882,2.98288421
Acanthurus reversus,0.02188,2.97
Acanthurus sohal,0.02188,2.97
Acanthurus sp,0.02188,2.97
Acanthurus tennentii,0.02188,2.97
Acanthurus thompsoni,0.028032882,2.98288421
Acanthurus tractus,0.01862,2.92
Acanthurus triostegus,0.015557474,3.45
Acanthurus tristis,0.02188,2.97
Acanthurus xanthopterus,0.067,2.669
Acyrtus rubiginosus,0.0055,3.1
Aeoliscus strigatus,0.004745,3.06
Aethaloperca rogaa,1.521463907,1.521463907
