"","PC1","PC2"
"Neoglyphidodon carlsoni",-0.0259559996068001,0.170763846990663
"Acanthurus triostegus",0.113147953010359,-0.0488943570740306
"Ctenochaetus striatus",0.025028123415021,0.157751330437394
"Chaetodon auriga",-0.110441758607097,0.0445028723983406
"Chrysiptera taupou",-0.0265599587627774,0.173526839978715
"Chaetodon baronessa",-0.0834937856726095,0.159982717003924
"Chaetodon bennetti",-0.0832340387668221,0.15085610774489
"Chaetodon citrinellus",-0.0841017637612644,0.166451182936122
"Acanthurus mata",0.397007746478366,-0.116080308617204
"Acanthurus lineatus",-0.14365897203005,0.105686734216418
"Naso hexacanthus",0.500200946945621,-0.161944176987933
"Naso lituratus",0.00521656782797357,-0.0814865894040823
"Naso unicornis",0.000830691582164248,-0.103739864274204
"Halichoeres hortulanus",-0.141411713004217,-0.118084256412923
"Bodianus loxozonus",-0.149108619820539,-0.154086459358432
"Cirrhilabrus punctatus",0.258923916013354,0.155272569524786
"Aulostomus chinensis",0.00457265791887265,-0.180408644111705
"Lutjanus biguttatus",0.182870428714588,-0.292842698120919
"Lutjanus bohar",0.286855651034821,-0.330585812975271
"Lutjanus monostigma",0.189989408158244,-0.296282875129459
"Gnathodentex aureolineatus",0.0518994563362912,-0.289763330613116
"Lethrinus semicinctus",0.0772156723998229,-0.357819012612001
"Lethrinus harak",-0.0360235008557904,-0.146081232468336
"Macolor macularis",0.438602938840808,-0.196133967931347
"Monotaxis grandoculis",-0.0429407895911909,-0.399982600084147
"Macolor niger",0.451241623563524,-0.210342580783964
"Pterocaesio trilineata",0.463072640406852,-0.05467970685871
"Carangoides orthogrammus",0.302537234578324,-0.360309905097264
"Plectorhinchus vittatus",-0.166274718878595,-0.184376008232596
"Lutjanus fulvus",0.0981086154500115,-0.256331197485155
"Lutjanus gibbus",0.0205628827690931,-0.238474926606339
"Chaetodon ephippium",-0.0832769587593891,0.130082803725078
"Stegastes albifasciatus",-0.0160837264116372,0.158350998344679
"Stegastes fasciolatus",-0.0158829320934143,0.154363532456315
"Stegastes nigricans",0.0360667026074675,0.173715185369592
"Amphiprion chrysopterus",0.10234141562971,0.150756811249122
"Siganus punctatus",-0.0687545104274476,-0.0556614644590349
"Siganus doliatus",-0.0664040571231007,-0.0280503961484254
"Siganus uspi",-0.0663426160025254,-0.0258004178832186
"Acanthurus thompsoni",0.345765735898408,-0.0668145912283014
"Acanthurus nigrofuscus",-0.015896666279061,0.141488781328113
"Acanthurus leucocheilus",-0.00341879388272714,-0.0641187065908939
"Acanthurus auranticavus",0.0712447475237561,-0.0601853099450428
"Acanthurus blochii",-0.00341879388272714,-0.0641187065908939
"Plectropomus leopardus",-0.171981224402699,-0.159543302021957
"Halichoeres prosopeion",-0.142382504106683,-0.0903633282187374
"Labropsis australis",-0.0850843934701808,0.171227064858869
"Anampses caeruleopunctatus",-0.0336811932524853,-0.134369903053743
"Anampses meleagrides",-0.141123449734864,-0.107288113538818
"Anampses neoguinaicus",-0.030330174342764,-0.094232519994347
"Anampses twistii",-0.141136335678175,-0.0990959364286977
"Sargocentron caudimaculatum",-0.0372444302940626,-0.31745027229451
"Neoniphon sammara",0.32634762998556,-0.167838357525562
