Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,53.924,4.894,4.782,3630.953,21.299,0.089,7.587,-639.25,1153.633,-3382.944,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,7.804,6.4,3905.762,29.29,,,-1610.45,1032.617,-3405.162,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,7.182,7.551,3664.918,27.823,,,-1373.235,1023.882,-3239.986,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,7.284,8.333,3588.698,24.947,,,-1139.79,999.988,-3252.639,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,8.646,8.558,4012.561,27.665,,,-1443.097,1182.691,-3552.374,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,7.415,8.814,3675.87,27.211,,,-1249.45,1128.355,-3267.677,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,7.749,8.926,3804.245,28.297,,,-1378.685,1166.595,-3348.218,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,7.386,6.675,3670.25,27.716,,,-1224.915,1192.828,-3247.688,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,8.221,7.963,3833.233,26.617,,,-1168.047,1263.213,-3425.439,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,8.463,8.513,3863.187,25.665,,,-1120.398,1246.98,-3480.512,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,8.37,4.855,3879.776,26.055,,,-1259.561,1152.15,-3484.066,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010030_C2_L.MP4,27766,15.441,KAD_MaiDive_Transect 2,0.2452,,7.745,3.414,3648.262,23.485,,,-994.939,1064.179,-3344.763,KAD_MaiDive,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
