Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
GX010029_L.MP4,43519,24.2014,KAD_SO1_Transect 1,0.2458,77.32,4.499,9.537,2002.904,21.666,42.682,10.31,-479.663,-562.788,-1861.402,KAD_SO1,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,,,
GX010029_L.MP4,43552,24.2198,KAD_SO1_Transect 1,0.2642,81.468,3.286,2.836,3300.791,10.379,3.571,18,161.626,-572.278,-3246.782,KAD_SO1,Peter,Chaetodontidae,Chaetodon,trifascialis,37365058,1,AD,Passing,,,
GX010029_L.MP4,43570,24.2298,KAD_SO1_Transect 1,0.2742,122.889,12.145,1.867,4533.979,20.079,10.403,4.552,-1386.984,-706.59,-4258.4,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,,8.326,3.969,4094.442,30.044,,,2032.041,-272.4,-3544.16,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,,8.349,9.725,4139.119,31.333,,,2133.354,-287.776,-3535.292,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,,5.374,14.295,3122.585,28.291,,,-1165.999,-913.013,-2749.071,KAD_SO1,Peter,Chaetodontidae,Chaetodon,sp,,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,190.379,14.185,13.615,3165.474,23.984,76.659,6.911,-943.589,-874.788,-2892.163,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,171.747,10.519,4.873,2643.574,20.75,70.838,10.589,-530.536,-771.818,-2472.107,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,109.729,2.917,9.539,2477.776,22.622,7.126,5.746,-465.527,-831.658,-2287.138,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,197.297,18.86,2.763,3989.3,28.956,71.351,12.351,1915.226,-249.014,-3490.618,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,178.455,15.637,4.078,3844.018,30.271,69.511,25.05,1901.899,-371.02,-3319.88,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,,9.653,3.441,4174.786,24.552,,,1631.013,-592.991,-3796.973,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,145.128,8.938,4.406,3881.394,16.121,15.259,21.612,747.93,-775.992,-3728.761,KAD_SO1,Peter,Labridae,Halichoeres,hortulanus,37384112,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,75.314,6.403,2.835,3204.495,24.049,6.505,11.323,1114.18,-681.182,-2926.325,KAD_SO1,Peter,Labridae,Stethojulis,bandanensis,37384154,1,AD,Passing,,,
GX010029_L.MP4,43601,24.247,KAD_SO1_Transect 1,0.2914,81.428,4.65,1.707,2318.039,22.932,24.43,0.616,766.796,-477.283,-2134.838,KAD_SO1,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,,,
GX010029_L.MP4,43606,24.2498,KAD_SO1_Transect 1,0.2942,139.596,9.598,6.575,3345.934,26.978,32.881,22.427,1267.487,-835.127,-2981.831,KAD_SO1,Peter,Mullidae,Parupeneus,pleurostigma,37355027,1,AD,Passing,,,
GX010029_L.MP4,43606,24.2498,KAD_SO1_Transect 1,0.2942,,5.97,10.369,3368.253,31.251,,,1603.511,-696.109,-2879.116,KAD_SO1,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,,,
GX010029_L.MP4,43610,24.252,KAD_SO1_Transect 1,0.2964,,13.909,4.516,5168.262,29.089,,,2337.777,-923.696,-4515.808,KAD_SO1,Peter,Lutjanidae,Lutjanus,gibbus,37346028,1,AD,Passing,,,
GX010029_L.MP4,43615,24.2548,KAD_SO1_Transect 1,0.2992,145.278,8.089,4.432,3966.95,19.062,14.698,6.75,-484.119,-1201.751,-3749.416,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43615,24.2548,KAD_SO1_Transect 1,0.2992,170.183,12.443,4.989,4045.953,16.48,23.703,3.69,348.929,-1093.457,-3879.734,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43615,24.2548,KAD_SO1_Transect 1,0.2992,104.037,8.338,5.916,3416.661,21.507,23.349,23.884,588.69,-1105.651,-3178.766,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43615,24.2548,KAD_SO1_Transect 1,0.2992,135.285,9.371,1.838,3858.514,23.583,17.976,32.726,1075.896,-1106.996,-3536.261,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43615,24.2548,KAD_SO1_Transect 1,0.2992,,12.712,3.987,4554.943,17.729,,,721.846,-1186.957,-4337.923,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43615,24.2548,KAD_SO1_Transect 1,0.2992,,10.291,5.506,4202.687,22.44,,,-1047.183,-1217.554,-3883.754,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43615,24.2548,KAD_SO1_Transect 1,0.2992,,28.784,7.238,7011.511,18.655,,,-1313.652,-1821.62,-6642.086,KAD_SO1,Peter,Scaridae,Chlorurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,43639,24.2681,KAD_SO1_Transect 1,0.3125,112.153,4.691,3.127,3553.533,18.052,5.728,8.703,462.996,-999.132,-3378.605,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,43639,24.2681,KAD_SO1_Transect 1,0.3125,129.911,8.364,5.837,3761.743,18.351,18.524,24.162,-60.504,-1182.785,-3570.443,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43680,24.2909,KAD_SO1_Transect 1,0.3353,,4.678,1.968,2731.107,18.742,,,714.022,-511.656,-2585.986,KAD_SO1,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,,,
GX010029_L.MP4,43736,24.3221,KAD_SO1_Transect 1,0.3665,,7.168,1.55,3393.344,12.345,,,426.842,-588.539,-3314.545,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,43736,24.3221,KAD_SO1_Transect 1,0.3665,,6.371,3.688,3183.816,13.992,,,453.439,-623.87,-3088.991,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,43757,24.3338,KAD_SO1_Transect 1,0.3782,121.855,10.175,0.98,3750.134,26.362,18.477,19.109,1536.826,-641.166,-3360.146,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43757,24.3338,KAD_SO1_Transect 1,0.3782,129.191,8.44,9.717,3647.298,24.837,4.502,11.335,1390.97,-642.126,-3309.934,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,43757,24.3338,KAD_SO1_Transect 1,0.3782,124.065,12.339,4.62,4472.755,27.722,3.849,26.613,2004.539,-557.685,-3959.337,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
