Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010030_L.MP4,3401,1.8913,KAD_SO2_Transect 1,0.1613,,5.699,9.26,3108.063,20.583,,,1049.887,-304.556,-2909.473,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,3473,1.9314,KAD_SO2_Transect 1,0.2013,,2.322,0.888,1872.092,19.749,,,258.41,-578.409,-1761.646,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,3546,1.972,KAD_SO2_Transect 1,0.2419,91.771,5.796,6.534,2441.087,24.615,34.803,2.062,-996.552,-201.704,-2219.258,KAD_SO2,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010030_L.MP4,3563,1.9814,KAD_SO2_Transect 1,0.2514,,3.728,0.042,2488.045,22.367,,,900.542,-293.716,-2300.679,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,3563,1.9814,KAD_SO2_Transect 1,0.2514,,3.354,0.747,2296.814,19.272,,,669.23,-357.381,-2167.894,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,3597,2.0003,KAD_SO2_Transect 1,0.2703,43.629,2.412,4.869,1776.567,23.798,17.43,10.894,511.908,-501.853,-1625.511,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,3604,2.0042,KAD_SO2_Transect 1,0.2742,20.117,1.984,3.65,1540.935,15.247,31.276,49.15,-58.922,-400.919,-1486.698,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,3604,2.0042,KAD_SO2_Transect 1,0.2742,,1.645,2.735,1540.809,13.144,,,-65.75,-345.045,-1500.237,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,3639,2.0237,KAD_SO2_Transect 1,0.2936,,5.753,1.166,3341.253,25.619,,,-1444.164,38.194,-3012.79,KAD_SO2,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
GX010030_L.MP4,3711,2.0637,KAD_SO2_Transect 1,0.3337,,7.283,13.073,3685.164,25.287,,,1564.792,169.358,-3332.143,KAD_SO2,Peter,Scaridae,Scarus,sp,,1,AD,Passing,
GX010030_L.MP4,3976,2.2111,KAD_SO2_Transect 1,0.481,,2.7,2.017,2165.553,24.373,,,-891.682,-60.962,-1972.513,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4052,2.2534,KAD_SO2_Transect 1,0.5233,,2.057,4.074,1741.338,13.129,,,-236.293,-318.183,-1695.636,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4105,2.2828,KAD_SO2_Transect 1,0.5528,,2.791,4.084,2149.272,23.415,,,852.886,-46.496,-1972.256,KAD_SO2,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,
GX010030_L.MP4,4183,2.3262,KAD_SO2_Transect 1,0.5962,,2.509,6.888,1977.332,19.419,,,-520.746,-402.354,-1864.611,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4183,2.3262,KAD_SO2_Transect 1,0.5962,,2.62,4.441,1977.777,14.5,,,327.699,-372.381,-1914.562,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4229,2.3518,KAD_SO2_Transect 1,0.6217,39.677,2.196,11.931,1338.504,21.131,46.947,10.418,-291.053,-384.874,-1248.501,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4229,2.3518,KAD_SO2_Transect 1,0.6217,18.302,1.303,12.291,1433.426,20.98,8.32,8.29,-249.969,-448.233,-1338.399,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4234,2.3546,KAD_SO2_Transect 1,0.6245,111.142,4.123,6.512,2233.298,17.384,19.074,3.937,658.319,108.786,-2131.291,KAD_SO2,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
GX010030_L.MP4,4242,2.359,KAD_SO2_Transect 1,0.629,67.689,1.926,5.46,1208.336,21.216,57.456,24.361,368.365,-235.62,-1126.44,KAD_SO2,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
GX010030_L.MP4,4372,2.4313,KAD_SO2_Transect 1,0.7013,,1.482,7.257,1459.233,17.96,,,-310.988,-326.002,-1387.937,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4424,2.4602,KAD_SO2_Transect 1,0.7302,56.18,4.434,1.412,2636.395,8.979,15.557,19.355,400.52,94.33,-2604.086,KAD_SO2,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,
GX010030_L.MP4,4452,2.4758,KAD_SO2_Transect 1,0.7457,,3.161,3.635,2206.94,5.205,,,101.707,171.157,-2197.941,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4473,2.4875,KAD_SO2_Transect 1,0.7574,,1.801,1.352,1612.773,8.199,,,63.672,-221.938,-1596.16,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4478,2.4903,KAD_SO2_Transect 1,0.7602,,2.934,8.891,2249.568,25.943,,,976.941,117.494,-2022.953,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4493,2.4986,KAD_SO2_Transect 1,0.7685,,2.544,7.604,2095.735,27.254,,,954.621,97.507,-1863.142,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4527,2.5175,KAD_SO2_Transect 1,0.7875,34.759,2.062,1.936,1401.837,17.59,32.114,20.666,367.868,-210.112,-1336.29,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4559,2.5353,KAD_SO2_Transect 1,0.8052,33.624,2.848,6.382,2155.852,9.478,12.387,2.006,297.821,193.209,-2126.422,KAD_SO2,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,
GX010030_L.MP4,4774,2.6549,KAD_SO2_Transect 1,0.9248,40.467,1.882,5.045,1467.572,11.824,22.398,0.948,-186.026,-236.277,-1436.431,KAD_SO2,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,
GX010030_L.MP4,4774,2.6549,KAD_SO2_Transect 1,0.9248,,2.772,4.358,2222.156,26.201,,,-965.619,-174.918,-1993.731,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4774,2.6549,KAD_SO2_Transect 1,0.9248,64.447,1.541,1.486,1855.735,4.3,2.918,20.71,80.215,-113.702,-1850.511,KAD_SO2,Peter,Labridae,Stethojulis,bandanensis,37384154,1,AD,Passing,
GX010030_L.MP4,4787,2.6621,KAD_SO2_Transect 1,0.932,64.036,3.088,5.693,1589.237,19.508,41.111,1.506,508.621,-151.517,-1498.006,KAD_SO2,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,
GX010030_L.MP4,4800,2.6693,KAD_SO2_Transect 1,0.9393,64.541,1.397,9.495,1407.277,15.014,14.053,31.843,-197.155,-306.665,-1359.233,KAD_SO2,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
GX010030_L.MP4,4804,2.6716,KAD_SO2_Transect 1,0.9415,21.998,2.192,6.134,1754.617,20.935,12.078,6.107,460.978,-424.907,-1638.791,KAD_SO2,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,
GX010030_L.MP4,4848,2.696,KAD_SO2_Transect 1,0.966,152.077,13.356,7.461,3601.356,20.72,34.928,6.857,1247.518,-259.204,-3368.423,KAD_SO2,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,
GX010030_L.MP4,4860,2.7027,KAD_SO2_Transect 1,0.9726,41.04,2.305,2.374,1724.226,26.353,10.895,13.797,655.075,-395.838,-1545.039,KAD_SO2,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,
