Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,
GX010052_L.MP4,12425,6.9097,KUA_GOAT_Transect 1,0.0845,108.393,4.619,7.398,1818.195,17.328,53.776,14.223,500.381,207.04,-1735.68,KUA_GOAT,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,,
GX010052_L.MP4,12425,6.9097,KUA_GOAT_Transect 1,0.0845,98.392,6.042,7.457,2158.865,9.624,41.826,12.255,290.636,213.986,-2128.483,KUA_GOAT,Peter,Pomacentridae,Neoglyphidodon,carlsoni,temp_code_008,1,AD,Passing,,
GX010052_L.MP4,12425,6.9097,KUA_GOAT_Transect 1,0.0845,200.471,5.585,18.113,2072.511,26.312,61.736,0.719,786.759,474.29,-1857.783,KUA_GOAT,Peter,Serranidae,Plectropomus,laevis,37311079,1,AD,Passing,,
GX010052_L.MP4,12425,6.9097,KUA_GOAT_Transect 1,0.0845,53.234,1.879,11.846,1486.939,23.027,15.844,10.201,-515.975,-268.465,-1368.46,KUA_GOAT,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,,
GX010052_L.MP4,12425,6.9097,KUA_GOAT_Transect 1,0.0845,117.55,2.022,5.002,1204.278,15.085,58.451,26.899,241.008,-200.355,-1162.78,KUA_GOAT,Peter,Pomacentridae,Stegastes,nigricans,37372135,1,AD,Passing,,
GX010052_L.MP4,12467,6.933,KUA_GOAT_Transect 1,0.1079,,4.034,6.998,2559.775,22.071,,,819.367,502.355,-2372.493,KUA_GOAT,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,,
GX010052_L.MP4,12467,6.933,KUA_GOAT_Transect 1,0.1079,,5.399,6.599,2919.415,15.2,,,538.578,542.271,-2817.599,KUA_GOAT,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,,
GX010052_L.MP4,12467,6.933,KUA_GOAT_Transect 1,0.1079,,5.882,5.585,3091.832,19.729,,,849.601,604.572,-2910.686,KUA_GOAT,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,,
GX010052_L.MP4,12467,6.933,KUA_GOAT_Transect 1,0.1079,,6.785,9.852,3326.365,18.14,,,868.64,562.052,-3161.371,KUA_GOAT,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,,
GX010052_L.MP4,12467,6.933,KUA_GOAT_Transect 1,0.1079,,8.912,2.644,3948.155,28.676,,,1349.319,1327.835,-3464.696,KUA_GOAT,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,,
GX010052_L.MP4,12467,6.933,KUA_GOAT_Transect 1,0.1079,,6.826,3.971,3387.474,26.459,,,966.682,1157.322,-3033.334,KUA_GOAT,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,,
