Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010049_L.MP4,12888,7.1672,KUA_noMPA_Transect 1,0.1535,,6.056,2.004,3132.413,21.518,,,391.01,-1082.099,-2913.449,KUA_noMPA,Peter,Pomacentridae,Pomacentrus,sp,,1,AD,Passing,
GX010049_L.MP4,13011,7.2356,KUA_noMPA_Transect 1,0.2219,,5.22,3.228,2954.988,24.64,,,978.055,-750.692,-2685.484,KUA_noMPA,Peter,Microdesmidae,Ptereleotris,evides,37435015,1,AD,Passing,
GX010049_L.MP4,13011,7.2356,KUA_noMPA_Transect 1,0.2219,,8.797,5.273,3983.997,29.712,,,1567.524,-1202.916,-3459.493,KUA_noMPA,Peter,Microdesmidae,Ptereleotris,evides,37435015,1,AD,Passing,
GX010049_L.MP4,13099,7.2845,KUA_noMPA_Transect 1,0.2708,88.121,7.53,10.639,2530.078,27.603,56.114,5.416,1076.212,-464.799,-2242.103,KUA_noMPA,Peter,Labridae,Labropsis,australis,37384132,1,AD,Passing,
GX010049_L.MP4,13718,7.6287,KUA_noMPA_Transect 1,0.6151,122.09,8.389,9.415,2392.574,24.106,79.167,5.06,810.525,-545.858,-2183.917,KUA_noMPA,Peter,Labridae,Stethojulis,sp,,1,AD,Passing,
GX010049_L.MP4,13731,7.636,KUA_noMPA_Transect 1,0.6223,,7.623,3.987,3616.896,19.946,,,-1015.07,-703.385,-3399.533,KUA_noMPA,Peter,Nemipteridae,Scolopsis,bilineata,37347031,1,AD,Passing,
GX010049_L.MP4,13826,7.6888,KUA_noMPA_Transect 1,0.6751,54.054,3.69,18.744,2358.88,27.607,10.21,16.219,-912.931,-601.204,-2090.317,KUA_noMPA,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
GX010049_L.MP4,13826,7.6888,KUA_noMPA_Transect 1,0.6751,61.571,3.535,17.417,2269.98,27.22,16.481,18.093,-787.033,-677.229,-2018.601,KUA_noMPA,Peter,Pomacentridae,Stegastes,lacrymatus,temp_code_006,1,AD,Passing,
GX010049_L.MP4,13835,7.6938,KUA_noMPA_Transect 1,0.6801,62.043,5.217,11.771,2822.824,25.631,8.797,2.668,-1077.059,-575.275,-2545.061,KUA_noMPA,Peter,Labridae,Stethojulis,sp,,1,AD,Passing,
GX010049_L.MP4,13844,7.6988,KUA_noMPA_Transect 1,0.6851,,5.593,4.369,3279.332,29.007,,,1567.815,264.213,-2868.129,KUA_noMPA,Peter,Pomacentridae,Chromis,viridis,37372053,1,AD,Passing,
GX010049_L.MP4,13860,7.7077,KUA_noMPA_Transect 1,0.694,,8.797,6.227,4197.837,27.077,,,-1866.35,-411.798,-3737.512,KUA_noMPA,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
GX010049_L.MP4,13890,7.7244,KUA_noMPA_Transect 1,0.7107,65.417,1.998,2.789,1759.358,18.771,15.882,21.821,-193.86,-531.911,-1665.782,KUA_noMPA,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
GX010049_L.MP4,13907,7.7338,KUA_noMPA_Transect 1,0.7202,66.867,4.633,10.922,1768.743,22.869,86.365,3.64,-647.372,-231.08,-1629.712,KUA_noMPA,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
GX010049_L.MP4,13907,7.7338,KUA_noMPA_Transect 1,0.7202,91.039,8.675,1.847,3000.662,9.232,30.539,20.921,70.53,-476.186,-2961.798,KUA_noMPA,Peter,Pomacanthidae,Centropyge,bicolor,37365022,1,AD,Passing,
GX010049_L.MP4,13923,7.7427,KUA_noMPA_Transect 1,0.7291,48.66,1.219,1.329,1480.252,16.494,9.165,4.743,46.853,-417.645,-1419.339,KUA_noMPA,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
GX010049_L.MP4,13932,7.7477,KUA_noMPA_Transect 1,0.7341,,4.648,10.962,2963.659,26.242,,,-1279.748,-283.316,-2658.054,KUA_noMPA,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
GX010049_L.MP4,13932,7.7477,KUA_noMPA_Transect 1,0.7341,88.394,3.504,2.677,3515.857,6.498,3.153,20.483,198.63,-344.774,-3493.269,KUA_noMPA,Peter,Pomacanthidae,Centropyge,bicolor,37365022,1,AD,Passing,
GX010049_L.MP4,13932,7.7477,KUA_noMPA_Transect 1,0.7341,78.646,7.055,1.488,2288.571,18.82,71.242,28.861,-721.791,-155.134,-2166.22,KUA_noMPA,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,
GX010049_L.MP4,13932,7.7477,KUA_noMPA_Transect 1,0.7341,,4.672,10.921,3019.148,27.978,,,-1395.244,-245.397,-2666.145,KUA_noMPA,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
GX010049_L.MP4,13947,7.7561,KUA_noMPA_Transect 1,0.7424,,4.281,0.985,2675.84,16.425,,,-756.611,4.081,-2566.641,KUA_noMPA,Peter,Pomacentridae,Pomacentrus,maafu,temp_code_005,1,AD,Passing,
GX010049_L.MP4,13958,7.7622,KUA_noMPA_Transect 1,0.7485,108.714,3.903,2.298,2898.55,11.948,8.827,31.719,-457.459,-388.313,-2835.76,KUA_noMPA,Peter,Labridae,Hemigymnus,melapterus,37384125,1,AD,Passing,
GX010049_L.MP4,13973,7.7705,KUA_noMPA_Transect 1,0.7569,108.009,3.62,3.07,2568.466,11.255,13.594,3.56,-158.857,-475.458,-2519.071,KUA_noMPA,Peter,Mullidae,Parupeneus,barberinoides,37355021,1,AD,Passing,
GX010049_L.MP4,13973,7.7705,KUA_noMPA_Transect 1,0.7569,146.933,10.802,5.215,2983.643,25.765,61.117,2.894,-1232.887,-402.584,-2687.014,KUA_noMPA,Peter,Nemipteridae,Scolopsis,bilineata,37347031,1,AD,Passing,
GX010049_L.MP4,14034,7.8045,KUA_noMPA_Transect 1,0.7908,134.521,7.312,3.216,2214.49,17.872,60.949,3.629,-445.887,-512.882,-2107.63,KUA_noMPA,Peter,Labridae,Stethojulis,trilineata,37384157,1,AD,Passing,
GX010049_L.MP4,14045,7.8106,KUA_noMPA_Transect 1,0.7969,77.247,5.786,11.101,2085.659,24.318,65.057,2.462,-743.902,-429.246,-1900.613,KUA_noMPA,Peter,Labridae,Thalassoma,sp,,1,AD,Passing,
GX010049_L.MP4,14059,7.8184,KUA_noMPA_Transect 1,0.8047,68.968,5.584,0.85,2224.684,12.361,36.543,16.377,300.807,-369.226,-2173.11,KUA_noMPA,Peter,Pomacentridae,Stegastes,lacrymatus,temp_code_006,1,AD,Passing,
GX010049_L.MP4,14080,7.83,KUA_noMPA_Transect 1,0.8164,148.727,10.228,1.094,4248.895,18.169,11.934,26.308,-1268.713,-381.603,-4037.06,KUA_noMPA,Peter,Balistidae,Sufflamen,chrysopterum,37465079,1,AD,Passing,
