Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
TY_Joe_Cam1_Left_3110_01.MP4,1614,0.4488,Lau_Totoya_Joe_Transect 1,0.0987,97.556,7.487,2.718,2429.414,13.801,34.575,1.286,574.265,-77.984,-2359.277,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,1614,0.4488,Lau_Totoya_Joe_Transect 1,0.0987,82.554,4.519,6.426,2381.65,15.215,16.966,21.83,614.271,115.452,-2298.173,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,1614,0.4488,Lau_Totoya_Joe_Transect 1,0.0987,,4.345,0.359,2471.072,15.858,,,674.475,46.47,-2376.788,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,1692,0.4705,Lau_Totoya_Joe_Transect 1,0.1204,,5.855,0.511,3081.395,35.633,,,1793.981,-50.654,-2504.808,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,curacao,37372017,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,1732,0.4816,Lau_Totoya_Joe_Transect 1,0.1315,114.769,2.913,3.691,1927.218,19.148,27.843,56.615,482.14,-408.851,-1820.591,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,1759,0.4891,Lau_Totoya_Joe_Transect 1,0.139,39.759,3.878,3.117,2109.966,27.849,0.839,3.717,896.433,409.819,-1865.587,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,1759,0.4891,Lau_Totoya_Joe_Transect 1,0.139,,6.463,0.984,3020.667,30.21,,,1368.03,678.626,-2606.221,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,1824,0.5072,Lau_Totoya_Joe_Transect 1,0.1571,,2.05,4.006,1618.488,21.502,,,570.805,-152.103,-1506.835,Lau_Totoya_Joe,Peter,Pomacentridae,Pomacentrus,philippinus,37372123,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,2904,0.8075,Lau_Totoya_Joe_Transect 1,0.4574,,12.65,0.987,4225.3,26.31,,,1657.942,894.599,-3782.074,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,2904,0.8075,Lau_Totoya_Joe_Transect 1,0.4574,,12.78,0.878,4320.185,24.542,,,1763.221,357.733,-3927.732,Lau_Totoya_Joe,Peter,Acanthuridae,Zebrasoma,scopas,37437036,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3118,0.867,Lau_Totoya_Joe_Transect 1,0.5169,,6.025,0.668,3159.967,37.243,,,1874.604,394.113,-2513.15,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3118,0.867,Lau_Totoya_Joe_Transect 1,0.5169,,6.581,1.126,3152.081,32.349,,,1668.992,259.751,-2661.317,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,106.664,7.305,3.154,2534.996,22.231,40.091,31.36,72.699,-956.348,-2346.554,Lau_Totoya_Joe,Peter,Acanthuridae,Ctenochaetus,binotatus,37437021,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,46.89,3.266,4.205,1846.938,21.854,22.436,0.018,481.301,-490.954,-1714.203,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,,2.836,1.659,1924.418,22.346,,,553.288,-467.595,-1782.866,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,,2.927,0.646,1958.877,21.467,,,531.803,-469.283,-1825.968,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,,2.988,7.435,1982.149,20.798,,,519.338,-463.416,-1855.923,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,,3.17,1.55,2051.753,19.248,,,503.547,-439.434,-1939.852,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,,3.257,3.873,2089.749,17.515,,,405.597,-468.175,-1995.834,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,,2.679,1.734,1866.105,20.696,,,429.45,-489.563,-1748.785,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,,3.396,4.013,2132.613,21.253,,,690.022,-336.075,-1989.713,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,,3.018,2.904,1997.657,18.937,,,436.826,-467.171,-1892.503,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3191,0.8873,Lau_Totoya_Joe_Transect 1,0.5372,130.921,9.109,2.652,2722.781,14.386,39.658,24.841,259.784,-624.622,-2637.404,Lau_Totoya_Joe,Peter,Lethrinidae,Monotaxis,grandoculis,37351026,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3259,0.9062,Lau_Totoya_Joe_Transect 1,0.5561,165.922,8.477,6.709,2390.596,23.537,52.556,5.337,38.311,-953.91,-2191.697,Lau_Totoya_Joe,Peter,Scaridae,Scarus,schlegeli,37386029,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3359,0.934,Lau_Totoya_Joe_Transect 1,0.5839,79.358,3.706,2.926,2093.562,33.816,72.747,60.222,1076.851,-444.856,-1739.396,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3359,0.934,Lau_Totoya_Joe_Transect 1,0.5839,82.957,4.374,4.429,2241.537,25.199,19.855,10.501,658.12,-691.131,-2028.228,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3566,0.9915,Lau_Totoya_Joe_Transect 1,0.6415,,12.441,1.17,4227.536,22.968,,,-1549.415,-541.819,-3895.871,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3566,0.9915,Lau_Totoya_Joe_Transect 1,0.6415,,20.522,4.238,5394.582,26.832,,,-2092.706,-1214.712,-4821.469,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3607,1.0029,Lau_Totoya_Joe_Transect 1,0.6529,,2.674,3.63,1890.423,28.107,,,812.104,-355.184,-1669.74,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,aruanus,37372073,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3642,1.0127,Lau_Totoya_Joe_Transect 1,0.6626,,2.184,5.493,1774.144,35.056,,,940.716,-382.619,-1454.731,Lau_Totoya_Joe,Peter,Chaetodontidae,Chaetodon,lunulatus,37365059,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3731,1.0374,Lau_Totoya_Joe_Transect 1,0.6874,93.799,4.459,3.381,1686.79,25.393,66.643,26.839,262.79,-673.899,-1523.832,Lau_Totoya_Joe,Peter,Acanthuridae,Zebrasoma,scopas,37437036,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3806,1.0583,Lau_Totoya_Joe_Transect 1,0.7082,,6.754,1.968,3052.098,23.507,,,1032.847,661.863,-2794.721,Lau_Totoya_Joe,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3806,1.0583,Lau_Totoya_Joe_Transect 1,0.7082,,6.27,5.368,3026.735,13.874,,,189.109,719.078,-2933.989,Lau_Totoya_Joe,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3923,1.0908,Lau_Totoya_Joe_Transect 1,0.7407,68.743,4.238,2.589,2431.949,8.769,16.679,2.917,-222.857,296.318,-2403.52,Lau_Totoya_Joe,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,3923,1.0908,Lau_Totoya_Joe_Transect 1,0.7407,198.554,8.662,2.253,2173.001,3.331,58.041,7.355,21.979,124.325,-2169.33,Lau_Totoya_Joe,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,
TY_Joe_Cam1_Left_3110_01.MP4,4009,1.1147,Lau_Totoya_Joe_Transect 1,0.7647,,7.787,2.542,3345.915,16.941,,,-913.715,360.207,-3198.519,Lau_Totoya_Joe,Peter,Pomacentridae,Abudefduf,sexfasciatus,37372011,1,AD,Passing,
