Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,
SAV_SLR_CAM1_left_1909_1.MP4,7600,4.2264,SAV_SLR_Transect 1,0.5316,,22.127,15.667,6158.052,21.738,,,1755.527,-1433.296,-5725.853,SAV_SLR_1909,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,7777,4.3249,SAV_SLR_Transect 1,0.6301,,7.757,4.182,3667.268,22.626,,,-1021.032,-960.198,-3388.859,SAV_SLR_1909,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,7923,4.4061,SAV_SLR_Transect 1,0.7113,,12.682,9.828,4781.522,19.652,,,1603.301,141.221,-4502.492,SAV_SLR_1909,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,7923,4.4061,SAV_SLR_Transect 1,0.7113,184.032,15.103,15.802,4951.902,20.827,10.762,22.247,1760.534,19.152,-4628.336,SAV_SLR_1909,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,7944,4.4177,SAV_SLR_Transect 1,0.7229,152.078,6.709,4.554,3269.958,16.534,19.459,30.12,-14.956,-930.449,-3134.752,SAV_SLR_1909,Peter,Pomacanthidae,Pygoplites,diacanthus,37365082,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,7984,4.44,SAV_SLR_Transect 1,0.7452,104.899,3.37,8.597,2998.842,18.943,4.353,22.723,209.579,-950.688,-2836.428,SAV_SLR_1909,Peter,Pomacanthidae,Pygoplites,diacanthus,37365082,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8057,4.4806,SAV_SLR_Transect 1,0.7858,,8.463,1.223,4109.425,26.296,,,1820.15,50.31,-3684.006,SAV_SLR_1909,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8057,4.4806,SAV_SLR_Transect 1,0.7858,119.568,9.174,10.738,4240.524,17.953,2.903,18.487,1158.757,604.833,-4034.043,SAV_SLR_1909,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8162,4.539,SAV_SLR_Transect 1,0.8442,97.535,9.375,10.384,3976.604,20.226,8.615,15.419,1236.182,601.639,-3731.389,SAV_SLR_1909,Peter,Pomacentridae,Chromis,xanthura,37372057,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8162,4.539,SAV_SLR_Transect 1,0.8442,,14.436,3.951,4872.726,17.871,,,1059.929,1073.147,-4633.397,SAV_SLR_1909,Peter,Pomacentridae,Chromis,xanthura,37372057,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8162,4.539,SAV_SLR_Transect 1,0.8442,220.866,11.724,13.549,4148.911,20.45,27.124,41.949,1416.382,-308.532,-3887.433,SAV_SLR_1909,Peter,Scaridae,Scarus,schlegeli,37386029,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8307,4.6196,SAV_SLR_Transect 1,0.9248,182.167,11.344,3.633,3551.832,29.337,50.528,26.349,1701.167,-366.521,-3096.321,SAV_SLR_1909,Peter,Labridae,Oxycheilinus,sp,,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8331,4.633,SAV_SLR_Transect 1,0.9382,112.38,9.123,7.471,3914.958,14.995,9.888,1.47,1002.088,-147.832,-3781.648,SAV_SLR_1909,Peter,Pomacentridae,Abudefduf,vaigiensis,37372013,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8331,4.633,SAV_SLR_Transect 1,0.9382,111.379,7.88,7.764,4295.011,11.336,1.321,2.977,840.404,80.694,-4211.214,SAV_SLR_1909,Peter,Pomacentridae,Abudefduf,vaigiensis,37372013,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8331,4.633,SAV_SLR_Transect 1,0.9382,111.274,9.157,9.079,4408.444,14.1,8.202,9.044,821.044,692.322,-4275.624,SAV_SLR_1909,Peter,Pomacentridae,Abudefduf,vaigiensis,37372013,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8331,4.633,SAV_SLR_Transect 1,0.9382,,13.701,9.828,5346.551,29.222,,,2492.712,792.64,-4663.016,SAV_SLR_1909,Peter,Pomacentridae,Abudefduf,vaigiensis,37372013,1,AD,Passing,,
SAV_SLR_CAM1_left_1909_1.MP4,8331,4.633,SAV_SLR_Transect 1,0.9382,,11.958,1.974,4661.605,23.982,,,1726.368,797.55,-4256.07,SAV_SLR_1909,Peter,Pomacentridae,Abudefduf,vaigiensis,37372013,1,AD,Passing,,
