Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,182.982,14.635,3.249,3086.861,13.696,58.535,0.454,-703.473,198.182,-2999.093,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,190.735,12.359,3.961,3017.522,19.36,56.097,1.383,-908.726,418.119,-2846.899,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,150.706,9.345,2.021,2692.056,24.434,66.483,6.749,-1107.152,-119.045,-2450.96,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,10.67,0.582,4293.96,3.658,,,256.923,92.544,-4285.267,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,7.978,1.257,3690.355,2.24,,,-95.082,106.319,-3687.598,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,7.591,0.951,3592.144,2.971,,,-177.598,-57.917,-3587.283,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,8.776,1.993,3880.424,4.513,,,-304.916,-17.64,-3868.386,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,6.494,0.965,3289.199,6.377,,,-340.707,-133.809,-3268.768,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,7.538,0.444,3560.074,7.416,,,-420.662,-187.021,-3530.183,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,14.391,7.722,5063.369,1.754,,,145.469,-56.459,-5060.964,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,12.998,1.315,4795.236,1.823,,,99.274,-118.575,-4792.742,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16301,9.0652,YA_COW_Transect 1,0.2675,,3.924,6.397,2726.591,27.125,,,-1229.581,181.625,-2426.817,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16345,9.0896,YA_COW_Transect 1,0.292,65.127,5.317,5.233,2390.05,23.077,35.119,21.628,-782.33,-515.352,-2198.797,YA_COW,Peter,Chaetodontidae,Chaetodon,baronessa,37365034,1,AD,Passing,
GX010042_L.MP4,16358,9.0969,YA_COW_Transect 1,0.2992,190.715,8.941,4.107,2574.791,24.65,73.148,0.402,-1032.775,294.238,-2340.16,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16358,9.0969,YA_COW_Transect 1,0.2992,181.195,6.936,3.61,2294.551,25.237,69.473,0.925,-955.094,211.864,-2075.542,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16358,9.0969,YA_COW_Transect 1,0.2992,182.231,6.553,2.024,2186.739,21.271,60.853,1.491,-787.192,98.33,-2037.765,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16358,9.0969,YA_COW_Transect 1,0.2992,233.905,8.825,3.573,2466.288,21.996,75.297,0.315,-921.397,65.521,-2286.769,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16358,9.0969,YA_COW_Transect 1,0.2992,147.258,8.835,9.983,2508.261,16.517,55.757,9.873,-712.037,-38.998,-2404.757,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16370,9.1035,YA_COW_Transect 1,0.3059,97.061,5.278,8.994,1951.274,17.118,64.778,28.322,-426.758,-384.36,-1864.837,YA_COW,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
GX010042_L.MP4,16391,9.1152,YA_COW_Transect 1,0.3175,95.03,4.817,11.165,1801.976,23.26,87.77,6.418,-577.781,-415.412,-1655.512,YA_COW,Peter,Pomacentridae,Dascyllus,trimaculatus,37372075,1,AD,Passing,
GX010042_L.MP4,16482,9.1658,YA_COW_Transect 1,0.3681,142.554,5.706,1.902,2087.932,12.622,45.744,15.65,-203.559,-408.31,-2037.476,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16482,9.1658,YA_COW_Transect 1,0.3681,136.889,7.182,4.353,2263.318,11.506,50.424,16.985,-292.392,-343.973,-2217.836,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16482,9.1658,YA_COW_Transect 1,0.3681,140.317,5.933,1.055,2060.858,11.676,49.469,13.788,-343.979,-235.861,-2018.213,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16482,9.1658,YA_COW_Transect 1,0.3681,187.861,8.16,1.407,2393.071,18.436,61.52,11.107,-751.537,-88.912,-2270.259,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16482,9.1658,YA_COW_Transect 1,0.3681,186.207,5.735,1.425,1992.166,20.459,66.583,7.97,-687.678,-109.486,-1866.505,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16482,9.1658,YA_COW_Transect 1,0.3681,261.312,5.586,9.512,1976.463,23.304,75.225,10.77,-728.487,284.043,-1815.222,YA_COW,Peter,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
GX010042_L.MP4,16505,9.1786,YA_COW_Transect 1,0.3809,,6.036,0.81,3119.023,20.475,,,755.508,-788.827,-2921.518,YA_COW,Peter,Pomacentridae,Amblyglyphidodon,orbicularis,temp_code_001,1,AD,Passing,
