Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment
GX010045_L.MP4,11746,6.5321,YA_VUI_Transect 1,0.2019,,8.392,7.61,4053.731,27.606,,,-1764.286,-647.077,-3591.841,YA_VUI,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,
GX010045_L.MP4,11746,6.5321,YA_VUI_Transect 1,0.2019,,9.053,11.866,4246.461,28.344,,,-1905.991,-659.215,-3736.986,YA_VUI,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,
GX010045_L.MP4,11811,6.5682,YA_VUI_Transect 1,0.238,159.125,5.654,5.259,3159.455,22.066,10.78,27.244,-917.637,-752.801,-2928.035,YA_VUI,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,
GX010045_L.MP4,11821,6.5738,YA_VUI_Transect 1,0.2436,86.377,7.517,4.392,2911.796,17.267,30.068,20.241,-406.548,-762.721,-2780.563,YA_VUI,Peter,Pomacentridae,Pomacentrus,brachialis,37372109,1,AD,Passing,
GX010045_L.MP4,11909,6.6227,YA_VUI_Transect 1,0.2925,,7.168,1.802,3519.986,20.879,,,1209.276,-335.852,-3288.64,YA_VUI,Peter,Pomacentridae,Pomacentrus,philippinus,37372123,1,AD,Passing,
GX010045_L.MP4,11947,6.6439,YA_VUI_Transect 1,0.3136,114.021,8.822,4.382,2707.716,29.227,81.852,17.575,1283.023,-319.087,-2362.998,YA_VUI,Peter,Labridae,Thalassoma,sp,,1,AD,Passing,
GX010045_L.MP4,12113,6.7362,YA_VUI_Transect 1,0.406,,6.151,12.953,3246.183,27.731,,,1074.414,-1063.39,-2872.724,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12113,6.7362,YA_VUI_Transect 1,0.406,,5.47,4.279,3055.633,26.834,,,1064.411,-878.836,-2726.091,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12113,6.7362,YA_VUI_Transect 1,0.406,,7.374,7.552,3519.416,25.548,,,1013.188,-1131.967,-3174.649,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12113,6.7362,YA_VUI_Transect 1,0.406,,8.756,1.23,3854.549,25.452,,,1173.806,-1170.915,-3479.754,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12113,6.7362,YA_VUI_Transect 1,0.406,,4.301,0.364,2755.032,29.769,,,1130.057,-772.175,-2391.007,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12155,6.7595,YA_VUI_Transect 1,0.4293,71.86,6.856,16.457,2597.64,30.512,77.844,39.512,1034.206,-818.423,-2237.932,YA_VUI,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010045_L.MP4,12155,6.7595,YA_VUI_Transect 1,0.4293,,6.923,6.656,3466.469,27.732,,,1220.35,-1056.644,-3067.68,YA_VUI,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010045_L.MP4,12233,6.8029,YA_VUI_Transect 1,0.4727,,6.695,1.887,3320.596,20.415,,,-385.868,-1093.949,-3111.389,YA_VUI,Peter,Pomacentridae,Pomacentrus,brachialis,37372109,1,AD,Passing,
GX010045_L.MP4,12233,6.8029,YA_VUI_Transect 1,0.4727,,7.849,2.86,3604.187,19.595,,,-302.204,-1172.34,-3394.769,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12233,6.8029,YA_VUI_Transect 1,0.4727,,8.1,4.574,3650.45,17.872,,,-527.245,-990.533,-3473.708,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12233,6.8029,YA_VUI_Transect 1,0.4727,,11.406,1.019,4360.479,18.169,,,-661.625,-1190.252,-4142.382,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12233,6.8029,YA_VUI_Transect 1,0.4727,,7.736,1.346,3589.373,20.482,,,-713.672,-1035.49,-3361.85,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12233,6.8029,YA_VUI_Transect 1,0.4727,,7.795,2.31,3597.864,20.83,,,-548.466,-1157.825,-3362.031,YA_VUI,Peter,Pomacentridae,Dascyllus,reticulatus,37372074,1,AD,Passing,
GX010045_L.MP4,12354,6.8702,YA_VUI_Transect 1,0.54,65.098,4.933,17.995,1867.641,25.834,88.992,7.838,-544.693,-604.706,-1680.988,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12354,6.8702,YA_VUI_Transect 1,0.54,,3.825,0.18,2492.768,21.813,,,-584.145,-720.213,-2313.862,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12354,6.8702,YA_VUI_Transect 1,0.54,,3.167,5.717,2239.122,20.872,,,-433.349,-671.002,-2091.801,YA_VUI,Peter,Pomacentridae,Pomacentrus,moluccensis,37372118,1,AD,Passing,
GX010045_L.MP4,12384,6.8869,YA_VUI_Transect 1,0.5567,101.604,5.552,11.077,2821.5,29.711,4.767,0.516,1255.437,-615.968,-2450.576,YA_VUI,Peter,Balistidae,Balistapus,undulatus,37465047,1,AD,Passing,
GX010045_L.MP4,12484,6.9425,YA_VUI_Transect 1,0.6123,221.851,15.7,4.129,3497.303,21.784,64.339,27.003,-832.677,-995.564,-3247.558,YA_VUI,Peter,Scaridae,Scarus,schlegeli,37386029,1,AD,Passing,
GX010045_L.MP4,12602,7.0081,YA_VUI_Transect 1,0.6779,,2.981,4.656,2175.812,22.236,,,-388.237,-727.265,-2013.582,YA_VUI,Peter,Pomacentridae,Pomacentrus,callainus,temp_code_004,1,AD,Passing,
