Location,Permission,Facilitated by,Dive_Site,Transect,lat,lon,aca_geomorphology,slope_mean_2020_bio_oracle_3,terrain_ruggedness_index_2020_bio_oracle_3,topographic_position_index_2020_bio_oracle_3,DESIG,ADOPT_2024,NO_TAKE,NO_TK_AREA,STATUS_YR,Geomorphology,OBJECTI,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,Region,is_bcu,grv_NC_,pp_cnt_,nm_prt_,rf_vl_r,sdmnt_r,ntrnt_r,score,scoreth,scorpfc,scoretr,scorecn,scorecy
Kadavu,Dravuni,FLMMA/Kokomo,FijiGold,KAD_FIGO_Transect 1,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,FijiGold,KAD_FIGO_Transect 2,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,FijiGold,KAD_FIGO_Transect 3,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,FijiGold,KAD_FIGO_Transect 4,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,FijiGold,KAD_FIGO_Transect 5,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,FijiGold,KAD_FIGO_Transect 6,-18.7133333,178.5438889,Outer Reef Flat,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 1,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 2,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 3,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
Kadavu,Dravuni,FLMMA/Kokomo,Catherine,KAD_CAT_Transect 4,-18.7013889,178.5322222,Sheltered Reef Slope,1.8246502,256.33005,231.32104,Locally Managed Marine Area,2000-2004,Part,19.22,1985,Sheltered Reef Slope,49455,0.634133094,0.457011503,0,0,0.411780933,0.48458718,0.331252118,Fishing,Melanesia,non-refugia,1.749591113,90.88370705,0,0,0.00050645,3.27E-06,-0.0587,-0.63161,0.13694,-0.06705,-0.38448,-0.11242
