"Period","OpCode","total_biomass","biomass_kg_ha","Location","Site","Year of Adoption","Status"
"KAD_BIRD_Transect 1","KAD_BIRD_1",1451.50794718067,58.0603178872267,"Kadavu","Birdland","2005-2009","LMMA"
"KAD_BIRD_Transect 2","KAD_BIRD_1",1424.90038114561,56.9960152458243,"Kadavu","Birdland","2005-2009","LMMA"
"KAD_BIRD_Transect 3","KAD_BIRD_1",3122.2254804393,124.889019217572,"Kadavu","Birdland","2005-2009","LMMA"
"KAD_BIRD_Transect 4","KAD_BIRD_1",3301.63117456427,132.065246982571,"Kadavu","Birdland","2005-2009","LMMA"
"KAD_CAT_Transect 1","KAD_CAT_1",23362.1980210296,934.487920841186,"Kadavu","Catherine","2000-2004","LMMA"
"KAD_CAT_Transect 2","KAD_CAT_1",68698.862246122,2747.95448984488,"Kadavu","Catherine","2000-2004","LMMA"
"KAD_CAT_Transect 3","KAD_CAT_1",6663.88382329548,266.555352931819,"Kadavu","Catherine","2000-2004","LMMA"
"KAD_CAT_Transect 4","KAD_CAT_1",54676.7577423319,2187.07030969328,"Kadavu","Catherine","2000-2004","LMMA"
"KAD_CAT_Transect 5","KAD_CAT_1",28792.5244112777,1151.70097645111,"Kadavu","Catherine","2000-2004","LMMA"
"KAD_COW_Transect 1","KAD_COW_",4477.80273114045,179.112109245618,"Kadavu","NukuvouCOW","2000-2004","LMMA"
"KAD_COW_Transect 2","KAD_COW_",3230.69060120744,129.227624048298,"Kadavu","NukuvouCOW","2000-2004","LMMA"
"KAD_COW_Transect 3","KAD_COW_",6567.89941893005,262.715976757202,"Kadavu","NukuvouCOW","2000-2004","LMMA"
"KAD_COW_Transect 4","KAD_COW_",12516.6248259221,500.664993036882,"Kadavu","NukuvouCOW","2000-2004","LMMA"
"KAD_FIGO_Transect 1","KAD_FIGO",19641.876398288,785.675055931519,"Kadavu","FijiGold","2000-2004","LMMA"
"KAD_FIGO_Transect 2","KAD_FIGO",27669.3164720862,1106.77265888345,"Kadavu","FijiGold","2000-2004","LMMA"
"KAD_FIGO_Transect 3","KAD_FIGO",6105.04945982661,244.201978393064,"Kadavu","FijiGold","2000-2004","LMMA"
"KAD_FIGO_Transect 4","KAD_FIGO",11323.335697901,452.93342791604,"Kadavu","FijiGold","2000-2004","LMMA"
"KAD_FIGO_Transect 5","KAD_FIGO",13442.334763018,537.693390520721,"Kadavu","FijiGold","2000-2004","LMMA"
"KAD_FIGO_Transect 6","KAD_FIGO",9411.32120498623,376.452848199449,"Kadavu","FijiGold","2000-2004","LMMA"
"KAD_LUPE_Transect 1","KAD_LUPE",13344.1807282099,533.767229128394,"Kadavu","Lupes","2000-2004","LMMA"
"KAD_LUPE_Transect 2","KAD_LUPE",7996.17927469929,319.847170987972,"Kadavu","Lupes","2000-2004","LMMA"
"KAD_LUPE_Transect 3","KAD_LUPE",5226.71093592045,209.068437436818,"Kadavu","Lupes","2000-2004","LMMA"
"KAD_LUPE_Transect 4","KAD_LUPE",10703.9332115023,428.157328460092,"Kadavu","Lupes","2000-2004","LMMA"
"KAD_LUPE_Transect 5","KAD_LUPE",6006.23044360612,240.249217744245,"Kadavu","Lupes","2000-2004","LMMA"
"KAD_MaiDive_Transect 2","KAD_MaiDive",5815.58213996711,232.623285598684,"Kadavu","MaiDive","2005-2009","LMMA"
"KAD_MaiDive_Transect 3","KAD_MaiDive",15653.1424822549,626.125699290195,"Kadavu","MaiDive","2005-2009","LMMA"
