"Species","SpecCode","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","SpecimenType","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"Abudefduf sexfasciatus",5688,7570,5981,350,26587,6,14.5,"FL","No",NA,73,"unsexed",0.0249,NA,3.11,0.98208,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,26587,"540",NA,3,1998-05-21,NA,1998-05-21,NA,NA,NA
"Abudefduf sexfasciatus",5688,7571,5981,350,55787,5,15,"FL",NA,NA,98,"mixed",0.02128,NA,3.15197,0.96236,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  10.9%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Abudefduf vaigiensis",6630,8100,6950,350,26177,3,8.4,"TL",NA,"yes",166,"juvenile",0.03,NA,2.8,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Malatapay, Negros Oriental, 1995",26177,"608",NA,3,1998-02-26,3,2012-03-30,NA,NA,NA
"Abudefduf vaigiensis",6630,8101,6950,350,48600,7.8,17.9,"TL",NA,NA,103,"unsexed",0.00989,NA,3.267,0.87049,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Lakshadweep lagoons, 1993-97",48600,"356",NA,3,2003-09-24,NA,2003-09-24,NA,NA,NA
"Abudefduf vaigiensis",6630,38491,6950,NA,108462,3.4,11.5,"SL",NA,NA,97,"unsexed",0.0874,NA,2.779,0.963,NA,NA,NA,NA,0.0701000019907951,0.108999997377396,2.66700005531311,2.89000010490417,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-11-03,NA,2016-11-03,NA,NA,NA
"Acanthurus blochii",4750,6670,4974,412,26587,2.5,37,"FL",NA,NA,89,"unsexed",0.0178,NA,3.144,0.98605,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-18,3,1998-05-21,NA,NA,NA
"Acanthurus blochii",4750,6671,4974,412,55787,2.5,38,"FL",NA,NA,249,"mixed",0.02506,NA,3.03193,0.99202,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  9.8%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Acanthurus blochii",4750,39490,4974,NA,107958,19.3,34,"FL",NA,NA,348,"unsexed",0.0219,NA,3.07,0.96,NA,NA,NA,NA,0.0176999997347593,0.0269000008702278,3,3.13000011444092,"Type I linear regression","fresh","2009-2013",NA,"316",NA,65,2017-04-17,NA,2017-04-17,NA,NA,NA
"Acanthurus lineatus",1258,3137,1275,412,3807,NA,NA,NA,NA,NA,NA,"unsexed",0.0192,NA,3.072,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Woleai Atoll, Yap State, 1991",3807,"583","condition factor = 2.339",3,1992-06-14,NA,1994-01-27,NA,NA,NA
"Acanthurus lineatus",1258,3138,1275,412,27143,7.6,20.6,"SL",NA,"yes",94,"unsexed",0.109,NA,2.691,0.96236,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Eastern coast, coral reefs",27143,"036",NA,3,1998-08-21,NA,2001-12-13,NA,NA,NA
"Acanthurus lineatus",1258,3139,1275,412,27543,NA,NA,"FL",NA,NA,1047,"mixed",0.0251,NA,3.03,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Tutuila Island",27543,"016",NA,3,2001-02-22,NA,2001-02-22,NA,NA,NA
"Acanthurus lineatus",1258,3140,1275,412,48600,8.2,27.4,"TL",NA,NA,54,"unsexed",0.0126,NA,3.064,0.95844,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Lakshadweep lagoons, 1993-97",48600,"356",NA,3,2003-09-05,NA,2003-09-05,NA,NA,NA
"Acanthurus lineatus",1258,39492,1275,NA,107958,14.4,22.7,"FL",NA,NA,2614,"unsexed",0.0475,NA,2.81,0.84,NA,NA,NA,NA,0.0412999987602234,0.0546000003814697,2.75999999046326,2.85999989509583,"Type I linear regression","fresh","2009-2013",NA,"316",NA,65,2017-04-17,NA,2017-04-17,NA,NA,NA
"Acanthurus lineatus",1258,46997,1275,NA,125599,12.2,25.5,"FL",NA,NA,1987,"unsexed",0.0625,NA,2.71,0.88,NA,NA,NA,NA,0.0549999997019768,0.0710000023245811,2.66000008583069,2.75,"type I linear regression",NA,"2010 - 2015",NA,"016",NA,65,2022-02-11,NA,2022-02-11,NA,NA,NA
"Acanthurus mata",1255,3131,1271,412,26587,10,29.5,"FL",NA,NA,48,"unsexed",0.027,NA,2.945,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","lagoon",26587,"540","Update of estimate in Ref. 5525.",3,1993-06-19,3,1998-05-21,NA,NA,NA
"Acanthurus mata",1255,3132,1271,412,55787,10,29.5,"FL",NA,NA,48,"mixed",0.02224,NA,3.00795,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh",NA,55787,"540","Error:  6.9%",1531,2005-12-06,NA,2005-12-06,NA,NA,NA
"Acanthurus mata",1255,36973,1271,NA,108462,10,19,"SL",NA,NA,23,"unsexed",0.0849,NA,2.713,0.971,NA,NA,NA,NA,0.0483000017702579,0.149299994111061,NA,NA,"Type I linear regression","fresh","Davao Gulf / 2009-2012",NA,"608",NA,65,2016-06-02,NA,2016-06-02,NA,NA,NA
