"OpCode","Location","Site","Year of Adoption","Status"
"KAD_BIRD_1","Kadavu","Birdland","2005-2009","LMMA"
"KAD_CAT_1","Kadavu","Catherine","2000-2004","LMMA"
"KAD_COW_","Kadavu","NukuvouCOW","2000-2004","LMMA"
"KAD_FIGO","Kadavu","FijiGold","2000-2004","LMMA"
"KAD_LUPE","Kadavu","Lupes","2000-2004","LMMA"
"KAD_MaiDive","Kadavu","MaiDive","2005-2009","LMMA"
"KAD_OnoBack","Kadavu","Narikoso","2005-2009","LMMA"
"KAD_ROB","Kadavu","RobertsReef","2000-2004","LMMA"
"KAD_SO1","Kadavu","Soso1","2005-2009","LMMA"
"KAD_SO2","Kadavu","Soso2","2005-2009","LMMA"
"KAD_VURRO","Kadavu","Vurro","2005-2009","LMMA"
"Kua_Back","Yasawas","KuataBack","Non-adopter","Qoliqoli"
"KUA_GOAT","Yasawas","KuataGoat","Non-adopter","Qoliqoli"
"KUA_MPA","Yasawas","KuataMPA","Non-adopter","Qoliqoli"
"KUA_noMPA","Yasawas","KuataNonMPA","Non-adopter","Qoliqoli"
"Lau_Totoya_BT","Lau","CoralGarden","2010-2014","Qoliqoli"
"Lau_Totoya_Joe","Lau","ReefCorner","2010-2014","Qoliqoli"
"Lau_VanuaBalavu","Lau","VBBay","Non-adopter","Qoliqoli"
"SAV_GNU_2009","Savusavu","GoldenNuggets","2005-2009","LMMA"
"SAV_SLR_1909","Savusavu","SplitRock","2005-2009","LMMA"
"WAI_ALI","Savusavu","AliceWonderland","2010-2014","Qoliqoli"
"WAI_MYS","Savusavu","MysteryReef","2010-2014","Qoliqoli"
"YA_COW","Yasawas","YaCOW","Non-adopter","Qoliqoli"
"YA_LIW","Yasawas","LittleWonders","Non-adopter","Qoliqoli"
"YA_MAC","Yasawas","MantaChannel","Non-adopter","Qoliqoli"
"YA_VAL","Yasawas","ValiBeach","Non-adopter","Qoliqoli"
"YA_VUI","Yasawas","Vuvui","Non-adopter","Qoliqoli"
