"term","p","analysis","response","model","LM_AIC","LMM_AIC"
"sedimnt",0.0142145700408605,"core_ecological","logBiomass","LM",224.347086371359,226.347086371359
"grav_NC",0.0357073907472949,"core_ecological","logabun","LM",196.026952027493,198.118531787878
"resid15LR",0.0189985614348305,"core_ecological","logabun","LM",196.026952027493,198.118531787878
"transi15LR",0.0178783343714371,"core_ecological","logabun","LM",196.026952027493,198.118531787878
"transi15LR",0.0497428296849771,"core_ecological","fric","LM",-227.383738829862,-225.383738829862
"transi15LR",0.0497428296849771,"functional_diversity","fric","LM",-227.383738829862,-225.383738829862
"NO_TK_AREA",0.0190701423632477,"functional_diversity","fdiv","LMM",-207.795850428004,-214.300550613069
"sedimnt",0.0289732012735004,"functional_diversity","fori","LM",-253.232556121786,NA
"grav_NC",0.0432075956037616,"functional_diversity","fori","LM",-253.232556121786,NA
"transi15LR",0.00109249722988177,"functional_diversity","fdis","LM",-134.79920426047,-132.79920426047
"sedimnt",0.0142145700408605,"biomass_focused","logBiomass","LM",224.347086371359,226.347086371359
"grav_NC",0.0357073907472949,"biomass_focused","logabun","LM",196.026952027493,198.118531787878
"resid15LR",0.0189985614348305,"biomass_focused","logabun","LM",196.026952027493,198.118531787878
"transi15LR",0.0178783343714371,"biomass_focused","logabun","LM",196.026952027493,198.118531787878
"sedimnt",0.0142145700408605,"all_responses","logBiomass","LM",224.347086371359,226.347086371359
"grav_NC",0.0357073907472949,"all_responses","logabun","LM",196.026952027493,198.118531787878
"resid15LR",0.0189985614348305,"all_responses","logabun","LM",196.026952027493,198.118531787878
"transi15LR",0.0178783343714371,"all_responses","logabun","LM",196.026952027493,198.118531787878
"transi15LR",0.0497428296849771,"all_responses","fric","LM",-227.383738829862,-225.383738829862
"NO_TK_AREA",0.0190701423632477,"all_responses","fdiv","LMM",-207.795850428004,-214.300550613069
"sedimnt",0.0289732012735004,"all_responses","fori","LM",-253.232556121786,NA
"grav_NC",0.0432075956037616,"all_responses","fori","LM",-253.232556121786,NA
"transi15LR",0.00109249722988177,"all_responses","fdis","LM",-134.79920426047,-132.79920426047
