"Response","Term","Df","GVIF","GVIF_adj","Check","Flag"
"biomass_kg_ha","Geomorphology",5,8.59364504464189,1.23998873906996,1.23998873906996,FALSE
"biomass_kg_ha","sedimnt",1,1.45797802961644,1.20746761017281,1.45797802961644,FALSE
"biomass_kg_ha","NO_TK_AREA",1,2.46739882240052,1.57079560172561,2.46739882240052,FALSE
"biomass_kg_ha","crypto5BROF",1,2.9745659343504,1.72469299713033,2.9745659343504,FALSE
"biomass_kg_ha","crypto5BRIF",1,1.88176079689405,1.37177286636456,1.88176079689405,FALSE
"biomass_kg_ha","crypto5BRin",1,2.88133414582218,1.69744930581805,2.88133414582218,FALSE
"abundance_ind_250m2","Geomorphology",5,8.59364504464189,1.23998873906996,1.23998873906996,FALSE
"abundance_ind_250m2","sedimnt",1,1.45797802961644,1.20746761017281,1.45797802961644,FALSE
"abundance_ind_250m2","NO_TK_AREA",1,2.46739882240052,1.57079560172561,2.46739882240052,FALSE
"abundance_ind_250m2","crypto5BROF",1,2.9745659343504,1.72469299713033,2.9745659343504,FALSE
"abundance_ind_250m2","crypto5BRIF",1,1.88176079689405,1.37177286636456,1.88176079689405,FALSE
"abundance_ind_250m2","crypto5BRin",1,2.88133414582218,1.69744930581805,2.88133414582218,FALSE
"FRic","Geomorphology",5,8.5936450446419,1.23998873906996,1.23998873906996,FALSE
"FRic","sedimnt",1,1.45797802961644,1.20746761017281,1.45797802961644,FALSE
"FRic","NO_TK_AREA",1,2.46739882240052,1.57079560172561,2.46739882240052,FALSE
"FRic","crypto5BROF",1,2.9745659343504,1.72469299713033,2.9745659343504,FALSE
"FRic","crypto5BRIF",1,1.88176079689405,1.37177286636456,1.88176079689405,FALSE
"FRic","crypto5BRin",1,2.88133414582219,1.69744930581805,2.88133414582219,FALSE
"FEve","Geomorphology",5,8.59364504464189,1.23998873906996,1.23998873906996,FALSE
"FEve","sedimnt",1,1.45797802961644,1.20746761017281,1.45797802961644,FALSE
"FEve","NO_TK_AREA",1,2.46739882240052,1.57079560172561,2.46739882240052,FALSE
"FEve","crypto5BROF",1,2.9745659343504,1.72469299713033,2.9745659343504,FALSE
"FEve","crypto5BRIF",1,1.88176079689405,1.37177286636456,1.88176079689405,FALSE
"FEve","crypto5BRin",1,2.88133414582218,1.69744930581805,2.88133414582218,FALSE
"FDiv","Geomorphology",5,8.59364504464189,1.23998873906996,1.23998873906996,FALSE
"FDiv","sedimnt",1,1.45797802961644,1.20746761017281,1.45797802961644,FALSE
"FDiv","NO_TK_AREA",1,2.46739882240052,1.57079560172561,2.46739882240052,FALSE
"FDiv","crypto5BROF",1,2.9745659343504,1.72469299713033,2.9745659343504,FALSE
"FDiv","crypto5BRIF",1,1.88176079689405,1.37177286636456,1.88176079689405,FALSE
"FDiv","crypto5BRin",1,2.88133414582218,1.69744930581805,2.88133414582218,FALSE
"FDis","Geomorphology",5,8.59364504464189,1.23998873906996,1.23998873906996,FALSE
"FDis","sedimnt",1,1.45797802961644,1.20746761017281,1.45797802961644,FALSE
"FDis","NO_TK_AREA",1,2.46739882240052,1.57079560172561,2.46739882240052,FALSE
"FDis","crypto5BROF",1,2.9745659343504,1.72469299713033,2.9745659343504,FALSE
"FDis","crypto5BRIF",1,1.88176079689405,1.37177286636456,1.88176079689405,FALSE
"FDis","crypto5BRin",1,2.88133414582219,1.69744930581805,2.88133414582219,FALSE
"RaoQ","Geomorphology",5,8.59364504464189,1.23998873906996,1.23998873906996,FALSE
"RaoQ","sedimnt",1,1.45797802961644,1.20746761017281,1.45797802961644,FALSE
"RaoQ","NO_TK_AREA",1,2.46739882240051,1.57079560172561,2.46739882240051,FALSE
"RaoQ","crypto5BROF",1,2.9745659343504,1.72469299713033,2.9745659343504,FALSE
"RaoQ","crypto5BRIF",1,1.88176079689405,1.37177286636456,1.88176079689405,FALSE
"RaoQ","crypto5BRin",1,2.88133414582218,1.69744930581805,2.88133414582218,FALSE
