"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.163905582947642,0.00422871227902076,38.76016435566,1.75867999419303e-67
"Geomorphology1",0.0223925319217484,0.0107820784154593,2.07682888761429,0.040064437227053
"Geomorphology2",-0.0347983301778132,0.0146628934424104,-2.37322396936772,0.0193067063494786
"Geomorphology3",0.013459216841905,0.0130930307955561,1.02796801230111,0.306141053053718
"Geomorphology4",-0.0139911237168478,0.0104873454394322,-1.33409582030563,0.184831426650006
"Geomorphology5",0.00608104572579069,0.00917735676018148,0.662614071207845,0.508915200968978
"sedimnt",-0.000154990717518105,0.00479555449237911,-0.0323196655912074,0.974273644505999
"NO_TK_AREA",0.00793954432688292,0.00564770357154898,1.4058004685089,0.162503045810616
"crypto5BROF",0.000328469571708332,0.00616493541383728,0.0532802940597039,0.957601836350343
"crypto5BRIF",0.00892260963752422,0.00518300611675132,1.72151246526347,0.0878703673954919
"crypto5BRin",0.0123625381172628,0.00594641601898178,2.07898977767447,0.0398615338759915
