"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.915329539195446,0.00444497374845591,205.92462205506,1.93856532788343e-148
"Geomorphology1",-0.026795634082187,0.0106742972142228,-2.51029492100741,0.0134658466914724
"Geomorphology2",-0.00594600160460297,0.0153991034868246,-0.386126478706396,0.70012268553281
"Geomorphology3",0.000592989544985614,0.0118318724850833,0.0501179796970607,0.960116078231584
"Geomorphology4",0.0273960743716715,0.0091602891493986,2.99074340611509,0.00341083548395816
"Geomorphology5",-0.00167325544467432,0.0094336403299259,-0.177371129930228,0.859531648068745
"sedimnt",-0.00290228929614466,0.00418322883825715,-0.693791663894209,0.489224162659185
"NO_TK_AREA",0.0162441788475111,0.00638342390433486,2.54474386958384,0.0122727051606642
"crypto5BROF",0.00414340283262575,0.00586130524726205,0.706907874242044,0.481066191364108
"crypto5BRIF",-0.00888837805354949,0.0055658115653589,-1.59695993103143,0.113042980667014
"crypto5BRin",0.0010975448495342,0.00567194055940754,0.193504293290557,0.846908398042893
