"nobs","sigma","logLik","AIC","BIC","REMLcrit","df.residual"
94,0.73318798456383,-106.877966378756,221.755932757513,231.929111886593,213.755932757513,90
94,0.733428479316798,-107.805605323646,223.611210647292,233.784389776372,215.611210647292,90
94,0.761229906321559,-111.064109926557,230.128219853114,240.301398982194,222.128219853114,90
94,0.761489107742687,-112.034767399034,232.069534798068,242.242713927148,224.069534798068,90
94,0.764141168905135,-112.453908055574,232.907816111148,243.080995240228,224.907816111148,90
94,0.752974870970539,-111.302945968977,230.605891937954,240.779071067034,222.605891937954,90
94,0.761040934497195,-111.656189990376,231.312379980752,241.485559109832,223.312379980752,90
94,0.761937752363384,-111.748403012643,231.496806025286,241.669985154366,223.496806025286,90
94,0.76166277479592,-111.700724410215,231.40144882043,241.57462794951,223.40144882043,90
94,0.664123638720845,-98.3623890006516,204.724778001303,214.897957130383,196.724778001303,90
94,0.65559507784004,-97.6900290809725,203.380058161945,213.553237291025,195.380058161945,90
94,0.670255119045255,-99.5138349222716,207.027669844543,217.200848973623,199.027669844543,90
94,0.665597375242399,-99.0281959350249,206.05639187005,216.22957099913,198.05639187005,90
94,0.657655708285395,-98.1862226162709,204.372445232542,214.545624361622,196.372445232542,90
94,0.669621083373851,-99.4259509762678,206.851901952536,217.025081081616,198.851901952536,90
94,0.66870027366793,-99.4100911672069,206.820182334414,216.993361463494,198.820182334414,90
94,0.668310320607813,-99.3472258395439,206.694451679088,216.867630808168,198.694451679088,90
94,0.6684322990341,-99.3648985621837,206.729797124367,216.902976253447,198.729797124367,90
94,0.0706214797822216,107.93487173258,-207.86974346516,-197.69656433608,-215.86974346516,90
94,0.07000656785196,108.298432844214,-208.596865688429,-198.423686559349,-216.596865688429,90
94,0.0693794158990036,108.938160620415,-209.876321240829,-199.703142111749,-217.876321240829,90
94,0.0704527668058279,107.892970503391,-207.785941006782,-197.612761877702,-215.785941006782,90
94,0.0701948271083276,108.202113758962,-208.404227517925,-198.231048388845,-216.404227517925,90
94,0.0704345076520934,107.95845180842,-207.916903616841,-197.743724487761,-215.916903616841,90
94,0.0704068293117216,107.795653056796,-207.591306113592,-197.418126984512,-215.591306113592,90
94,0.0704141842833389,107.796650475642,-207.593300951285,-197.420121822205,-215.593300951285,90
94,0.0704114583177035,107.796473704718,-207.592947409437,-197.419768280357,-215.592947409437,90
94,0.0699232846005777,104.783591935578,-201.567183871157,-191.394004742077,-209.567183871157,90
94,0.0724160861907446,102.62071922692,-197.241438453839,-187.068259324759,-205.241438453839,90
94,0.0723495140842857,102.946137913978,-197.892275827957,-187.719096698877,-205.892275827957,90
94,0.0703173573558177,106.46871726491,-204.93743452982,-194.76425540074,-212.93743452982,90
94,0.0705800838061118,106.314876864914,-204.629753729828,-194.456574600748,-212.629753729828,90
94,0.072830788374753,104.077505929269,-200.155011858538,-189.981832729458,-208.155011858538,90
94,0.0722801749466873,103.293293163097,-198.586586326194,-188.413407197114,-206.586586326194,90
94,0.0721968611696706,103.326258017027,-198.652516034055,-188.479336904975,-206.652516034055,90
94,0.0722113818491132,103.309829356795,-198.61965871359,-188.44647958451,-206.61965871359,90
94,0.0978926711092955,76.7751969789257,-145.550393957851,-135.377214828771,-153.550393957851,90
94,0.0981743757006159,76.5207807368644,-145.041561473729,-134.868382344649,-153.041561473729,90
94,0.0974144660984511,77.1767742943956,-146.353548588791,-136.180369459711,-154.353548588791,90
94,0.0974863407991379,77.0914438364345,-146.182887672869,-136.009708543789,-154.182887672869,90
94,0.0962229820404351,77.9326677724245,-147.865335544849,-137.692156415769,-155.865335544849,90
94,0.0979720593646773,76.8476642840065,-145.695328568013,-135.522149438933,-153.695328568013,90
94,0.097995726194229,77.3401232998875,-146.680246599775,-136.507067470695,-154.680246599775,90
94,0.0979338854964784,77.3343106862237,-146.668621372447,-136.495442243367,-154.668621372447,90
94,0.0979443347481086,77.3526959661615,-146.705391932323,-136.532212803243,-154.705391932323,90
94,0.0596525574449946,121.613390282095,-235.226780564189,-225.053601435109,-243.226780564189,90
94,0.0597698051057026,121.222054461704,-234.444108923408,-224.270929794328,-242.444108923408,90
94,0.058193770760188,123.01030350895,-238.0206070179,-227.84742788882,-246.0206070179,90
94,0.0596023771007603,121.631760739791,-235.263521479582,-225.090342350502,-243.263521479582,90
94,0.0596767747925585,121.53628258646,-235.07256517292,-224.89938604384,-243.07256517292,90
94,0.0594590955286257,121.878161628065,-235.75632325613,-225.58314412705,-243.75632325613,90
94,0.0596946483969117,122.243757134988,-236.487514269976,-226.314335140896,-244.487514269976,90
94,0.0596546734637485,122.382997806949,-236.765995613898,-226.592816484818,-244.765995613898,90
94,0.0596588145247092,122.369196973262,-236.738393946524,-226.565214817444,-244.738393946524,90
94,0.0906618080678784,84.2842658950054,-160.568531790011,-150.395352660931,-168.568531790011,90
94,0.0896756972487594,86.5382742465192,-165.076548493038,-154.903369363958,-173.076548493038,90
94,0.0906373264361397,84.5137313366212,-161.027462673242,-150.854283544162,-169.027462673242,90
94,0.0913158200607294,83.555759697165,-159.11151939433,-148.93834026525,-167.11151939433,90
94,0.0908508218461293,83.7886594731407,-159.577318946281,-149.404139817201,-167.577318946281,90
94,0.0911447200459437,83.5951196724458,-159.190239344892,-149.017060215812,-167.190239344892,90
94,0.0915763698903887,83.5755159193886,-159.151031838777,-148.977852709697,-167.151031838777,90
