"analysis","response","predictor","pred_type","n","r2","p_value","p_adj"
"all_responses","logBiomass","nutrint","numeric",94,0.192268829931273,9.85244593167129e-06,8.86720133850416e-05
"all_responses","logBiomass","crypto5LR","numeric",94,0.168233285136293,4.03200395077439e-05,0.000181440177784847
"all_responses","logBiomass","pare5BRin","numeric",94,0.10703145990058,0.0012885559555537,0.00386566786666109
"all_responses","logBiomass","Rnetflow","numeric",94,0.0577240579105623,0.0196744222196084,0.0252847369746554
"all_responses","logBiomass","Cnetflow","numeric",94,0.0504549449422689,0.0295145400529238,0.0295145400529238
"all_responses","logBiomass","transi15BRIF","numeric",94,0.055332582849665,0.0224753217552493,0.0252847369746554
"all_responses","logBiomass","sst_sd_6_year_mean","numeric",94,0.0779088491316886,0.00644290272869946,0.00966435409304919
"all_responses","logBiomass","sst_q90_6_year_mean","numeric",94,0.0788880043934028,0.00610419941666925,0.00966435409304919
"all_responses","logBiomass","sst_mean_6_year_mean","numeric",94,0.0798888167279303,0.00577641121818587,0.00966435409304919
"all_responses","logabun","nutrint","numeric",94,0.0343861759155047,0.0735571768247307,0.331007295711288
"all_responses","logabun","crypto5LR","numeric",94,0.0396157650087499,0.0544542035958312,0.331007295711288
"all_responses","logabun","pare5BRin","numeric",94,0.00415368345350305,0.537143356659951,0.647136178686262
"all_responses","logabun","Rnetflow","numeric",94,0.0121979671652297,0.289273378370893,0.647136178686262
"all_responses","logabun","Cnetflow","numeric",94,0.0270279193062687,0.113330092987803,0.339990278963409
"all_responses","logabun","transi15BRIF","numeric",94,0.00589862557068154,0.461881274702807,0.647136178686262
"all_responses","logabun","sst_sd_6_year_mean","numeric",94,0.00211689829156309,0.659686542842647,0.659686542842647
"all_responses","logabun","sst_q90_6_year_mean","numeric",94,0.0038747182685981,0.551166653675652,0.647136178686262
"all_responses","logabun","sst_mean_6_year_mean","numeric",94,0.00342582365519049,0.575232158832233,0.647136178686262
"all_responses","fric","nutrint","numeric",94,0.0124245694207971,0.284810129901168,0.638658047732586
"all_responses","fric","crypto5LR","numeric",94,0.0137123173887363,0.261011220808234,0.638658047732586
"all_responses","fric","pare5BRin","numeric",94,0.0229936860909097,0.144578184737164,0.638658047732586
"all_responses","fric","Rnetflow","numeric",94,0.00690845242486858,0.425772031821724,0.638658047732586
"all_responses","fric","Cnetflow","numeric",94,0.0132657702077843,0.26897503508802,0.638658047732586
"all_responses","fric","transi15BRIF","numeric",94,0.00890024860231746,0.365755606491871,0.638658047732586
