"Term","Df","GVIF","GVIF_adj","Check"
"Geomorphology",5,389.633208681653,1.81578990172328,1.81578990172328
"nutrint",1,2.96588960343524,1.72217583406435,2.96588960343524
"DESIG",1,22.2655320284245,4.71863667052513,22.2655320284245
"NO_TK_AREA",1,8.65089886987538,2.94124104246411,8.65089886987538
"transi15LR",1,7.22000629946143,2.68700694071702,7.22000629946143
"transi15BRbtw",1,7.0409294261425,2.65347497183269,7.0409294261425
"resid15LR",1,7.02073881118386,2.6496676793862,7.02073881118386
"resid15BRIF",1,11.1761138637259,3.34306952720488,11.1761138637259
"resid15BRbtw",1,7.47894768054722,2.73476647641937,7.47894768054722
"pare15BRbtw",1,5.17564020179164,2.27500334105065,5.17564020179164
"sst_sd_6_year_mean",1,17.5490191453044,4.18915494405547,17.5490191453044
