"term","estimate","robust.se","t.value","p.value"
"(Intercept)",221.810501560671,14.0363902175237,15.8025317138699,1.7074411805191e-30
"Geomorphology1",-100.832135001861,36.9167478866198,-2.73133850553524,0.00731148946783928
"Geomorphology2",242.458180686654,45.9600676965194,5.27540956396405,6.37934325970758e-07
"Geomorphology3",-184.741649391829,32.1223685124249,-5.7511839240737,7.55347685947209e-08
"Geomorphology4",143.934696586784,46.7139153110219,3.08119530611949,0.00258494775513372
"Geomorphology5",-31.5987565529718,31.5582119198127,-1.00128475698376,0.318809764085269
"sedimnt",-16.093333596426,11.547195400918,-1.39370063791823,0.166119033936613
"NO_TK_AREA",-32.7805780371042,16.04933675727,-2.04248801884322,0.0434100595573943
"crypto5BROF",-5.59805781404532,23.6633926813124,-0.236570380648175,0.813414652964326
"crypto5BRIF",-39.9473190157653,18.22576879788,-2.19180433257839,0.0304267151760525
"crypto5BRin",-67.1514578715574,23.4186004707381,-2.86744111611042,0.0049306749665859
