"Comparison","F_value","R2","p_value","n","p_adj"
"Kadavu 1 vs Kadavu 2",1.37318621428032,0.0309463063492699,0.287,45,0.4172
"Kadavu 1 vs Kadavu 3",2.46624031346694,0.0624898722016191,0.075,39,0.2625
"Kadavu 1 vs Namara",3.67743351564883,0.0725655042202022,0.053,49,0.256
"Kadavu 1 vs Totoya",1.31646442470317,0.0334837947400991,0.236,40,0.4172
"Kadavu 1 vs Savusavu",1.58728726016677,0.0391079908837507,0.216,41,0.4172
"Kadavu 1 vs Wailevu",0.53298972469387,0.0134821506899829,0.536,41,0.714666666666667
"Kadavu 1 vs Muaira",1.15648677330241,0.0209673755700878,0.281,56,0.4172
"Kadavu 2 vs Kadavu 3",3.2742092281019,0.140679719599175,0.045,22,0.256
"Kadavu 2 vs Namara",1.35312948953956,0.0431577169989046,0.249,32,0.4172
"Kadavu 2 vs Totoya",0.314156136951644,0.0147393185511577,0.748,23,0.781
"Kadavu 2 vs Savusavu",0.311226260806357,0.0139493122058056,0.773,24,0.781
"Kadavu 2 vs Wailevu",0.384372513601214,0.0171714669851773,0.678,24,0.77056
"Kadavu 2 vs Muaira",1.17698362383149,0.0308296652095054,0.298,39,0.4172
"Kadavu 3 vs Namara",1.323989121741,0.0522820127340972,0.27,26,0.4172
"Kadavu 3 vs Totoya",2.37354106088978,0.136618151277919,0.131,17,0.407555555555556
"Kadavu 3 vs Savusavu",3.61089073948545,0.184126809304746,0.064,18,0.256
"Kadavu 3 vs Wailevu",7.75474659445429,0.326450402811903,0.007,18,0.196
"Kadavu 3 vs Muaira",2.95465945192748,0.0870177907721515,0.063,33,0.256
"Namara vs Totoya",0.378042860545767,0.0148964544911182,0.688,27,0.77056
"Namara vs Savusavu",0.349430339676861,0.0132614001582679,0.674,28,0.77056
"Namara vs Wailevu",3.64414668576593,0.122929721148483,0.04,28,0.256
"Namara vs Muaira",3.48919119916462,0.07842784067583,0.041,43,0.256
"Totoya vs Savusavu",0.165266244529697,0.00962794530392818,0.781,19,0.781
"Totoya vs Wailevu",1.49628473709062,0.0808965021007771,0.242,19,0.4172
"Totoya vs Muaira",1.41589918425018,0.0423720210682682,0.23,34,0.4172
"Savusavu vs Wailevu",1.75499827951443,0.0888381894385856,0.187,20,0.4172
"Savusavu vs Muaira",1.3920914820548,0.0404770812726283,0.25,35,0.4172
"Wailevu vs Muaira",0.476925654696045,0.0142463994339081,0.627,35,0.77056
