"Response","ModelType","term","estimate","std.error","statistic","p.value","Adj_R2","Marginal_R2","Conditional_R2","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC","Preferred"
"biomass_kg_ha","LM","(Intercept)",373.973412743495,36.8256659813973,10.1552382768151,1.43568409166922e-17,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","Geomorphology1",-308.343427168382,85.5849533688788,-3.60277613097941,0.000470994346373652,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","Geomorphology2",63.8775452756702,120.068464770451,0.532009344816665,0.595773271140027,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","Geomorphology3",-371.756154953812,168.19989455323,-2.2102044471625,0.0291243346664646,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","Geomorphology4",468.705708452236,101.973457927652,4.5963500500765,1.13553532716587e-05,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","Geomorphology5",82.3928227009914,72.7325227179836,1.132819536873,0.259709322854803,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","nutrint",-116.217992598334,46.3253082707225,-2.50873651869001,0.0135478287821293,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","NO_TK_AREA",110.035283287112,49.1312656661958,2.2396183325442,0.0270903921874194,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","transi15LR",-12.3776188631622,65.0142979659373,-0.190383027278817,0.849353647604978,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","transi15BRbtw",-130.761561707316,49.522056434591,-2.64047115813995,0.00946076767542202,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","resid15LR",87.8712870815593,47.4642866683936,1.8513137613437,0.066758826326639,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","resid15BRbtw",-3.63978643200039,44.0955038203978,-0.0825432553583091,0.93436206281883,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"biomass_kg_ha","LM","pare15BRbtw",-87.7640625736958,50.6288244082573,-1.7334801587726,0.0857623483553751,0.271461826016362,NA,NA,1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,"Tie"
"abundance_ind_250m2","LMM","(Intercept)",224.122634033379,28.1165899074625,7.97118835431368,2.30169737525699e-06,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","Geomorphology1",-139.999412735316,65.7180073113396,-2.13030520040067,0.0528387485362973,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","Geomorphology2",184.443014881508,90.1819260616276,2.04523259744381,0.061411902888211,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","Geomorphology3",-174.912644180963,128.219099174554,-1.36416996615178,0.195623495316366,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","Geomorphology4",183.915363321957,77.3362757989728,2.37812541943479,0.0333502866917255,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","Geomorphology5",-41.8361639290771,55.3457149247455,-0.755906107382703,0.463141697833408,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","nutrint",-39.9335067647016,35.2430570319991,-1.13308861738196,0.277590020655215,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","NO_TK_AREA",-2.21861495141219,37.4222615414467,-0.0592859666953847,0.953622692904515,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","transi15LR",-8.220484991786,50.2774804482095,-0.163502325862448,0.872650410620313,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","transi15BRbtw",-89.3746912202833,38.217137567348,-2.33860244145138,0.0360420926830678,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
"abundance_ind_250m2","LMM","resid15LR",-9.46979621946068,36.5348718160066,-0.259198835215614,0.799543971735908,NA,0.359100718228958,0.762243420688929,1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,"LMM"
