"analysis","response","predictor","pred_type","n","r2","p_value","p_adj"
"biomass_focused","logBiomass","nutrint","numeric",94,0.192268829931273,9.85244593167129e-06,8.86720133850416e-05
"biomass_focused","logBiomass","crypto5LR","numeric",94,0.168233285136293,4.03200395077439e-05,0.000181440177784847
"biomass_focused","logBiomass","pare5BRin","numeric",94,0.10703145990058,0.0012885559555537,0.00386566786666109
"biomass_focused","logBiomass","Rnetflow","numeric",94,0.0577240579105623,0.0196744222196084,0.0252847369746554
"biomass_focused","logBiomass","Cnetflow","numeric",94,0.0504549449422689,0.0295145400529238,0.0295145400529238
"biomass_focused","logBiomass","transi15BRIF","numeric",94,0.055332582849665,0.0224753217552493,0.0252847369746554
"biomass_focused","logBiomass","sst_sd_6_year_mean","numeric",94,0.0779088491316886,0.00644290272869946,0.00966435409304919
"biomass_focused","logBiomass","sst_q90_6_year_mean","numeric",94,0.0788880043934028,0.00610419941666925,0.00966435409304919
"biomass_focused","logBiomass","sst_mean_6_year_mean","numeric",94,0.0798888167279303,0.00577641121818587,0.00966435409304919
"biomass_focused","logabun","nutrint","numeric",94,0.0343861759155047,0.0735571768247307,0.331007295711288
"biomass_focused","logabun","crypto5LR","numeric",94,0.0396157650087499,0.0544542035958312,0.331007295711288
"biomass_focused","logabun","pare5BRin","numeric",94,0.00415368345350305,0.537143356659951,0.647136178686262
"biomass_focused","logabun","Rnetflow","numeric",94,0.0121979671652297,0.289273378370893,0.647136178686262
"biomass_focused","logabun","Cnetflow","numeric",94,0.0270279193062687,0.113330092987803,0.339990278963409
"biomass_focused","logabun","transi15BRIF","numeric",94,0.00589862557068154,0.461881274702807,0.647136178686262
"biomass_focused","logabun","sst_sd_6_year_mean","numeric",94,0.00211689829156309,0.659686542842647,0.659686542842647
"biomass_focused","logabun","sst_q90_6_year_mean","numeric",94,0.0038747182685981,0.551166653675652,0.647136178686262
"biomass_focused","logabun","sst_mean_6_year_mean","numeric",94,0.00342582365519049,0.575232158832233,0.647136178686262
