"term","estimate","std.error","statistic","p.value","Response","Predictor","p_adj_BH","sig"
"nutrint",-0.35729951189608,0.0763514850880971,-4.67966682617653,9.85244593167073e-06,"logBiomass","nutrint",8.86720133850366e-05,"***"
"crypto5LR",0.334221161399781,0.0774791479513296,4.31369175109837,4.03200395077428e-05,"logBiomass","crypto5LR",0.000181440177784842,"***"
"pare5BRin",-0.266583770256847,0.0802790356487208,-3.32071465610705,0.00128855595555371,"logBiomass","pare5BRin",0.00386566786666113,"**"
"Rnetflow",0.195774628301231,0.0824656561867886,2.37401407269218,0.0196744222196083,"logBiomass","Rnetflow",0.0252847369746556,"*"
"Cnetflow",0.183033190267166,0.082783132456485,2.21099618770016,0.0295145400529238,"logBiomass","Cnetflow",0.0295145400529238,"*"
"transi15BRIF",-0.191676315566851,0.0825702378588667,-2.32137293699546,0.0224753217552494,"logBiomass","transi15BRIF",0.0252847369746556,"*"
"sst_sd_6_year_mean",0.22744237187534,0.0815776132169094,2.78804886422193,0.00644290272869922,"logBiomass","sst_sd_6_year_mean",0.00966435409304883,"**"
"sst_q90_6_year_mean",-0.228867152467839,0.0815342886684043,-2.8070049571246,0.00610419941666714,"logBiomass","sst_q90_6_year_mean",0.00966435409304883,"**"
"sst_mean_6_year_mean",-0.23031433808673,0.0814899820588381,-2.82629020485532,0.00577641121818483,"logBiomass","sst_mean_6_year_mean",0.00966435409304883,"**"
"nutrint",-0.126374501585464,0.0698192756897828,-1.81002309658675,0.0735571768247312,"logabun","nutrint",0.331007295711291,""
"crypto5LR",0.135644296933974,0.0696299547516609,1.94807389172888,0.0544542035958309,"logabun","crypto5LR",0.331007295711291,""
"pare5BRin",-0.0439222129966221,0.070903841005471,-0.619461687459683,0.537143356659951,"logabun","pare5BRin",0.647136178686269,""
"Rnetflow",0.0752681506415333,0.0706168855185901,1.06586618892614,0.289273378370892,"logabun","Rnetflow",0.647136178686269,""
"Cnetflow",0.112040186291938,0.070084792358076,1.59863762910938,0.113330092987803,"logabun","Cnetflow",0.33999027896341,""
"transi15BRIF",-0.05234111018395,0.0708416941955418,-0.738846110024905,0.461881274702807,"logabun","transi15BRIF",0.647136178686269,""
"sst_sd_6_year_mean",-0.0313557729957951,0.0709763130935576,-0.441777990841303,0.659686542842647,"logabun","sst_sd_6_year_mean",0.659686542842647,""
"sst_q90_6_year_mean",0.0424216523573855,0.0709137714122846,0.598214585298965,0.551166653675661,"logabun","sst_q90_6_year_mean",0.647136178686269,""
"sst_mean_6_year_mean",0.039888712378475,0.0709297479290467,0.562369295579296,0.575232158832239,"logabun","sst_mean_6_year_mean",0.647136178686269,""
