"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.670979628602496,0.00564620378885177,118.83730267181,1.11538791443234e-119
"Geomorphology1",0.0319820347201403,0.0137001998529556,2.33442103497786,0.0213562235372313
"Geomorphology2",-0.069613946491002,0.0216273816833754,-3.21878753101737,0.0016843253000726
"Geomorphology3",0.0302380406207683,0.026166855265356,1.15558558008315,0.25030998205738
"Geomorphology4",-0.0152498022033461,0.0158336865024087,-0.963123919437599,0.337560197319567
"Geomorphology5",-0.0123828880442911,0.01254957612268,-0.986717632790192,0.325907930732243
"nutrint",0.00620225462572781,0.00764752816394021,0.811014290208543,0.419077559201946
"NO_TK_AREA",-0.000663145680247963,0.00764419904832664,-0.0867514930021516,0.931023951136368
"transi15LR",-0.0173117458035136,0.0103444101360657,-1.673536294076,0.0970125279913271
"transi15BRbtw",0.00364649247449479,0.00904910651532451,0.402967129220936,0.68774058266471
"resid15LR",0.0180050385928007,0.00751935468661648,2.39449252538219,0.0183035969101822
"resid15BRbtw",0.00161394169481552,0.0050911284487021,0.317010602085078,0.751825721103351
"pare15BRbtw",0.00323245571994363,0.00628121692101873,0.514622526269857,0.607830881602704
