"term","estimate","robust.se","t.value","p.value"
"(Intercept)",9.68197115865066e-12,4.01967223491099e-12,2.4086469226427,0.0176432829967743
"Geomorphology1",-2.27138631760847e-11,1.09238498752371e-11,-2.07929104075056,0.0398735931221783
"Geomorphology2",1.52593242655924e-11,7.1210195757196e-12,2.14285666586591,0.0342892314351479
"Geomorphology3",-2.54514598077093e-11,1.18699502863935e-11,-2.14419262032498,0.0341795259281485
"Geomorphology4",3.76993867862134e-11,1.92476569539812e-11,1.95864810331709,0.0526400723196634
"Geomorphology5",-9.81673114169723e-12,6.1454477457307e-12,-1.59739884673448,0.112994463466982
"nutrint",-8.37246114774802e-12,4.22150173340713e-12,-1.98328975717148,0.0497824109035815
"NO_TK_AREA",5.78024210986929e-12,3.39879675262678e-12,1.7006730706689,0.091779467430883
"transi15LR",4.51369062418316e-12,2.42002302430303e-12,1.86514366964881,0.0647785833499174
"transi15BRbtw",-1.7325838222923e-11,8.56203519726983e-12,-2.02356540515596,0.0453957125969189
"resid15LR",-9.71974897491372e-12,4.45645091283644e-12,-2.18105150601273,0.0312703895947878
"resid15BRbtw",7.84873849451106e-14,1.55243194990942e-12,0.0505576975207772,0.959768027992577
"pare15BRbtw",-1.21699735115068e-11,6.10354105294272e-12,-1.99392015322633,0.0485909387973455
