"Comparison","F_value","R2","p_value","n","p_adj"
"Kadavu vs Kuata",2.25619532951274,0.0316631461879115,0.098,71,0.4
"Kadavu vs Totoya",0.638182078976544,0.0105244263118799,0.466,62,0.533333333333333
"Kadavu vs VanuaLevu",0.695371589644852,0.00969897462314409,0.435,73,0.533333333333333
"Kadavu vs Yasawa",1.44040883451657,0.0186002224961725,0.246,78,0.41
"Kuata vs Totoya",0.37804285326351,0.0148964542084417,0.666,27,0.666
"Kuata vs VanuaLevu",2.3829518858856,0.0620836014116431,0.12,38,0.4
"Kuata vs Yasawa",3.48919115704434,0.0784278398033287,0.051,43,0.4
"Totoya vs VanuaLevu",0.634305179517755,0.0229535418168536,0.48,29,0.533333333333333
"Totoya vs Yasawa",1.41589917019739,0.0423720206655455,0.219,34,0.41
"VanuaLevu vs Yasawa",1.60604660436057,0.0360051321876968,0.221,45,0.41
