"nobs","sigma","logLik","AIC","BIC","REMLcrit","df.residual"
94,0.73318798456383,-106.877966378756,221.755932757513,231.929111886593,213.755932757513,90
94,0.733428479316798,-107.805605323646,223.611210647292,233.784389776372,215.611210647292,90
94,0.761229906321559,-111.064109926557,230.128219853114,240.301398982194,222.128219853114,90
94,0.761489107742687,-112.034767399034,232.069534798068,242.242713927148,224.069534798068,90
94,0.764141168905135,-112.453908055574,232.907816111148,243.080995240228,224.907816111148,90
94,0.752974870970539,-111.302945968977,230.605891937954,240.779071067034,222.605891937954,90
94,0.761040934497195,-111.656189990376,231.312379980752,241.485559109832,223.312379980752,90
94,0.761937752363384,-111.748403012643,231.496806025286,241.669985154366,223.496806025286,90
94,0.76166277479592,-111.700724410215,231.40144882043,241.57462794951,223.40144882043,90
94,0.664123638720845,-98.3623890006516,204.724778001303,214.897957130383,196.724778001303,90
94,0.65559507784004,-97.6900290809725,203.380058161945,213.553237291025,195.380058161945,90
94,0.670255119045255,-99.5138349222716,207.027669844543,217.200848973623,199.027669844543,90
94,0.665597375242399,-99.0281959350249,206.05639187005,216.22957099913,198.05639187005,90
94,0.657655708285395,-98.1862226162709,204.372445232542,214.545624361622,196.372445232542,90
94,0.669621083373851,-99.4259509762678,206.851901952536,217.025081081616,198.851901952536,90
94,0.66870027366793,-99.4100911672069,206.820182334414,216.993361463494,198.820182334414,90
94,0.668310320607813,-99.3472258395439,206.694451679088,216.867630808168,198.694451679088,90
94,0.6684322990341,-99.3648985621837,206.729797124367,216.902976253447,198.729797124367,90
94,0.0706214797822216,107.93487173258,-207.86974346516,-197.69656433608,-215.86974346516,90
94,0.07000656785196,108.298432844214,-208.596865688429,-198.423686559349,-216.596865688429,90
94,0.0693794158990036,108.938160620415,-209.876321240829,-199.703142111749,-217.876321240829,90
94,0.0704527668058279,107.892970503391,-207.785941006782,-197.612761877702,-215.785941006782,90
94,0.0701948271083276,108.202113758962,-208.404227517925,-198.231048388845,-216.404227517925,90
94,0.0704345076520934,107.95845180842,-207.916903616841,-197.743724487761,-215.916903616841,90
94,0.0704068293117216,107.795653056796,-207.591306113592,-197.418126984512,-215.591306113592,90
94,0.0704141842833389,107.796650475642,-207.593300951285,-197.420121822205,-215.593300951285,90
94,0.0704114583177035,107.796473704718,-207.592947409437,-197.419768280357,-215.592947409437,90
94,0.0906618080678784,84.2842658950054,-160.568531790011,-150.395352660931,-168.568531790011,90
94,0.0896756972487594,86.5382742465192,-165.076548493038,-154.903369363958,-173.076548493038,90
94,0.0906373264361397,84.5137313366212,-161.027462673242,-150.854283544162,-169.027462673242,90
94,0.0913158200607294,83.555759697165,-159.11151939433,-148.93834026525,-167.11151939433,90
94,0.0908508218461293,83.7886594731407,-159.577318946281,-149.404139817201,-167.577318946281,90
94,0.0911447200459437,83.5951196724458,-159.190239344892,-149.017060215812,-167.190239344892,90
94,0.0915763698903887,83.5755159193886,-159.151031838777,-148.977852709697,-167.151031838777,90
94,0.0915660135911966,83.567301495491,-159.134602990982,-148.961423861902,-167.134602990982,90
94,0.0915668204158264,83.5734868503475,-159.146973700695,-148.973794571615,-167.146973700695,90
