"analysis","response","predictor","pred_type","n","r2","p_value","p_adj"
"core_ecological","logBiomass","nutrint","numeric",94,0.192268829931273,9.85244593167129e-06,8.86720133850416e-05
"core_ecological","logBiomass","crypto5LR","numeric",94,0.168233285136293,4.03200395077439e-05,0.000181440177784847
"core_ecological","logBiomass","pare5BRin","numeric",94,0.10703145990058,0.0012885559555537,0.00386566786666109
"core_ecological","logBiomass","Rnetflow","numeric",94,0.0577240579105623,0.0196744222196084,0.0252847369746554
"core_ecological","logBiomass","Cnetflow","numeric",94,0.0504549449422689,0.0295145400529238,0.0295145400529238
"core_ecological","logBiomass","transi15BRIF","numeric",94,0.055332582849665,0.0224753217552493,0.0252847369746554
"core_ecological","logBiomass","sst_sd_6_year_mean","numeric",94,0.0779088491316886,0.00644290272869946,0.00966435409304919
"core_ecological","logBiomass","sst_q90_6_year_mean","numeric",94,0.0788880043934028,0.00610419941666925,0.00966435409304919
"core_ecological","logBiomass","sst_mean_6_year_mean","numeric",94,0.0798888167279303,0.00577641121818587,0.00966435409304919
"core_ecological","logabun","nutrint","numeric",94,0.0343861759155047,0.0735571768247307,0.331007295711288
"core_ecological","logabun","crypto5LR","numeric",94,0.0396157650087499,0.0544542035958312,0.331007295711288
"core_ecological","logabun","pare5BRin","numeric",94,0.00415368345350305,0.537143356659951,0.647136178686262
"core_ecological","logabun","Rnetflow","numeric",94,0.0121979671652297,0.289273378370893,0.647136178686262
"core_ecological","logabun","Cnetflow","numeric",94,0.0270279193062687,0.113330092987803,0.339990278963409
"core_ecological","logabun","transi15BRIF","numeric",94,0.00589862557068154,0.461881274702807,0.647136178686262
"core_ecological","logabun","sst_sd_6_year_mean","numeric",94,0.00211689829156309,0.659686542842647,0.659686542842647
"core_ecological","logabun","sst_q90_6_year_mean","numeric",94,0.0038747182685981,0.551166653675652,0.647136178686262
"core_ecological","logabun","sst_mean_6_year_mean","numeric",94,0.00342582365519049,0.575232158832233,0.647136178686262
"core_ecological","fric","nutrint","numeric",94,0.0124245694207971,0.284810129901168,0.638658047732586
"core_ecological","fric","crypto5LR","numeric",94,0.0137123173887363,0.261011220808234,0.638658047732586
"core_ecological","fric","pare5BRin","numeric",94,0.0229936860909097,0.144578184737164,0.638658047732586
"core_ecological","fric","Rnetflow","numeric",94,0.00690845242486858,0.425772031821724,0.638658047732586
"core_ecological","fric","Cnetflow","numeric",94,0.0132657702077843,0.26897503508802,0.638658047732586
"core_ecological","fric","transi15BRIF","numeric",94,0.00890024860231746,0.365755606491871,0.638658047732586
"core_ecological","fric","sst_sd_6_year_mean","numeric",94,0.000652573174547166,0.806921855876808,0.806921855876808
"core_ecological","fric","sst_q90_6_year_mean","numeric",94,0.00113523640867738,0.747157928393026,0.806921855876808
"core_ecological","fric","sst_mean_6_year_mean","numeric",94,0.000996673801146396,0.762603435816584,0.806921855876808
"core_ecological","feve","nutrint","numeric",94,0.0226203335081551,0.147918890550482,0.443756671651446
"core_ecological","feve","crypto5LR","numeric",94,0.0857005269007355,0.00419229021161781,0.0377306119045603
"core_ecological","feve","pare5BRin","numeric",94,0.0317471016777905,0.0857683028461102,0.385957362807496
"core_ecological","feve","Rnetflow","numeric",94,0.00105799407175291,0.755631781865419,0.766644963481527
"core_ecological","feve","Cnetflow","numeric",94,0.00220488905307845,0.65313274020934,0.766644963481527
"core_ecological","feve","transi15BRIF","numeric",94,0.000962038166277425,0.766644963481527,0.766644963481527
"core_ecological","feve","sst_sd_6_year_mean","numeric",94,0.0112540768994552,0.308845347409684,0.472035527714905
"core_ecological","feve","sst_q90_6_year_mean","numeric",94,0.0109869266040524,0.314690351809936,0.472035527714905
"core_ecological","feve","sst_mean_6_year_mean","numeric",94,0.0112380095481619,0.309192914682636,0.472035527714905
