"term","estimate","std.error","statistic","p.value","Response","Predictor","p_adj_BH","sig"
"sedimnt",-82.8697836278244,34.9728801338923,-2.36954415279956,0.0193659043664216,"biomass_kg_ha","sedimnt",0.0573019951881803,"."
"crypto5BROF",27.2129388092377,35.6779230111161,0.762738873581822,0.447079456652128,"biomass_kg_ha","crypto5BROF",0.574816444267022,""
"crypto5BRIF",31.7604741951324,35.6473538322993,0.89096302476048,0.374688508274889,"biomass_kg_ha","crypto5BRIF",0.562032762412333,""
"crypto5LR",205.296478792168,30.59868019522,6.70932463368921,6.35802637217949e-10,"biomass_kg_ha","crypto5LR",1.14444474699231e-08,"***"
"crypto5BRin",-113.904652870894,34.2557003161712,-3.32512988552513,0.00116514268024293,"biomass_kg_ha","crypto5BRin",0.0069908560814576,"**"
"crypto5BRout",-41.7897107645379,35.5631362909592,-1.17508507749812,0.242230435023988,"biomass_kg_ha","crypto5BRout",0.436014783043178,""
"transi15BRIF",-59.6006206341557,35.3561157732484,-1.68572308724171,0.0943843905038646,"biomass_kg_ha","transi15BRIF",0.188768781007729,""
"transi15BRin",-61.4216258917748,35.330768429193,-1.73847410126023,0.084629637916971,"biomass_kg_ha","transi15BRin",0.188768781007729,""
"transi15BRout",-27.4981248332415,35.676145224855,-0.770770627261713,0.442320932171497,"biomass_kg_ha","transi15BRout",0.574816444267022,""
"pare15BRout",81.0345121993617,35.0078269168185,2.31475413746493,0.0222841092398479,"biomass_kg_ha","pare15BRout",0.0573019951881803,"."
"resid15BRout",38.2011759547476,35.5959323989273,1.07318936126249,0.285287142476068,"biomass_kg_ha","resid15BRout",0.46683350586993,""
"resid15BRIF",21.973104129922,35.7072755847339,0.61536770224263,0.539448831040984,"biomass_kg_ha","resid15BRIF",0.647338597249181,""
"pare15LR",135.646057040114,33.6056925909595,4.03640117438333,9.47377452569413e-05,"biomass_kg_ha","pare15LR",0.000852639707312472,"***"
"pare15BRin",-93.1513620859321,34.7618860993656,-2.67969815618353,0.0083781159293153,"biomass_kg_ha","pare15BRin",0.0301612173455351,"*"
"pare15BRIF",103.096433448784,34.5329011100482,2.9854553233231,0.00341726597370317,"biomass_kg_ha","pare15BRIF",0.0153776968816643,"*"
"sst_sd_6_year_mean",12.9015695955121,35.7432737385167,0.360950977515231,0.718755287230353,"biomass_kg_ha","sst_sd_6_year_mean",0.718755287230353,""
"sst_q90_6_year_mean",-14.4312133256872,35.7385184858383,-0.403799987719293,0.687060979455588,"biomass_kg_ha","sst_q90_6_year_mean",0.718755287230353,""
"sst_mean_6_year_mean",-14.5782804036376,35.7380332119656,-0.407920612675367,0.684041135831355,"biomass_kg_ha","sst_mean_6_year_mean",0.718755287230353,""
"sedimnt",-11.5059318918829,13.9365497412879,-0.825594003212706,0.410632862140016,"abundance_ind_250m2","sedimnt",0.69592740382921,""
"crypto5BROF",-5.70831966957605,13.9656297190469,-0.408740585595707,0.683440817759159,"abundance_ind_250m2","crypto5BROF",0.723643218803816,""
"crypto5BRIF",-10.6561272429678,13.9420420288542,-0.764316103832854,0.44614268555789,"abundance_ind_250m2","crypto5BRIF",0.69592740382921,""
"crypto5LR",33.2786054962692,13.6491738288844,2.43814064598144,0.0161921168168349,"abundance_ind_250m2","crypto5LR",0.0728645256757572,"."
"crypto5BRin",8.83334754967095,13.9523961105642,0.633106133145309,0.527839695629641,"abundance_ind_250m2","crypto5BRin",0.69592740382921,""
"crypto5BRout",-7.74573883376604,13.9576486295342,-0.554945824999218,0.579939503191008,"abundance_ind_250m2","crypto5BRout",0.69592740382921,""
"transi15BRIF",-9.09498004862619,13.951029424283,-0.651921788136691,0.515667978464094,"abundance_ind_250m2","transi15BRIF",0.69592740382921,""
"transi15BRin",18.7069914136051,13.8729447873592,1.34845137066001,0.179990996801005,"abundance_ind_250m2","transi15BRin",0.462833991774012,""
"transi15BRout",-31.9852349554413,13.674290074641,-2.33907828346848,0.0209438888264239,"abundance_ind_250m2","transi15BRout",0.075397999775126,"."
"pare15BRout",8.90389070278692,13.9520315559189,0.638178796191843,0.524543687394244,"abundance_ind_250m2","pare15BRout",0.69592740382921,""
"resid15BRout",-9.35027683632716,13.949657247538,-0.670287209958326,0.503931260437334,"abundance_ind_250m2","resid15BRout",0.69592740382921,""
"resid15BRIF",-7.86035926144242,13.9571276542815,-0.563178861449415,0.574338290885528,"abundance_ind_250m2","resid15BRIF",0.69592740382921,""
"pare15LR",21.247897812286,13.8431650260121,1.53490172026123,0.127376278801053,"abundance_ind_250m2","pare15LR",0.382128836403158,""
"pare15BRin",-6.08806024938592,13.9643257706484,-0.435972373416152,0.663620983207725,"abundance_ind_250m2","pare15BRin",0.723643218803816,""
"pare15BRIF",4.0054382608099,13.9704436649585,0.286708021367753,0.774818285671287,"abundance_ind_250m2","pare15BRIF",0.774818285671287,""
"sst_sd_6_year_mean",-37.247154022584,13.565561515371,-2.74571413651986,0.00694399756778191,"abundance_ind_250m2","sst_sd_6_year_mean",0.0416639854066915,"*"
"sst_q90_6_year_mean",37.7982311255009,13.5531632198698,2.78888629261738,0.00613086722010647,"abundance_ind_250m2","sst_q90_6_year_mean",0.0416639854066915,"*"
"sst_mean_6_year_mean",38.0227107501336,13.5480573217988,2.80650648628089,0.00582469879093464,"abundance_ind_250m2","sst_mean_6_year_mean",0.0416639854066915,"*"
"sedimnt",-1.67937305703731e-12,2.3727157674136e-12,-0.707785180214788,0.480417685632677,"FRic","sedimnt",0.68523588634038,""
"crypto5BROF",-2.76949126677057e-12,2.36439229868982e-12,-1.17133322939058,0.24372894778883,"FRic","crypto5BROF",0.487457895577661,""
"crypto5BRIF",-4.37184226663974e-12,2.34463622943579e-12,-1.8646143106352,0.0646189986810344,"FRic","crypto5BRIF",0.218045301532967,""
"crypto5LR",1.16534057582334e-12,2.37521968020866e-12,0.4906243348914,0.624566308687829,"FRic","crypto5LR",0.749479570425395,""
"crypto5BRin",5.9017087919377e-13,2.37694711983213e-12,0.248289444165442,0.804324522995959,"FRic","crypto5BRin",0.88130800446881,""
"crypto5BRout",-3.45428956999267e-13,2.37733868865553e-12,-0.145300692176351,0.88471130510015,"FRic","crypto5BRout",0.88471130510015,""
