"Comparison","F_value","R2","p_value","n","p_adj"
"Kadavu vs Kuata",2.25619536202659,0.0316631466297588,0.127,71,0.42
"Kadavu vs Totoya",0.638182071670806,0.0105244261926671,0.464,62,0.525555555555556
"Kadavu vs VanuaLevu",0.695371423348698,0.00969897232615828,0.473,73,0.525555555555556
"Kadavu vs Yasawa",1.44040880240242,0.0186002220891909,0.252,78,0.42
"Kuata vs Totoya",0.378042860545767,0.0148964544911182,0.68,27,0.68
"Kuata vs VanuaLevu",2.38295170289552,0.0620835969401424,0.101,38,0.42
"Kuata vs Yasawa",3.48919119916462,0.07842784067583,0.024,43,0.24
"Totoya vs VanuaLevu",0.634305094938773,0.0229535388264547,0.457,29,0.525555555555556
"Totoya vs Yasawa",1.41589918425018,0.0423720210682682,0.238,34,0.42
"VanuaLevu vs Yasawa",1.6060466022226,0.0360051321414926,0.228,45,0.42
