"Response","Term","Df","GVIF","GVIF_adj","Flag"
"FRic","Geomorphology",5,8.45511973836848,1.23797528994829,TRUE
"FRic","sedimnt",1,2.35074701688664,1.53321460235893,FALSE
"FRic","Location",4,12.0750213410117,1.36532482978322,TRUE
"FEve","Geomorphology",5,8.45511973836848,1.23797528994829,TRUE
"FEve","sedimnt",1,2.35074701688664,1.53321460235893,FALSE
"FEve","Location",4,12.0750213410117,1.36532482978322,TRUE
"FDiv","Geomorphology",5,8.45511973836848,1.23797528994829,TRUE
"FDiv","sedimnt",1,2.35074701688664,1.53321460235893,FALSE
"FDiv","Location",4,12.0750213410117,1.36532482978322,TRUE
"FDis","Geomorphology",5,8.45511973836849,1.23797528994829,TRUE
"FDis","sedimnt",1,2.35074701688664,1.53321460235893,FALSE
"FDis","Location",4,12.0750213410117,1.36532482978322,TRUE
"RaoQ","Geomorphology",5,8.45511973836848,1.23797528994829,TRUE
"RaoQ","sedimnt",1,2.35074701688664,1.53321460235893,FALSE
"RaoQ","Location",4,12.0750213410117,1.36532482978322,TRUE
