"Response","term","estimate","std.error","statistic","p.value"
"FRic","(Intercept)",3.44843399578606e-12,4.10035651455942e-12,0.84100833270021,0.402103859945831
"FRic","GeomorphologyDeep Lagoon",9.17525157285933e-12,1.16299513856667e-11,0.788932925735814,0.431788877303506
"FRic","GeomorphologyInner Reef Flat",8.56552132661732e-14,7.61634783132685e-12,0.0112462318112448,0.991046651905462
"FRic","GeomorphologyOuter Reef Flat",3.34650256804925e-11,9.26403037545547e-12,3.61236139393026,0.000452657393483095
"FRic","GeomorphologySheltered Reef Slope",-1.26325601064401e-11,7.51497363389603e-12,-1.68098528642354,0.0955036770309033
"FRic","GeomorphologyTerrestrial Reef Flat",-1.72170596935196e-11,1.0892790076355e-11,-1.58059226082881,0.116741955087338
"FRic","sedimnt",-7.99754243991373e-12,3.11720642832167e-12,-2.5656120708758,0.0115969474081153
"FRic","LocationKuata",1.23687136325186e-11,1.03164409203425e-11,1.19893224107252,0.233040519661622
"FRic","LocationTotoya",-3.25672200944832e-11,1.10819937029276e-11,-2.93875100162524,0.00398956759746356
"FRic","LocationVanuaLevu",-1.0360257808767e-11,9.20503641180208e-12,-1.12549884055686,0.262741653708551
"FRic","LocationYasawa",2.07992465702496e-11,7.92657847852801e-12,2.62398796991563,0.0098806888213984
"FEve","(Intercept)",0.702301910686382,0.00937076918183309,74.9460259941009,7.97385117165721e-99
"FEve","GeomorphologyDeep Lagoon",-0.0593251883436693,0.0265785644843453,-2.23206894332505,0.027564959323422
"FEve","GeomorphologyInner Reef Flat",-0.0318811600841401,0.0174060565910542,-1.83161303178374,0.0696200265892317
"FEve","GeomorphologyOuter Reef Flat",-0.0193311017374685,0.0211715956975052,-0.913067773145998,0.363133875895945
"FEve","GeomorphologySheltered Reef Slope",-0.0123316428972367,0.0171743805887981,-0.718025481820286,0.474210487998027
"FEve","GeomorphologyTerrestrial Reef Flat",0.0388632356999992,0.0248938893945549,1.56115563478401,0.121258882261063
"FEve","sedimnt",0.0035150755132769,0.0071239224755722,0.493418552115079,0.622666093726239
"FEve","LocationKuata",-0.0255493911018162,0.0235767271209916,-1.08366996702728,0.280797782367992
"FEve","LocationTotoya",-0.0159322025384784,0.0253262867987032,-0.629077711435148,0.530556748006401
"FEve","LocationVanuaLevu",-0.0339881384511957,0.0210367735632458,-1.61565357677176,0.108933469217829
"FEve","LocationYasawa",-0.0324681066397117,0.0181150436700388,-1.79232836702525,0.0757327539333358
"FDiv","(Intercept)",0.910455137933803,0.0071462941162027,127.402416291479,8.99695583159774e-125
"FDiv","GeomorphologyDeep Lagoon",0.0328257462960715,0.0202692260694907,1.61948691003456,0.108105743796039
"FDiv","GeomorphologyInner Reef Flat",0.0162885075928453,0.0132741290911414,1.22708672493742,0.222318091757634
"FDiv","GeomorphologyOuter Reef Flat",0.0348931644129239,0.0161457876965984,2.16113113021269,0.0327770763646862
"FDiv","GeomorphologySheltered Reef Slope",0.020870389855763,0.0130974493736431,1.59346978639688,0.113823777016365
"FDiv","GeomorphologyTerrestrial Reef Flat",0.0312834844841088,0.0189844666811981,1.6478463687943,0.102137764500717
"FDiv","sedimnt",-0.00122887393719074,0.00543281392205917,-0.22619474085079,0.821455019964631
"FDiv","LocationKuata",-0.0603512283179919,0.0179799782744302,-3.35657960186854,0.00107286304626082
"FDiv","LocationTotoya",-0.019148884576483,0.0193142196571989,-0.991439722460945,0.323570620696852
"FDiv","LocationVanuaLevu",-0.0198102276630381,0.0160429702430793,-1.23482293882481,0.219435489791376
"FDiv","LocationYasawa",-0.0201683759193165,0.0138148136489079,-1.45990937206098,0.147065282089668
"FDis","(Intercept)",0.177758615709956,0.0071510162983356,24.8578115744652,7.55222917801935e-48
"FDis","GeomorphologyDeep Lagoon",-0.0443156175376774,0.0202826197215902,-2.1849060006043,0.0309421243830878
"FDis","GeomorphologyInner Reef Flat",-0.0152436013493587,0.0132829004702933,-1.14761089894865,0.253531884877251
"FDis","GeomorphologyOuter Reef Flat",-0.0386369806153229,0.0161564566319854,-2.39142662870967,0.0184197929372865
"FDis","GeomorphologySheltered Reef Slope",-0.00810275180978861,0.0131061040050385,-0.618242599530234,0.537648672088687
"FDis","GeomorphologyTerrestrial Reef Flat",-0.00427050469985102,0.0189970113802977,-0.224798765151032,0.822538271844432
"FDis","sedimnt",0.00316147642506765,0.00543640385782405,0.581538183650146,0.562025923560369
"FDis","LocationKuata",0.012911072111448,0.0179918592201031,0.717606332591902,0.474467967088415
"FDis","LocationTotoya",0.0247177946146525,0.0193269822529574,1.27892675075387,0.203520130769668
"FDis","LocationVanuaLevu",0.0244752164159883,0.0160535712379737,1.52459636881878,0.130129258234594
"FDis","LocationYasawa",-0.0129697163475966,0.0138239423056804,-0.938206776388758,0.35012165837181
"RaoQ","(Intercept)",0.0387258150551767,0.00219164194091922,17.6697727544556,1.96409754876548e-34
"RaoQ","GeomorphologyDeep Lagoon",-0.0114903477543951,0.00621621294079536,-1.84844822142224,0.0671290467950677
"RaoQ","GeomorphologyInner Reef Flat",-0.0060312463719635,0.00407094048639296,-1.48153636539832,0.141222529599371
"RaoQ","GeomorphologyOuter Reef Flat",-0.0102411112036829,0.00495162736232935,-2.06823140238592,0.0408805392830282
"RaoQ","GeomorphologySheltered Reef Slope",-0.00151149112335654,0.00401675594365198,-0.376296480184532,0.707395906407123
"RaoQ","GeomorphologyTerrestrial Reef Flat",-0.00446658594104951,0.00582219997217326,-0.767164639208066,0.444569562732607
"RaoQ","sedimnt",-0.000408572379957497,0.00166614788800794,-0.245219756840426,0.806727169432264
"RaoQ","LocationKuata",0.00623673057227197,0.00551414115376439,1.13104296722877,0.26041080438021
"RaoQ","LocationTotoya",0.00361000425434093,0.00592332937443334,0.609455261752396,0.543435480891619
"RaoQ","LocationVanuaLevu",0.00822563869388882,0.00492009506884591,1.67184547834729,0.0972974862035619
"RaoQ","LocationYasawa",-0.00156064357746171,0.0042367588720261,-0.368357894466478,0.713289519617774
